"Bently, Peter";"Käpt'n Jack und die Piraten.";"Aladin";"978-3-8489-0106-7";"GEB";"14.95 EUR";"21";"30.0";"482 g";" 2016;32 S.;m. zahlr. bunten Bild.;291 mm;ab 3 J.;";"210";""
"Davies, Benji";"Opas Insel.";"Aladin";"978-3-8489-0102-9";"GEB";"12.95 EUR";"";"30.0";"482 g";" 2016;32 S.;m. zahlr. bunten Bild.;251 x 284 mm;ab 4 J.;";"210";""
"Müller, Hildegard";"Der große kleine Löwe.";"Aladin";"978-3-8489-0105-0";"GEB";"12.95 EUR";"21";"30.0";"380 g";" 2016;32 S.;m. zahlr. bunten Bild.;206 x 286 mm;ab 3 J.;";"210";""
"Offill, Jenny";"Lucky!.";"Aladin";"978-3-8489-0104-3";"GEB";"12.95 EUR";"21";"30.0";"369 g";" 2016;40 S.;m. zahlr. bunten Bild.;247 mm;ab 4 J.;";"210";""
"Sis, Peter";"Drei Kugeln Sommer.";"Aladin";"978-3-8489-0112-8";"GEB";"14.95 EUR";"21";"30.0";"345 g";" 2016;40 S.;m. zahlr. bunten Bild.;260 mm;ab 4 J.;";"210";""
"Bolliger, Max";"Kater Clemens.";"Atlantis, Orell Füssli";"978-3-7152-0708-7";"GEB";"14.95 EUR";"21";"30.0";"390 g";" 2016;32 S.;m. zahlr. bunten Bild.;285 mm;ab 5 J.;";"210";""
"Baltscheit, Martin";"Die Geschichte vom Löwen, der nicht schwimmen konnte.";"Beltz";"978-3-407-82118-8";"GEB";"13.95 EUR";"21";"33.0";"";" 2016;40 S.;m. zahlr. bunten Bild.;ab 5 J.;";"210";""
"Melchior, Siri";"Rita und Kroko gehen angeln.";"Beltz";"978-3-407-82116-4";"GEB";"12.95 EUR";"";"33.0";"266 g";" 2016;32 S.;m. zahlr. bunten Bild.;266 mm;ab 3 J.;";"210";"Deutsche Erstausgabe"
"Hämmerle, Susa";"Tiergeschichten vom Streiten und Versöhnen.";"Betz, Wien";"978-3-219-11688-5";"GEB";"12.95 EUR";"";"35.0";"350 g";" 2016;32 S.;m. zahlr. bunten Bild.;29 cm;von 2-5 J.;";"210";""
"Parker, Danny";"Sommersonnentag.";"Betz, Wien";"978-3-219-11678-6";"GEB";"12.95 EUR";"21";"35.0";"";" 2016;32 S.;m. zahlr. bunten Bild.;26 cm;ab 4 J.;";"210";""
"Fuchshuber, Annegert";"Karlinchen.";"Betz, Wien";"978-3-219-11692-2";"GEB";"14.95 EUR";"";"35.0";"359 g";" 2015;32 S.;m. zahlr. bunten Bild.;259 mm;ab 5 J.;";"210";"Ein Kind auf der Flucht"
"Simsa, Marko";"Karneval der Tiere, m. 1 Audio-CD.";"Betz, Wien";"978-3-219-11687-8";"GEB";"14.95 EUR";"21";"35.0";"";" 2016;24 S.;m.  zahlr. farb. Illustr.;24 cm;ab 3 J.;";"230";""
"Janisch, Heinz";"Peter und der Wolf, m. 1 Audio-CD.";"Betz, Wien";"978-3-219-11684-7";"GEB";"14.95 EUR";"21";"35.0";"";" 2016;24 S.;m.  zahlr. bunten Bild.;24 cm;ab 3 J.;";"210";""
"Hämmerle, Susa";"Der Feuervogel, m. 1 Audio-CD.";"Betz, Wien";"978-3-219-11677-9";"GEB";"19.95 EUR";"21";"35.0";"";" 2016;32 S.;m. Illustr.;30 cm;ab 5 J.;";"230";"Das Ballett nach Igor Strawinsky"
"Reschke, Katharina";"Björn, das Büffelschaf.";"Boje Verlag";"978-3-414-82442-4";"GEB";"12.99 EUR";"21";"35.0";"";" 1. Aufl.;2016;32 S.;250 mm;ab 4 J.;";"210";""
"Klein, Martin";"Die Woche der Trödeltiere.";"Boje Verlag";"978-3-414-82411-0";"GEB";"12.99 EUR";"21";"35.0";"";" 1. Aufl.;2016;32 S.;275 mm;ab 4 J.;";"210";""
"Ungerer, Tomi";"Rufus die farbige Fledermaus.";"Diogenes";"978-3-257-01184-5";"GEB";"18.00 EUR";"21";"30.0";"";" New edition;2016;32 S.;m. zahlr. bunten Bild.;288 mm;von 3-6 J.;";"210";""
"Artmann, H. C.";"Maus im Haus.";"G & G Verlagsgesellschaft";"978-3-7074-5179-5";"GEB";"18.00 EUR";"21";"30.0";"";" 2016;48 S.;m. zahlr. bunten Bild.;280 mm;ab 3 J.;";"210";""
"Prieler, Nanna";"Ganz schön super.";"G & G Verlagsgesellschaft";"978-3-7074-5177-1";"GEB";"14.99 EUR";"";"30.0";"447 g";" 1. Aufl.;2016;40 S.;Mit zahlreichen farbigen Abbildungen;277 mm;ab 3 J.;";"210";""
"Bydlinski, Georg";"Tobi und sein Ball.";"G & G Verlagsgesellschaft";"978-3-7074-1929-0";"GEB";"12.99 EUR";"";"30.0";"406 g";" 2016;32 S.;m. zahlr. bunten Bild.;280 mm;ab 3 J.;";"210";""
"Carle, Eric";"Eric Carles Quatsch-Parade.";"Gerstenberg Verlag";"978-3-8369-5893-6";"GEB";"12.95 EUR";"";"35.0";"534 g";" 2016;40 S.;m. zahlr. bunten Bild.;305 mm;ab 4 J.;";"210";"Witzig - seltsam - wunderbar"
"Wilson, Henrike";"Tambo, der kleine Elefant.";"Gerstenberg Verlag";"978-3-8369-5877-6";"PP";"12.95 EUR";"";"35.0";"430 g";" 2016;26 S.;m. zahlr. bunten Bild.;225 mm;Unzerr.;ab 3 J.;";"210";""
"Tallec, Olivier";"Wer war's wo?.";"Gerstenberg Verlag";"978-3-8369-5887-5";"GEB";"9.95 EUR";"";"35.0";"272 g";" 2016;32 S.;m. zahlr. bunten Bild.;14 x 30 cm;ab 3 J.;";"210";""
"Budde, Nadia";"Vor meiner Tür auf einer Matte.";"Hammer";"978-3-7795-0539-6";"GEB";"15.90 EUR";"";"30.0";"391 g";" 1. Aufl.;2016;32 S.;m. zahlr. bunten Bild.;25 cm;ab 4 J.;";"210";""
"Hein, Sybille";"Prinz Bummelletzter.";"Hanser";"978-3-446-24751-2";"GEB";"14.90 EUR";"21";"35.0";"";" 2016;32 S.;m. zahlr. bunten Bild.;ab 3 J.;";"210";""
"Hole, Stian";"Morkels Alphabet.";"Hanser";"978-3-446-25100-7";"LN";"14.90 EUR";"";"35.0";"401 g";" 2016;48 S.;m. Illustr.;272 mm;ab 6 J.;";"230";""
"L'Arronge, Lilli";"Du und ich, wir beide.";"Jacoby & Stuart";"978-3-941087-20-0";"GEB";"14.95 EUR";"";"35.0";"295 g";" 2016;48 S.;m. zahlr. bunten Bild.;193 mm;ab 3 J.;";"210";""
"Maske, Ulrich";"Shakespeare für Klein und Groß - Romeo und Julia.";"Jumbo Neue Medien";"978-3-8337-3531-8";"GEB";"16.99 EUR";"21";"30.0";"";" 2016;48 S.;m. zahlr. bunten Bild.;305 mm;ab 8 J.;";"210";""
"Janisch, Heinz";"Kommt das Nashorn.";"Jungbrunnen-Verlag";"978-3-7026-5895-3";"GEB";"14.95 EUR";"";"35.0";"361 g";" 2016;32 S.;m. zahlr. bunten Bild.;28 cm;ab 4 J.;";"210";""
"Olsson, Ingrid";"Gleich, sagt Mama.";"Klett Kinderbuch Verlag";"978-3-95470-130-8";"GEB";"13.95 EUR";"21";"30.0";"319 g";" 2016;32 S.;m. zahlr. bunten Bild.;26.7 cm;ab 3 J.;";"210";""
"Wirsen, Stina";"Klein.";"Klett Kinderbuch Verlag";"978-3-95470-131-5";"GEB";"9.95 EUR";"21";"30.0";"210 g";" 2016;40 S.;m. zahlr. bunten Bild.;15.3 x 21.3 cm;ab 3 J.;";"210";""
"Donaldson, Julia";"Der Troll und die wilden Piraten.";"Knesebeck";"978-3-86873-827-8";"GEB";"12.95 EUR";"21";"32.0";"454 g";" 2016;32 S.;m. zahlr. bunten Bild.;30 cm;ab 4 J.;";"210";""
"Rayner, Catherine";"Augustus sucht sein Lächeln.";"Knesebeck";"978-3-86873-902-2";"GEB";"12.95 EUR";"21";"32.0";"428 g";" 2016;32 S.;m. zahlr. bunten Bild.;26 cm;ab 4 J.;";"210";""
"Timbers, Susanne";"Das vergessliche Eichhörnchen.";"Minedition";"978-3-86566-267-5";"GEB";"14.95 EUR";"21";"35.0";"";" 2016;36 S.;m. zahlr. bunten Bild.;220 x 293 mm;ab 3 J.;";"210";""
"Weninger, Brigitte";"Das allerkleinste Nachtgespenst.";"Minedition";"978-3-86566-229-3";"GEB";"8.95 EUR";"21";"35.0";"";" 2016;32 S.;m. zahlr. bunten Bild.;19 cm;ab 3 J.;";"210";""
"Tjong-Khing, Thé";"Hieronymus.";"Moritz";"978-3-89565-321-6";"GEB";"14.95 EUR";"";"30.0";"596 g";" 2016;48 S.;m. zahlr. bunten Bild.;336 mm;ab 3 J.;";"210";"Ein Abenteuer in der Welt des Hieronymus Bosch"
"Ellis, Carson";"Zuhause.";"NordSüd Verlag";"978-3-314-10334-6";"GEB";"15.99 EUR";"";"35.0";"512 g";" 2016;48 S.;m. zahlr. bunten Bild.;254 mm;ab 4 J.;";"210";""
"Iwamura, Kazuo";"Familie Maus im Garten.";"NordSüd Verlag";"978-3-314-10327-8";"GEB";"14.99 EUR";"21";"35.0";"";" 2016;40 S.;Durchgehend farbig illustriert;ab 3 J.;";"210";""
"Weninger, Brigitte";"Das große Buch von Pauli.";"NordSüd Verlag";"978-3-314-10328-5";"GEB";"16.99 EUR";"21";"35.0";"";" 2016;144 S.;Durchgehend farbig illustriert;ab 4 J.;";"210";""
"Merveille, David";"Monsieur Hulot am Strand.";"NordSüd Verlag";"978-3-314-10338-4";"GEB";"16.99 EUR";"21";"35.0";"";" 2016;56 S.;Schwarz-Weiß illlustriert;ab 5 J.;";"230";""
"Sanabria, José";"Wie die Zeit vergeht.";"NordSüd Verlag";"978-3-314-10294-3";"GEB";"15.99 EUR";"";"35.0";"437 g";" 2016;48 S.;m. zahlr. bunten Bild.;222 x 286 mm;Kindergartenalter;";"200";""
