"Kulot, Daniela";"Zusammen!.";"Gerstenberg Verlag";"978-3-8369-5878-3";"PP";"9.95 EUR";"";"35.0";"276 g";" 2016;24 S.;m. zahlr. bunten Bild.;16 x 22 cm;Unzerr.;ab 2 J.;";"210";""
"Straßer, Susanne";"So leicht, so schwer.";"Hammer";"978-3-7795-0538-9";"GEB";"14.90 EUR";"";"30.0";"401 g";" 2016;24 S.;m. zahlr. bunten Bild.;21 x 21.5 cm;ab 2 J.;";"210";""
"Ferri, Giuliano";"Stein für Stein.";"Minedition";"978-3-86566-283-5";"PP";"12.95 EUR";"21";"35.0";"";" 2016;22 S.;m. zahlr. bunten Bild.;21 cm;Unzerr.;ab 2 J.;";"210";""
"Yonezu, Yusuke";"Wer lächelt hier?.";"Minedition";"978-3-86566-282-8";"PP";"9.95 EUR";"21";"35.0";"";" 2016;28 S.;m. zahlr. bunten Bild.;17 cm;Unzerr.;ab 2 J.;";"210";""
"Mühle, Jörg";"Badetag für Hasenkind.";"Moritz";"978-3-89565-315-5";"PP";"8.95 EUR";"";"30.0";"234 g";" 2016;22 S.;m. zahlr. bunten Bild.;Unzerr.;ab 2 J.;";"210";""
"Dal Lago, Gabriele";"Quak! Quak! Quak!.";"Ravensburger Buchverlag";"978-3-473-31706-6";"GEB";"5.99 EUR";"21";"35.0";"";" 1. Aufl.;2016;12 S.;m. zahlr. bunten Bild u. Fühlelement;130 mm;Leporello;ab 3 Mon.;";"210";""
"Spanner, Helmut";"Wer hat sich hier versteckt?.";"Ravensburger Buchverlag";"978-3-473-43558-6";"PP";"8.99 EUR";"";"35.0";"239 g";" 1. Aufl.;2016;12 S.;m. zahlr. bunten Bild. u. Schiebeelementen;160 mm;Unzerr.;ab 2 J.;";"210";""
"Spanner, Helmut";"Meine ersten Sachen.";"Ravensburger Buchverlag";"978-3-473-43502-9";"PP";"3.99 EUR";"";"35.0";"117 g";" 1. Aufl.;2016;20 S.;m. zahlr. bunten Bild.;130 mm;Unzerr.;ab 9 Mon.;";"210";""
"Spanner, Helmut";"Ich bin die kleine Ente.";"Ravensburger Buchverlag";"978-3-473-43548-7";"PP";"9.99 EUR";"";"35.0";"557 g";" 1. Aufl.;2016;24 S.;m. zahlr. bunten Bild u. Gucklöchern;310 mm;Unzerr.;ab 2 J.;";"210";""
"Bliesener, Klaus";"Farben.";"Ravensburger Buchverlag";"978-3-473-43547-0";"PP";"3.99 EUR";"";"35.0";"110 g";" 1. Aufl.;2016;20 S.;m. zahlr. bunten Bild. u. Gucklöchern;130 mm;Unzerr.;ab 9 Mon.;";"210";""
"Gernhäuser, Susanne";"Wer wohnt in der Wiese?.";"Ravensburger Buchverlag";"978-3-473-43546-3";"PP";"6.99 EUR";"";"35.0";"209 g";" 1. Aufl.;2016;12 S.;m. zahlr. bunten Bild.;205 mm;Unzerr. Registerstanzung;ab 18 Mon.;";"220";""
"Grimm, Sandra";"Meine liebsten Tiere.";"Ravensburger Buchverlag";"978-3-473-43554-8";"PP";"9.99 EUR";"";"35.0";"272 g";" 1. Aufl.;2016;16 S.;m. zahlr. bunten Bild u. Fühlelementen;190 mm;Unzerr.;ab 18 Mon.;";"210";"Zum Streicheln und Fühlen"
"Drescher, Daniela";"Pippa und Pelle auf Reisen.";"Urachhaus";"978-3-8251-7962-5";"PP";"7.90 EUR";"21";"34.0";"100 g";" 2016;12 S.;m. zahlr. bunten Bild.;16 cm;Unzerr.;ab 2 J.;";"210";""
