"Knudsen, Michelle";"Mathildas Monster.";"Orell Füssli";"978-3-280-03524-5";"GEB";"13.95 EUR";"";"30.0";"385 g";" 2016;40 S.;m. zahlr. bunten Bild.;22 x 24 cm;ab 3 J.;";"210";""
"Roher, Michael";"Zugvögel.";"Picus Verlag";"978-3-85452-163-1";"GEB";"15.00 EUR";"";"35.0";"356 g";" 2. Aufl.;2016;32 S.;m. zahlr. bunten Bild;285 mm;ab 3 J.;";"210";"Ausgezeichnet mit dem Kinder- und Jugendbuchpreis der Stadt Wien 2012"
"Rupp, Dominik";"Räuber Grapsch.";"Ravensburger Buchverlag";"978-3-473-44683-4";"GEB";"12.99 EUR";"";"35.0";"336 g";" 2016;32 S.;m. zahlr. bunten Bild.;300 mm;ab 3 J.;";"210";""
"Jugde, Lita";"Flugschule.";"Ravensburger Buchverlag";"978-3-473-44679-7";"GEB";"12.99 EUR";"";"35.0";"394 g";" 2016;40 S.;m. zahlr. bunten Bild.;26 cm;ab 3 J.;";"210";""
"Mabire, Gregoire";"Wölfe gibt's doch gar nicht!.";"Ravensburger Buchverlag";"978-3-473-44678-0";"GEB";"12.99 EUR";"";"35.0";"455 g";" 2016;32 S.;m. zahlr. bunten Bild.;280 mm;ab 4 J.;";"210";""
"Capobianco, Aurélie";"Im Reich des Schlafes.";"TintenTrinker";"978-3-946401-07-0";"GEB";"14.00 EUR";"";"35.0";"493 g";" 2016;28 S.;m. zahlr. bunten Bild.;29 cm;ab 4 J.;";"230";""
"Barnett, Mac";"Das Stinktier.";"Tulipan";"978-3-86429-278-1";"GEB";"13.00 EUR";"";"35.0";"238 g";" 2016;44 S.;m. zahlr. farb. Illustr.;21 cm;";"190";""
"Almond, David";"Nautilus' Traum.";"Tulipan";"978-3-86429-317-7";"GEB";"25.00 EUR";"";"35.0";"826 g";" 2016;48 S.;m. farb. Illustr.;38 cm;von 9-99 J.;";"250";""
"Schomburg, Andrea";"Professor Murkes streng geheimes Lexikon der ausgestorbenen Tiere, die es nie gab.";"Tulipan";"978-3-86429-270-5";"GEB";"15.00 EUR";"";"35.0";"348 g";" 2016;36 S.;m. zahlr. bunten Bild.;23 x 25 cm;ab 4 J.;";"210";""
"Glattauer, Nikolaus (Niki)";"Flucht.";"Tyrolia";"978-3-7022-3560-4";"GEB";"14.95 EUR";"";"33.3";"327 g";" 2. Aufl.;2016;32 S.;m. zahlr. bunten Bild.;265 mm;ab 5 J.;";"210";""
"Rickert, Anne";"Das Gute daran.";"Tyrolia";"978-3-7022-3519-2";"GEB";"14.95 EUR";"";"33.3";"310 g";" 2016;26 S.;m. zahlr. bunten Bild.;27 cm;ab 3 J.;";"210";"Bei Mama und bei Papa"
"Liniers";"Der rote Ballon.";"Verlag Antje Kunstmann";"978-3-95614-139-3";"GEB";"15.00 EUR";"";"30.0";"308 g";" 2016;32 S.;m. zahlr. bunten Bild.;270 mm;ab 3 J.;";"210";""
"Schmidt, Barbara";"Wie werd ich bloß den Hickauf los?.";"Verlag Antje Kunstmann";"978-3-95614-117-1";"GEB";"15.00 EUR";"";"30.0";"352 g";" 2016;36 S.;m. zahlr. bunten Bild.;269 mm;ab 3 J.;";"210";""
