"Desmond, Jenni";"Der Blauwal.";"Aladin";"978-3-8489-0108-1";"GEB";"15.95 EUR";"";"30.0";"521 g";" 2016;48 S.;m. zahlr. bunten Bild.;298 mm;ab 4 J.;";"220";""
"Tuckermann, Anja";"Wir schweigen nicht.";"Arena";"978-3-401-06854-1";"GEB";"14.99 EUR";"";"35.0";"528 g";" 2016;280 S.;Mit Fotos;21,5 cm;ab 12 J.;";"286";"Der Weg der Weißen Rose und der Geschwister Scholl in den Widerstand"
"Eismann, Sonja";"Fair für alle!.";"Beltz";"978-3-407-82179-9";"GEB";"16.95 EUR";"";"33.0";"314 g";" 2016;160 S.;7 schw.-w. Abb.;14.2 x 21.3 cm;ab 14 J.;";"282";"Warum Nachhaltigkeit mehr ist als nur "bio""
"Helms, Antje";"Mein Körper.";"Die Gestalten Verlag";"978-3-89955-711-4";"GEB";"19.90 EUR";"";"33.0";"568 g";" 1. Aufl.;2015;48 S.;m. zahlr. farb. Illustr.;28 cm;ab 8 J.;";"285";"Erklärt und illustriert"
"";"Meine Reise zu den Elefanten.";"Dorling Kindersley";"978-3-8310-3060-6";"GEB";"6.95 EUR";"";"35.0";"260 g";" 2016;64 S.;m. zahlr. farb. Illustr. u. Fotos;228 mm;Mit Lesebändchen;ab 6 J.;";"240";"Sach-Geschichten für Erstleser"
"";"Angriff aus der Tiefe.";"Dorling Kindersley";"978-3-8310-3061-3";"GEB";"7.95 EUR";"";"35.0";"397 g";" 2016;128 S.;m. zahlr. farb. Illustr. u. Fotos;228 mm;mit Lesebändchen;ab 7 J.;";"240";"Sach-Geschichten für Erstleser"
"";"Ich werde Ballerina!.";"Dorling Kindersley";"978-3-8310-3062-0";"GEB";"7.95 EUR";"";"35.0";"383 g";" 2016;128 S.;m. zahlr. farb. Illustr. u. Fotos;228 mm;Mit Lesebändchen;ab 7 J.;";"240";"Sach-Geschichten für Erstleser"
"";"Tiere für clevere Kids.";"Dorling Kindersley";"978-3-8310-3079-8";"GEB";"19.95 EUR";"";"35.0";"1492 g";" 2016;304 S.;m.  2.500 Farbfotos u. Grafiken;28,5 cm;ab 8 J.;";"282";"Über 800 Tierarten"
"";"Fahrzeuge.";"Dorling Kindersley";"978-3-8310-3076-7";"GEB";"19.95 EUR";"";"35.0";"1267 g";" 2016;256 S.;m. 1.000 Farbfotos;28,5 cm;ab 6 J.;";"283";"Autos, Züge, Flugzeuge und Schiffe in über 1000 Bildern"
"";"Bilderpedia.";"Dorling Kindersley";"978-3-8310-3071-2";"GEB";"24.95 EUR";"21";"35.0";"";" 2016;360 S.;über 10.000 Fotografien und Grafiken;301 mm;ab 8 J.;";"281";"Ein Lexikon - 10.000 Fotos"
"Leeuwen, Joke van";"Das tolle ABC-Buch.";"Gerstenberg Verlag";"978-3-8369-5926-1";"GEB";"12.95 EUR";"";"35.0";"371 g";" 2016;96 S.;m. zahlr. farb. Abb.;23 cm;ab 6 J.;";"240";"Bilder, Geschichten und Gedichte"
"Schutten, Jan P.";"Der Mensch.";"Gerstenberg Verlag";"978-3-8369-5910-0";"GEB";"26.00 EUR";"";"35.0";"932 g";" 2016;160 S.;m. zahlr. farb. Illustr. v. Floor Rieder;26.5 cm;ab 10 J.;";"283";"oder Das Wunder unseres Körpers und seiner Billionen Bewohner"
"Socha, Piotr";"Bienen.";"Gerstenberg Verlag";"978-3-8369-5915-5";"GEB";"24.95 EUR";"12";"35.0";"953 g";" 2016;80 S.;m. zahlr. farb. Illustr.;37 cm;ab 5 J.;";"282";""
