"Genechten, Guido van";"Wer ist glücklich, wer ist froh?.";"Aracari";"978-3-905945-61-4";"PP";"13.90 EUR";"21";"35.0";"";" 2016;18 S.;m. zahlr. bunten Bild.;Unzerr.;von 3-5 J.;";"210";"Bilderbuch"
"Reich, Stefanie";"Wer ist hier kunterbunt? Chamäleon oder Hund?.";"Arena";"978-3-401-70749-5";"PP";"5.99 EUR";"";"30.0";"317 g";" 2016;12 S.;m. zahlr. bunten Bild. u. Fühlelementen;192 mm;Unzerr.;ab 2 J.;";"210";""
"Wiehle, Katrin";"Alle vier Jahreszeiten - 100% Naturbuch.";"Beltz";"978-3-407-82143-0";"PP";"12.95 EUR";"";"33.0";"622 g";" 2016;16 S.;m. zahlr. bunten Bild.;34 cm;Unzerr.;ab 3 J.;";"210";""
"Biddulph, Rob";"Grrrrr!.";"Diogenes";"978-3-257-01185-2";"PP";"16.00 EUR";"21";"30.0";"";" 2016;32 S.;m. zahlr. bunten Bild.;280 mm;Unzerr.;ab 3 J.;";"210";""
"Freitag, Erdmute";"Der Riesenkürbis.";"Kinderbuchverlag, Berlin";"978-3-407-77203-9";"PP";"6.95 EUR";"";"33.0";"144 g";" 2016;12 S.;m. zahlr. bunten Bild.;16 x 21.5 cm;Unzerr.;ab 3 J.;";"210";""
"Bookworks";"Wir lernen Tierkinder kennen - Bauernhoftiere.";"Lingen";"978-3-945136-06-5";"PP";"7.95 EUR";"";"35.0";"315 g";" 2015;10 S.;m. 5 Stoff-Fühlelementen;22.5 cm;Unzerr.;ab 12 Mon.;";"210";""
"Hinton, Steph";"Schau mal ... wer da fährt.";"Lingen";"978-3-945136-46-1";"GEB";"7.95 EUR";"";"35.0";"449 g";" 2015;12 S.;m. zahlr. bunten Bild.;205 mm;ab 18 Mon.;";"210";"Ein Zieh- und Schiebebuch"
"Hinton, Steph";"Schau mal... wer da blubbert.";"Lingen";"978-3-945136-52-2";"GEB";"7.95 EUR";"";"35.0";"458 g";" 2016;12 S.;m. zahlr. bunten Bild. u. Schiebeelementen;205 mm;ab 18 Mon.;";"210";"Ein Zieh- und Schiebebuch"
"Bookworks";"Wir lernen Formen - Haustiere.";"Lingen";"978-3-945136-10-2";"PP";"7.95 EUR";"";"35.0";"308 g";" 2015;10 S.;m. 5 Stoff-Fühlelementen;22.5 cm;Unzerr.;ab 12 Mon.;";"210";""
"Koppens, Judith";"Katze bekommt eine Brille.";"Lingen";"978-3-945136-80-5";"GEB";"8.95 EUR";"";"35.0";"354 g";" 2016;32 S.;m. zahlr. bunten Bild.;22,5 cm;ab 2 J.;";"210";""
"Koppens, Judith";"Affe wird großer Bruder.";"Lingen";"978-3-945136-81-2";"GEB";"8.95 EUR";"";"35.0";"355 g";" 2016;32 S.;m. zahlr. bunten Bild.;22.5 cm;ab 2 J.;";"210";""
"Tickle, Jack";"Fisch entwischt.";"Loewe Verlag";"978-3-7855-8449-1";"GEB";"12.95 EUR";"";"31.0";"490 g";" 2016;24 S.;m. zahlr. bunten Bild., Klappen u. Ausstanzungen;285 mm;ab 3 J.;";"210";"Klappe auf, Klappe zu - Fischlein, wo bist du?"
"Mottl-Link, Sibylle";"Schau, was steckt in Obst und Gemüse?.";"Loewe Verlag";"978-3-7855-8488-0";"PP";"8.95 EUR";"";"31.0";"632 g";" 2016;28 S.;m. zahlr. bunten Bild.;280 mm;Unzerr.;ab 3 J.;";"220";""
"Ruel, Adeline";"Grosser Bär und kleiner Hase.";"Minedition";"978-3-86566-284-2";"PP";"9.95 EUR";"";"35.0";"211 g";" 1. Aufl.;2016;24 S.;m. zahlr. bunten Bild.;17 cm;Kindergartenalter;";"210";""
"Zur Brügge, Anne-Kristin";"Der kleine Fuchs hört einen Mucks.";"Oetinger";"978-3-7891-0443-5";"PP";"5.99 EUR";"";"35.0";"191 g";" 2016;16 S.;m. zahlr. bunten Bild.;170 cm;Unzerr.;ab 18 Mon.;";"210";""
"Schmidt, Hans-Christian";"Mein erstes Kasperletheater.";"Oetinger";"978-3-7891-0433-6";"PP";"9.99 EUR";"";"35.0";"272 g";" 2016;16 S.;m. zahlr. bunten Bild. u. Figuren zum Schieben;17 cm;ab 2 J.;";"210";""
"Badstuber, Martina";"Was braucht Fred Fuchs zum Fischen?.";"Oetinger";"978-3-7891-0411-4";"PP";"8.99 EUR";"";"35.0";"261 g";" 2016;16 S.;m. zahlr. bunten Bild. u. Klappen;195 mm;Unzerr.;Kindergartenalter;";"210";"Ein Ratebuch mit vielen Klappen!"
"Göhlich, Susanne";"10 kleine Burggespenster gingen auf die Reise.";"Orell Füssli";"978-3-280-03518-4";"PP";"9.95 EUR";"21";"30.0";"310 g";" 2016;24 S.;m. zahlr. bunten Bild.;16 x 22 cm;von 3-7 J.;";"210";""
"Fechner, Amrei";"Mein Riesenbilderbuch Sachen suchen - Alle meine Tiere.";"Ravensburger Buchverlag";"978-3-473-43581-4";"PP";"19.99 EUR";"";"35.0";"1198 g";" 2016;16 S.;m. zahlr. bunten Bild.;51,5 cm;Unzerr.;ab 2 J.;";"220";""
