"Malo, Roberto";"Tanga und der Leopard.";"ábac i lletres";"978-84-945417-3-5";"GEB";"13.95 EUR";"";"33.0";"526 g";" 2016;32 S.;m. zahlr. bunten Bild.;20 x 30 cm;Kindergarten- u. Vorschulalter;";"210";""
"Osorio, Víctor";"Dinge, von denen niemand weiß.";"ábac i lletres";"978-84-945417-1-1";"GEB";"12.95 EUR";"";"33.0";"444 g";" 2016;20 S.;m. zahlr. bunten Bild.;20 x 30 cm;Kindergartenalter;";"210";""
"Berner, Rotraut Susanne";"Der fliegende Hut.";"Aladin";"978-3-8489-0124-1";"GEB";"12.95 EUR";"";"30.0";"385 g";" 2017;40 S.;m. zahlr. bunten Bild.;275 mm;ab 3 J.;";"210";""
"Hirst, Daisy";"Alfonso, das macht man nicht!.";"Aladin";"978-3-8489-0119-7";"GEB";"14.95 EUR";"";"30.0";"420 g";" 2017;40 S.;m. zahlr. bunten Bild.;256 x 266 mm;ab 3 J.;";"210";""
"van Hout, Mies";"Spielplatz.";"Aracari";"978-3-905945-66-9";"GEB";"14.90 EUR";"21";"35.0";"";" 2017;32 S.;29 cm;ab 3 J.;";"210";"Bilderbuch"
"Kilaka, John";"Frische Fische.";"Baobab Books";"978-3-905804-79-9";"GEB";"16.50 EUR";"21";"35.0";"390 g";" 2. Aufl.;2017;32 S.;durchgehend farbig illustriert;21 x 29 cm;ab 5 J.;";"210";"Ein Bilderbuch aus Tansania"
"Baltscheit, Martin";"Löwenväter singen nicht!.";"Beltz";"978-3-407-74759-4";"GEB";"8.95 EUR";"";"33.0";"224 g";" 2017;48 S.;15.2 x 21.3 cm;ab 6 J.;";"240";""
"Ahoiii Entertainment UG";"Fiete - Das verrückte Rennen.";"Boje Verlag";"978-3-414-82452-3";"GEB";"12.90 EUR";"21";"35.0";"";" 1. Aufl. 2017;2017;32 S.;m. zahlr. bunten Bild.;275 mm;ab 3 J.;";"210";""
"Krüss, James";"Der Reisepudel Archibald.";"Boje Verlag";"978-3-414-82094-5";"GEB";"13.00 EUR";"21";"35.0";"";" 1. Aufl. 2017;2017;32 S.;m. zahlr. bunten Bild.;ab 4 J.;";"210";""
"Kulot, Daniela";"Woher kommt die Liebe?.";"Gerstenberg Verlag";"978-3-8369-5956-8";"GEB";"12.95 EUR";"";"35.0";"371 g";" 2017;32 S.;m. zahlr. bunten Bild.;200 x 295 mm;ab 3 J.;";"210";""
"Müller, Thomas";"Ein Jahr mit den Buntspechten.";"Gerstenberg Verlag";"978-3-8369-5917-9";"GEB";"12.95 EUR";"";"35.0";"387 g";" 2017;40 S.;m. zahlr. farb. Illustr.;220 x 255 mm;ab 5 J.;";"282";""
"Tallec, Olivier";"Wie war das?.";"Gerstenberg Verlag";"978-3-8369-5960-5";"GEB";"9.95 EUR";"";"35.0";"273 g";" 2017;32 S.;m. zahlr. bunten Bild.;30,5 cm;Mit Stanzungen;ab 3 J.;";"210";""
"Berner, Rotraut Susanne";"Hallo, Karlchen!.";"Hanser";"978-3-446-25524-1";"GEB";"12.00 EUR";"21";"35.0";"";" 2017;80 S.;Durchgehend farbig illustriert;Unzerr.;ab 3 J.;";"210";"4 Geschichten in einem Band"
"Traxler, Hans";"Eddy, der Elefant, der lieber klein bleiben wollte.";"Hanser";"978-3-446-25491-6";"GEB";"16.00 EUR";"21";"35.0";"";" 2017;44 S.;m. zahlr. bunten Bild.;328 mm;ab 4 J.;";"210";""
"Fühmann, Franz";"Am Schneesee.";"Hinstorff";"978-3-356-02095-3";"GEB";"14.99 EUR";"";"35.0";"421 g";" 2017;24 S.;m. zahlr. farb. Illustr.;306 mm;ab 5 J.;";"230";""
"";"Wir mit dir sind vier.";"Jacoby & Stuart";"978-3-946593-16-4";"GEB";"14.95 EUR";"";"35.0";"249 g";" 2017;40 S.;m. zahlr. bunten Bild.;19.5 cm;ab 3 J.;";"210";""
"Wierstra, Arnoud";"Babel.";"Jacoby & Stuart";"978-3-946593-21-8";"GEB";"15.00 EUR";"21";"35.0";"";" 2017;48 S.;m. zahlr. bunten Bild.;33.5 cm;Kindergartenalter;";"210";""
"George, Teresa";"Die wunderbare Reise nach Farbula.";"Jumbo Neue Medien";"978-3-8337-3685-8";"GEB";"17.00 EUR";"";"30.0";"367 g";" 2017;40 S.;m. zahlr. bunten Bild.;2.8 cm;ab 3 J.;";"210";""
"Guignard, Théo";"Labyrinthe.";"Jungbrunnen-Verlag";"978-3-7026-5910-3";"GEB";"17.95 EUR";"21";"35.0";"";" 2017;40 S.;29 x 30.5 cm;ab 5 J.;";"210";"Bilderbuch"
"Krumbach, Walter";"Vogelbilderbuch.";"Kinderbuchverlag, Berlin";"978-3-407-77204-6";"PP";"6.95 EUR";"";"33.0";"146 g";" 2017;12 S.;m. zahlr. bunten Bild.;21.4 cm;Unzerr.;ab 3 J.;";"210";""
"Bently, Peter";"Die tollkühnen Schafe in ihrer fliegenden Kiste.";"Knesebeck";"978-3-86873-920-6";"GEB";"12.95 EUR";"21";"30.0";"391 g";" 2017;32 S.;m. zahlr. bunten Bild.;28 cm;ab 5 J.;";"210";""
"Bond, Michael";"Paddington und der Buchstabenwettbewerb.";"Knesebeck";"978-3-86873-976-3";"GEB";"12.95 EUR";"21";"30.0";"502 g";" 2017;32 S.;m. zahlr. bunten Bild.;26.5 cm;ab 4 J.;";"210";""
"Weninger, Brigitte";"Ein Ball für alle.";"Minedition";"978-3-86566-347-4";"GEB";"10.00 EUR";"21";"35.0";"";" 2017;32 S.;m. zahlr. bunten Bild.;24 cm;ab 3 J.;";"210";"Bilderbuch"
"Rowe, John A.";"Bitte nimm mich in die Arme.";"Minedition";"978-3-86566-350-4";"GEB";"10.00 EUR";"21";"35.0";"";" 2017;32 S.;m. zahlr. bunten Bild.;ab 3 J.;";"210";"Bilderbuch"
"Thé, Tjong-Khing";"Kunst mit Torte.";"Moritz";"978-3-89565-333-9";"GEB";"13.95 EUR";"";"30.0";"522 g";" 2017;32 S.;m. zahlr. bunten Bild.;29.4 cm;ab 4 J.;";"210";""
"Kramer, Jackie Azúa";"Der fabelhafte Schirm.";"NordSüd Verlag";"978-3-314-10352-0";"GEB";"15.00 EUR";"21";"35.0";"363 g";" 2017;32 S.;Durchgehend farbig illustriert;28 cm;von 4-6 J.;";"210";""
"Julian, Sean";"Tapsi will kuscheln.";"NordSüd Verlag";"978-3-314-10363-6";"GEB";"14.00 EUR";"";"35.0";"340 g";" 2017;32 S.;25.8 cm;von 4-6 J.;";"210";""
"Iwamura, Kazuo";"So schön sind die Jahreszeiten.";"NordSüd Verlag";"978-3-314-10401-5";"GEB";"22.00 EUR";"21";"35.0";"";" 2017;112 S.;24.4 x 24.6 cm;von 4-6 J.;";"230";"Mit Matz, Fratz und Lisettchen"
"Chang, Pei-Yu";"Der geheimnisvolle Koffer von Herrn Benjamin.";"NordSüd Verlag";"978-3-314-10382-7";"GEB";"18.00 EUR";"";"35.0";"538 g";" 2017;48 S.;30.2 cm;";"210";""
"Manhart, Verena";"Herr Tukan! Herr Tukan!.";"Oetinger34";"978-3-95882-042-5";"GEB";"9.99 EUR";"21";"35.0";"";" 2017;48 S.;190 mm;ab 4 J.;";"210";""
"Foccroulle, Luc";"Opas geheimnisvoller Garten.";"Orell Füssli";"978-3-280-03546-7";"GEB";"12.95 EUR";"21";"30.0";"";" 2017;32 S.;230.00 x 265.00 mm;ab 3 J.;";"210";""
"Gréban, Quentin";"Habt ihr schon vom Wolf gehört?.";"Orell Füssli";"978-3-280-03538-2";"GEB";"14.95 EUR";"21";"30.0";"";" 2017;32 S.;275.00 mm;ab 4 J.;";"210";""
"Allert, Judith";"Krümel & Fussel - Immer dem Rüssel nach.";"Ravensburger Buchverlag";"978-3-473-44690-2";"GEB";"13.00 EUR";"";"35.0";"308 g";" 2017;32 S.;m. zahlr. bunten Bild.;270 mm;ab 4 J.;";"210";""
"Prasadam-Halls, Smriti";"Ein Kuss für jeden.";"Ravensburger Buchverlag";"978-3-473-44686-5";"GEB";"12.99 EUR";"";"35.0";"387 g";" 2017;32 S.;m. zahlr. bunten Bild.;280 mm;ab 3 J.;";"210";""
"Feile, Ruth";"Butz und Rosi ziehen um.";"Rieder";"978-3-946100-22-5";"GEB";"14.95 EUR";"21";"35.0";"460 g";" 2017;32 S.;m. zahlr. bunten Bild.;32 cm;ab 2 J.;";"210";""
"Huppertz, Nikola";"Meine Omi, die Wörter und ich.";"Tulipan";"978-3-86429-299-6";"GEB";"15.00 EUR";"";"35.0";"366 g";" 2017;36 S.;m. zahlr. bunten Bild.;23 x 25 cm;ab 4 J.;";"210";""
"Poferl, Miro";"Schlafen ist das Schönste auf der Welt.";"Tulipan";"978-3-86429-315-3";"GEB";"15.00 EUR";"";"35.0";"412 g";" 2017;40 S.;m. zahlr. bunten Bild.;28 cm;ab 4 J.;";"210";""
"Jongman, Mariken";"Großer kleiner Pottwal.";"Tulipan";"978-3-86429-277-4";"GEB";"15.00 EUR";"";"35.0";"443 g";" 2017;40 S.;m. zahlr. farb. Illustr.;28 cm;ab 4 J.;";"210";""
"Drescher, Daniela";"Als der Sandmann fast verschlafen hätte.";"Urachhaus";"978-3-8251-5120-1";"GEB";"12.90 EUR";"21";"33.0";"";" 2017;28 S.;m. zahlr. bunten Bild.;23 cm;ab 4 J.;";"210";""
"Dufft, Sanne";"Magnus und der Nachtlöwe.";"Urachhaus";"978-3-8251-5113-3";"GEB";"13.90 EUR";"21";"33.0";"";" 2017;32 S.;m. zahlr. bunten Bild.;23.5 cm;ab 4 J.;";"210";""
