"Banscherus, Jürgen";"Zwei Fälle für Kwiatkowski.";"Arena";"978-3-401-50946-4";"KT";"6.99 EUR";"";"30.0";"173 g";" 2017;152 S.;m. Illustr. v. Ralf Butschkow;19,6 cm;ab 8 J.;";"250";"Geisterspuk und schräge Typen. Kwiatkowskis spannendste Fälle"
"Schneider, Stephanie";"Abenteuer im Baumhaus.";"Arena";"978-3-401-70670-2";"GEB";"7.99 EUR";"";"30.0";"375 g";" 2017;64 S.;270 mm;Mit Bücherbärfigur am Lesebändchen und Abc-Stickerbogen;ab 5 J.;";"240";"Mit Leserätseln und großem Suchbild"
"Städing, Sabine";"Petronella Apfelmus - Überraschungsfest für Lucius.";"Boje Verlag";"978-3-414-82475-2";"GEB";"9.00 EUR";"21";"35.0";"";" 1. Aufl. 2017;2017;64 S.;210 mm;ab 6 J.;";"250";"Erstleser"
"Kruse, Max";"Eine Schultüte voller Geschichten.";"Boje Verlag";"978-3-414-82479-0";"GEB";"13.00 EUR";"21";"35.0";"";" 1. Aufl. 2017;2017;128 S.;240 mm;ab 5 J.;";"240";""
"Angermayer, Karen Christine";"Silberflosse - Der Zauber der Delfine.";"Loewe Verlag";"978-3-7855-8507-8";"GEB";"7.95 EUR";"";"30.0";"653 g";" 2017;208 S.;215 mm;ab 7 J.;";"240";""
"Thilo";"Die Dschungelfreunde.";"Loewe Verlag";"978-3-7855-8421-7";"GEB";"7.95 EUR";"";"30.0";"337 g";" 2017;48 S.;m. Illustr.;245 mm;ab 5 J.;";"240";""
"Heger, Ann-Katrin";"Geschichten vom Katzenbaby.";"Loewe Verlag";"978-3-7855-8440-8";"GEB";"7.95 EUR";"";"30.0";"338 g";" 2017;48 S.;m. zahlr. farb. Illustr.;245 mm;ab 5 J.;";"240";"1. Lesestufe"
"Wiechmann, Heike";"Krimigeschichten.";"Loewe Verlag";"978-3-7855-8273-2";"GEB";"7.95 EUR";"";"30.0";"391 g";" 2017;64 S.;25 cm;2. Lesestufe;ab 6 J.;";"240";""
"Richert, Katja";"Hexe Fanni und der Katerschreck.";"Loewe Verlag";"978-3-7855-8255-8";"GEB";"7.95 EUR";"";"30.0";"251 g";" 2017;48 S.;m. farb. Illustr.;22 cm;3. Lesestufe;ab 6 J.;";"240";""
"Pope Osborne, Mary";"Das magische Baumhaus junior - Das Geheimnis der Delfine.";"Loewe Verlag";"978-3-7855-8757-7";"GEB";"7.95 EUR";"21";"30.0";"";" 2017;80 S.;215 mm;ab 6 J.;";"240";""
"Iwasa, Megumi";"Viele Grüße, Deine Giraffe!.";"Moritz";"978-3-89565-337-7";"GEB";"10.95 EUR";"";"30.0";"390 g";" 2017;112 S.;m. Illustr.;15.4 x 21.6 cm;ab 6 J.;";"250";""
"Maar, Paul";"Das Sams darf sich was wünschen.";"Oetinger";"978-3-7891-0474-9";"GEB";"7.99 EUR";"21";"35.0";"";" 2017;64 S.;210 mm;ab 7 J.;";"240";"Mit 16 Seiten Leserätseln und -spielen"
"Boie, Kirsten";"Ein Hund spricht doch nicht mit jedem.";"Oetinger";"978-3-7891-0384-1";"GEB";"7.99 EUR";"21";"35.0";"";" 2017;64 S.;210 mm;ab 8 J.;";"240";""
"Boie, Kirsten";"Abenteuer im Möwenweg. Wir bekommen Kaninchen.";"Oetinger";"978-3-7891-0480-0";"GEB";"7.99 EUR";"21";"35.0";"";" 2017;64 S.;210 mm;ab 7 J.;";"240";""
"Lütje, Susanne";"Von Affenzahn bis Zuckerwatte, das ABC der Leseratte.";"Oetinger";"978-3-7891-0773-3";"GEB";"7.99 EUR";"21";"35.0";"";" 2017;32 S.;ab 5 J.;";"210";""
"Rohner, Viola";"Immer wieder Minna.";"Hammer";"978-3-7795-0581-5";"GEB";"12.90 EUR";"21";"30.0";"";" 2017;64 S.;24 cm;ab 5 J.;";"240";""
