"Bartók, Mira";"Der Wunderling.";"Aladin";"978-3-8489-2085-3";"PP";"16.95 EUR";"21";"30.0";"";" 2017;480 S.;203 mm;von 10-14 J.;";"250";""
"Hohnhold, Johanna";"Sadako. Ein Wunsch aus tausend Kranichen.";"Aladin";"978-3-8489-2099-0";"PP";"11.95 EUR";"21";"30.0";"";" 2017;144 S.;schwarz-weiß illustriert;196 mm;von 10-14 J.;";"250";""
"Green, Roger Lancelyn";"Sagen und Mythen der nordischen Götter.";"Arena";"978-3-401-60310-0";"GEB";"8.99 EUR";"21";"30.0";"";" 2017;304 S.;ab 10 J.;";"260";"Nacherzählt von Roger Lancelyn Green. Mit einem Vorwort von Richard Dübell:"
"Dübell, Richard";"Last Secrets - Der Mythos des Riesenkraken.";"Baumhaus Medien";"978-3-8339-0710-4";"GEB";"13.00 EUR";"21";"30.0";"";" 1. Aufl.;2017;224 S.;215 mm;ab 10 J.;";"250";""
"Dübell, Richard";"Last Secrets - Der Mythos des Riesenkraken.";"Baumhaus Medien";"978-3-8339-0710-4";"GEB";"13.00 EUR";"21";"30.0";"";" 1. Aufl.;2017;224 S.;215 mm;ab 10 J.;";"250";""
"Flynn, Tatum";"Devil Diaries - Teuflisch? Von wegen!.";"Baumhaus Medien";"978-3-8339-0712-8";"GEB";"13.00 EUR";"";"30.0";"487 g";" 1. Aufl.;2017;288 S.;210 mm;ab 10 J.;";"250";""
"Tashjian, Janet";"Mein Leben als Superagent.";"Baumhaus Medien";"978-3-8432-1100-0";"KT";"7.90 EUR";"";"30.0";"252 g";" 1. Aufl.;2017;256 S.;m. Cartoons v. Jake Tashjian;186 mm;ab 10 J.;";"250";""
"Rundell, Katherine";"Sophie auf den Dächern.";"Carlsen";"978-3-551-31683-7";"KT";"7.99 EUR";"21";"35.0";"";" 2017;256 S.;187 mm;von 11-18 J.;";"250";""
"Hartmann, Lukas";"Die wilde Sophie.";"Diogenes";"978-3-257-01199-9";"GEB";"16.00 EUR";"21";"30.0";"";" 2017;256 S.;m. Illustr.;18,5 cm;ab 9 J.;";"250";""
"Ludwig, Sabine";"Pandora und der phänomenale Mr Philby.";"Dressler Verlag GmbH";"978-3-7915-0060-7";"GEB";"14.99 EUR";"21";"35.0";"";" 2017;272 S.;210 mm;ab 10 J.;";"250";""
"Noël, Alyson";"Die verkehrte Stadt. Die wahrscheinlich seltsamste Geschichte, die du je gelesen hast.";"Dressler Verlag GmbH";"978-3-7915-0058-4";"GEB";"16.99 EUR";"21";"35.0";"";" 2017;320 S.;210 mm;ab 10 J.;";"250";""
"Lawrence, Iain";"Der Riesentöter.";"Freies Geistesleben";"978-3-7725-2757-9";"GEB";"19.00 EUR";"21";"33.0";"586 g";" 2017;288 S.;220 mm;ab 10 J.;";"250";""
"Nilsson, Frida";"Siri und die Eismeerpiraten.";"Gerstenberg Verlag";"978-3-8369-5920-9";"GEB";"14.95 EUR";"";"35.0";"534 g";" 2017;376 S.;m. Illustr.;185.0 mm;ab 10 J.;";"250";""
"Morshuis, Marloes";"Mick Mangodieb und die Rezepte der Sieben Weltmeere.";"Gerstenberg Verlag";"978-3-8369-5940-7";"GEB";"14.95 EUR";"";"35.0";"508 g";" 2017;240 S.;m. Illustr.;215.0 mm;ab 9 J.;";"250";""
"Wegelius, Jakob";"Esperanza.";"Gerstenberg Verlag";"978-3-8369-5990-2";"GEB";"12.95 EUR";"";"35.0";"256 g";" 2017;144 S.;m. zahlr. Illustr.;185.0 mm;ab 10 J.;";"250";""
"Loon, Paul van";"Das Gruselhandbuch.";"Jacoby & Stuart";"978-3-946593-44-7";"KT";"15.00 EUR";"15";"35.0";"370 g";" 2017;208 S.;21 cm;Englisch Broschur;ab 9 J.;";"250";"Ein Ratgeber für schaurige Stunden"
"Hechelmann, Friedrich";"Manolito.";"Knesebeck";"978-3-95728-060-2";"GEB";"29.95 EUR";"21";"30.0";"";" 2017;216 S.;10 schw.-w. Abb. 30 farb. Abb.;23 cm;ab 10 J.;";"250";"Ein fantastischer Märchen-Roman"
"Fähnrich, Heinz";"Der König, der nicht lachen konnte.";"NordSüd Verlag";"978-3-314-10384-1";"GEB";"20.00 EUR";"21";"35.0";"";" 2017;176 S.;Durchgehend farbig illustriert;27 cm;ab 10 J.;";"230";"Märchen aus Georgien"
"Boie, Kirsten";"Thabo. Detektiv und Gentleman. Der Rinder-Dieb.";"Oetinger";"978-3-7891-2034-3";"GEB";"12.99 EUR";"21";"35.0";"";" 2017;320 S.;m. Illustr.;210 mm;ab 10 J.;";"250";""
"Carter, Aimée";"Animox. Die Stadt der Haie.";"Oetinger";"978-3-7891-4625-1";"GEB";"14.99 EUR";"21";"35.0";"";" 2017;330 S.;210 mm;ab 10 J.;";"250";""
"Boie, Kirsten";"Thabo. Detektiv und Gentleman. Der Rinder-Dieb.";"Oetinger";"978-3-7891-2034-3";"GEB";"12.99 EUR";"21";"35.0";"";" 2017;320 S.;m. Illustr.;210 mm;ab 10 J.;";"250";""
"Woodfine, Katherine";"Kaufhaus der Träume - Das Rätsel um den verschwundenen Spatz.";"Ravensburger Buchverlag";"978-3-473-40812-2";"GEB";"12.99 EUR";"21";"35.0";"";" 2017;384 S.;mit schw.-w. Ill.;215 mm;ab 10 J.;";"250";""
"Lenk, Fabian";"1000 Gefahren auf dem Mars.";"Ravensburger Buchverlag";"978-3-473-52579-9";"KT";"5.99 EUR";"";"30.0";"126 g";" 2017;128 S.;m. Illustr.;18 cm;ab 10 J.;";"250";""
"Key, Watt";"Alabama Moon.";"Oetinger Taschenbuch";"978-3-8415-0557-6";"KT";"9.00 EUR";"21";"30.0";"";" 2019;352 S.;190 mm;Englisch Broschur;ab 10 J.;";"250";""
