"Schwarz, Regina";"Ich geb immer auf dich Acht. Gute Nacht!.";"Aracari";"978-3-905945-69-0";"PP";"14.90 EUR";"";"30.0";"239 g";" 2017;14 S.;m. zahlr. bunten u. aufklappb. Bild.;20 cm;Klappenbroschur;ab 2 J.;";"210";"Bilderbuch"
"Jaekel, Franziska";"Mein großes Feuerwehr-Spielbuch.";"Arena";"978-3-401-70989-5";"PP";"12.99 EUR";"";"35.0";"680 g";" 2. Aufl.;2018;12 S.;m. zahlr. bunten Bild.;320.00 mm;Unzerr. Mit Drehscheibe, vielen Klappen, Auszugseite und Schiebern;ab 2 J.;";"210";"Mit vielen Klappen, Schiebern und Drehscheibe"
"Kitzing, Constanze von";"Ich bin jetzt ... glücklich, wütend, stark.";"Carlsen";"978-3-551-17055-2";"GEB";"12.99 EUR";"";"35.0";"405 g";" 2017;98 S.;m. zahlr. bunten Bild.;140 mm;von 3-6 J.;";"210";""
"Schnabel, Dunja";"Hase, Fuchs und Reh fahren ... LKW!.";"Carlsen";"978-3-551-17100-9";"PP";"9.99 EUR";"";"35.0";"402 g";" 2017;36 S.;farbig illustriert;180 mm;von 2-4 J.;";"210";"Rate-Reime mit 36 Tieren und 12 Fahrzeugen"
"Grimm, Sandra";"Jakob geht zum Schwimmen.";"Carlsen";"978-3-551-17087-3";"PP";"5.99 EUR";"";"35.0";"172 g";" 2017;12 S.;m. zahlr. bunten u. ausklappb. Bild.;180 mm;Unzerr.;von 1-3 J.;";"210";""
"Hofmann, Julia";"Hör mal: Verse für Kleine: Hopp, hopp, hopp ..., m. Soundeffekten.";"Carlsen";"978-3-551-25135-0";"PP";"9.99 EUR";"";"35.0";"355 g";" 2017;14 S.;m. zahlr. bunten Bild.;180 mm;Unzerr.;von 1-3 J.;";"210";"6 Kniereiter mit Musik"
"";"Tiere im Wald.";"Dorling Kindersley";"978-3-8310-3377-5";"NON";"9.95 EUR";"";"35.0";"40 g";" 2017;8 S.;m. zahlr. bunten Bild. u. 2 Knisterseiten;140 mm;mit Klettverschluss und Schlaufe;ab 3 Mon.;";"210";""
"Berner, Rotraut Susanne";"Sommer-Wörter-Wimmelbuch.";"Gerstenberg Verlag";"978-3-8369-5611-6";"PP";"9.95 EUR";"";"35.0";"339 g";" 2017;14 S.;m. zahlr. bunten Bild.;26,5 cm;Unzerr.;ab 3 J.;";"210";""
"Damm, Antje";"Fledolin verkehrt herum.";"Gerstenberg Verlag";"978-3-8369-5977-3";"PP";"12.95 EUR";"";"35.0";"388 g";" 2017;26 S.;m. zahlr. bunten Bild.;200.0 mm;Unzerr.;ab 3 J.;";"210";""
"Kulot, Daniela";"Wieviel Uhr ist es nur?.";"Gerstenberg Verlag";"978-3-8369-5937-7";"PP";"13.95 EUR";"";"35.0";"444 g";" 2017;26 S.;m. zahlr. bunten Bild.;250.0 mm;Unzerr. Mit ausgestanzter Uhr und drehbaren Zeigern;ab 3 J.;";"210";""
"Carle, Eric";"Die kleine Raupe Nimmersatt - Mein kleines Buch der Ruhe.";"Gerstenberg Verlag";"978-3-8369-5962-9";"GEB";"7.95 EUR";"";"35.0";"162 g";" 2017;32 S.;m. zahlr. bunten Bild.;170.0 mm;ab 3 J.;";"210";""
