"Dübell, Richard";"Weihnachten will ich zu Hause sein.";"360 Grad";"978-3-96185-752-4";"KT";"10.00 EUR";"";"35.0";"134 g";" 2017;300 S.;19.4 cm;Englisch Broschur;für Jugendliche;";"250";""
"Dedieu, Thierry";"Auf der Suche nach dem Weihnachtsmann.";"Aracari";"978-3-905945-88-1";"GEB";"18.00 EUR";"";"30.0";"641 g";" 2017;64 S.;m. zahlr. bunten Bild.;31 cm;ab 4 J.;";"210";"Bilderbuch"
"Nesbø, Jo";"Doktor Proktor und das beinahe letzte Weihnachtsfest.";"Arena";"978-3-401-60190-8";"GEB";"14.00 EUR";"";"35.0";"768 g";" 2017;264 S.;m. farb. Illustr. v. Per Dybvig;29 cm;ab 8 J.;";"250";""
"Stalder, Maria";"Wer hat den Lebkuchen stibitzt?.";"Atlantis, Orell Füssli";"978-3-7152-0734-6";"GEB";"14.95 EUR";"";"30.0";"406 g";" 2017;32 S.;m. zahlr. bunten Bil.d;270 mm;ab 4 J.;";"210";""
"Steinhöfel, Andreas";"Rico, Oskar und das Vomhimmelhoch.";"Carlsen";"978-3-551-55665-3";"GEB";"14.99 EUR";"";"35.0";"602 g";" 2017;272 S.;mit vierfarbigen Illustrationen;210 mm;von 10-13 J.;";"250";""
"Bauer, Jutta";"Emma feiert Weihnachten.";"Carlsen";"978-3-551-51529-2";"GEB";"9.99 EUR";"";"35.0";"202 g";" 2017;32 S.;m. zahlr. bunten Bild.;186 mm;von 3-6 J.;";"210";""
"Hofmann, Julia";"Die Weihnachtsgeschichte für die Kleinsten.";"Carlsen";"978-3-551-17160-3";"PP";"4.99 EUR";"";"30.0";"147 g";" 2017;12 S.;m. zahlr. bunten Bild.;150 mm;Unzerr.;von 1-3 J.;";"210";""
"Reider, Katja";"Hör mal: Komm, wir feiern Weihnachten, m. Soundeffekten.";"Carlsen";"978-3-551-25136-7";"GEB";"14.99 EUR";"";"35.0";"348 g";" 2017;32 S.;m. zahlr. bunten Bild.;219 mm;von 3-8 J.;";"230";"Mit 14 Liedern und lustigen Geräuschen zur Weihnachtszeit"
"Krüss, James";"Das große Vorlesebuch für Weihnachten.";"Carlsen";"978-3-551-51910-8";"GEB";"14.99 EUR";"";"35.0";"731 g";" 2017;128 S.;257 mm;von 4-8 J.;";"230";"Sammelband mit 27 Geschichten"
"Schaefer, Kristina";"Mein kleines Winterwichtel-Wimmelbuch.";"Coppenrath, Münster";"978-3-649-62666-4";"PP";"6.99 EUR";"7";"30.0";"262 g";" 2018;14 S.;m. zahlr. bunten Bild.;160 mm;Unzerr.; mit Holografiefolie;ab 2 J.;";"210";""
"Wissmann, Maria";"Die Geschichte vom heiligen Nikolaus.";"Coppenrath, Münster";"978-3-649-62410-3";"PP";"6.99 EUR";"";"30.0";"111 g";" 2017;14 S.;m. zahlr. bunten Bild.;130 mm;Unzerr.;ab 2 J.;";"220";""
"Wissmann-Pavlov, Maria";"Die Geschichte von Sankt Martin.";"Coppenrath, Münster";"978-3-649-62409-7";"PP";"6.99 EUR";"";"30.0";"112 g";" 14 S.;m. zahlr. bunten u. ausklappb. Bild.;130 mm;Unzerr.;ab 2 J.;";"220";""
"Bosse, Sarah";"Weihnachten in der Pfeffergasse.";"Coppenrath, Münster";"978-3-649-62551-3";"GEB";"12.99 EUR";"";"30.0";"365 g";" 2017;184 S.;m. Illustr.;210 mm;ab 8 J.;";"250";""
"Berbig, Renus";"Das Wahnsinnsweihnachtswunder.";"DTV";"978-3-423-76046-1";"GEB";"9.95 EUR";"";"30.0";"345 g";" 2011;80 S.;Mit farbigen Illustrationen von Anke Kuhl;225 mm;ab 6 J.;";"250";"Sensational Christmas Wonderworks, Sons & Daughters Unlimited präsentiert"
"Stohner, Friedbert";"Ein Rentier kommt selten allein.";"DTV";"978-3-423-64034-3";"GEB";"12.95 EUR";"";"30.0";"332 g";" 2017;144 S.;210 mm;von 10-13 J.;";"250";"Unser Jahr mit dem Weihnachtsmann"
"Völk, Julie";"Stille Nacht, fröhliche Nacht.";"Gerstenberg Verlag";"978-3-8369-5602-4";"GEB";"16.95 EUR";"";"35.0";"434 g";" 2017;32 S.;m. zahlr. bunten Bild.;300 mm;Cover mit Spotlack;ab 4 J.;";"210";""
"Hannover, Heinrich";"Wenn die Engel Plätzchen backen.";"Gerstenberg Verlag";"978-3-8369-5619-2";"GEB";"12.95 EUR";"";"35.0";"414 g";" 2017;128 S.;durchgehend farbig;240 mm;ab 4 J.;";"230";"Weihnachtsgeschichten und Gedichte"
"Sigg, Stephan";"Mein großes Buch zur Weihnachtszeit.";"Herder, Freiburg";"978-3-451-71364-4";"GEB";"17.00 EUR";"";"35.0";"620 g";" 2017;112 S.;Durchgeh.farbig illustriert;238 mm;ab 5 J.;";"287";"Christliche Bräuche und Traditionen vom 1. Advent bis Dreikönig"
"Grün, Anselm";"Die Weihnachtsgeschichte.";"Herder, Freiburg";"978-3-451-71399-6";"GEB";"12.00 EUR";"";"35.0";"267 g";" 2017;32 S.;m. zahlr. bunten Bild.;227 mm;ab 4 J.;";"220";"Midi-Ausgabe"
"Steinhoff, Ulrike";"Die Geschichte von Sankt Martin.";"Herder, Freiburg";"978-3-451-71394-1";"PP";"6.00 EUR";"";"35.0";"120 g";" 2017;12 S.;m. zahlr. bunten Bild.;185 mm;Unzerr.;ab 2 J.;";"220";""
"Kottal, Julia";"Die Geschichte vom heiligen Nikolaus.";"Herder, Freiburg";"978-3-451-71336-1";"PP";"8.00 EUR";"";"35.0";"379 g";" 2017;14 S.;m. zahlr. bunten Bild.;210 mm;Unzerr.;ab 2 J.;";"220";""
"Dickens, Charles";"Eine Weihnachtsgeschichte.";"Knesebeck";"978-3-86873-941-1";"GEB";"24.95 EUR";"";"30.0";"1055 g";" 2017;192 S.;23 cm;Grundschulalter;";"250";"Und die Erzählung Ein Weihnachtsbaum"
"Krenzer, Rolf";"Meine erste Weihnachtsgeschichte.";"Loewe Verlag";"978-3-7855-8699-0";"PP";"4.95 EUR";"";"30.0";"164 g";" 2017;18 S.;m. zahlr. bunten Bild.;160 mm;Unzerr.;ab 2 J.;";"220";""
"Huang, Yu-hsuan";"Guck mal, schieb mal! - Fröhliche Weihnachten.";"Loewe Verlag";"978-3-7855-8802-4";"PP";"9.95 EUR";"";"30.0";"274 g";" 2017;10 S.;m. zahlr. bunten  u. bewegl. Bild.;180 mm;Unzerr.;ab 2 J.;";"210";""
"Underwood, Deborah";"Gestatten, die Weihnachtskatze!.";"Loewe Verlag";"978-3-7855-8845-1";"GEB";"8.95 EUR";"";"30.0";"423 g";" 2017;96 S.;m. zahl. bunten Bild.;205 mm;ab 3 J.;";"210";""
"Maruyama, Yoko";"Little Santa - Der kleine Weihnachtsmann.";"Minedition";"978-3-86566-317-7";"GEB";"14.95 EUR";"";"35.0";"424 g";" 2017;40 S.;m. zahlr. bunten Bild.;25,5 x 27 cm;ab 3 J.;";"210";""
"Westerlund, Kate";"Die Botschaft der Vögel.";"Minedition";"978-3-86566-230-9";"GEB";"8.95 EUR";"";"35.0";"146 g";" 2017;32 S.;m. zahlr. bunten Bild.;19 cm;ab 3 J.;";"210";""
