"Pautsch, Oliver";"Sherlock Holmes, der Meisterdetektiv (2). Das Rätsel um den schwarzen Hengst, 1 Audio-CD.";"Arena";"978-3-401-24088-6";"CD";"9.99 EUR";"21";"35.0";"";" 2018;ab 7 J.;";"240";"Klassiker für junge Hörer:, Lesung"
"Singer, Theresia";"Ein kleiner Hund mit Namen Fips & andere Gedichte und Lieder, 1 Audio-CD.";"headroom sound production";"978-3-96346-002-9";"CD";"12.90 EUR";"21";"35.0";"80 g";" 2018;1 S.;12.5 x 13.9 cm;ab 6 J.;";"230";"Lesung"
"Inkiow, Dimiter";"Die spannendsten griechischen Sagen, 1 Audio-CD.";"Igel-Records";"978-3-7313-1192-8";"CD";"13.00 EUR";"";"30.0";"86 g";" 2018;ab 7 J.;";"260";"CD Standard Audio Format, Lesung"
"Inkiow, Dimiter";"Die spannendsten griechischen Sagen, 1 Audio-CD.";"Igel-Records";"978-3-7313-1192-8";"CD";"13.00 EUR";"";"30.0";"86 g";" 2018;ab 7 J.;";"260";"CD Standard Audio Format, Lesung"
"Osterwalder, Markus";"Bobo Siebenschläfer - Großer Sommerspaß, 1 Audio-CD.";"Jumbo Neue Medien";"978-3-8337-3871-5";"CD";"11.00 EUR";"21";"30.0";"";" 2018;ab 2 J.;";"210";"CD Standard Audio Format, Lesung"
"Boie, Kirsten";"Ein Sommer in Sommerby, 4 Audio-CDs.";"Jumbo Neue Medien";"978-3-8337-3840-1";"CD";"15.00 EUR";"21";"30.0";"";" 2018;Grundschulalter;";"250";"CD Standard Audio Format, Lesung"
"Praml, Sabine";"Wenn sieben müde kleine Hasen abends in ihr Bettchen rasen und andere Geschichten, 1 Audio-CD.";"Oetinger Media";"978-3-8373-0982-9";"CD";"5.00 EUR";"21";"30.0";"";" 2018;Kindergartenalter;";"210";"Ungekürzte Lesungen mit Geräuschen und Musik, Musikdarbietung/Musical/Oper"
"Nordqvist, Sven";"Wie Findus zu Pettersson kam, 1 Audio-CD.";"Oetinger Media";"978-3-8373-1072-6";"CD";"5.00 EUR";"21";"30.0";"";" 2018;ab 4 J.;";"210";"Ungekürzte Lesung mit Musik, Musikdarbietung/Musical/Oper"
"Lindgren, Astrid";"Die schönsten Geschichten von Astrid Lindgren, 3 Audio-CDs.";"Oetinger Media";"978-3-8373-1048-1";"CD";"15.00 EUR";"21";"30.0";"";" 2018;ab 4 J.;";"210";"Hörspiele, Musikdarbietung/Musical/Oper"
"Nordqvist, Sven";"Pettersson und Findus - Die große Hörspielbox, 3 Audio-CDs.";"Oetinger Media";"978-3-8373-1052-8";"CD";"15.00 EUR";"21";"30.0";"";" 2018;ab 4 J.;";"210";"Hörspiele, Musikdarbietung/Musical/Oper"
"Nordqvist, Sven";"Wie Findus zu Pettersson kam, 1 Audio-CD.";"Oetinger Media";"978-3-8373-1072-6";"CD";"5.00 EUR";"21";"30.0";"";" 2018;ab 4 J.;";"210";"Ungekürzte Lesung mit Musik, Musikdarbietung/Musical/Oper"
"Lindgren, Astrid";"Die schönsten Geschichten von Astrid Lindgren, 3 Audio-CDs.";"Oetinger Media";"978-3-8373-1048-1";"CD";"15.00 EUR";"21";"30.0";"";" 2018;ab 4 J.;";"210";"Hörspiele, Musikdarbietung/Musical/Oper"
"Nordqvist, Sven";"Pettersson und Findus - Die große Hörspielbox, 3 Audio-CDs.";"Oetinger Media";"978-3-8373-1052-8";"CD";"15.00 EUR";"21";"30.0";"";" 2018;ab 4 J.;";"210";"Hörspiele, Musikdarbietung/Musical/Oper"
"Green, John";"Schlaft gut, ihr fiesen Gedanken, 6 Audio-CDs.";"Silberfisch";"978-3-86742-397-7";"CD";"20.00 EUR";"";"35.0";"156 g";" 2017;ab 14 J.;";"250";"6 CDs, Lesung"
"Ende, Michael";"Jim Knopf und Lukas der Lokomotivführer - Die ungekürzte Lesung, 6 Audio-CDs.";"Silberfisch";"978-3-86742-395-3";"CD";"19.99 EUR";"";"35.0";"151 g";" 2018;ab 3 J.;";"240";"6 CDs, Lesung"
"Sixtus, Albert";"Die Häschenschule, 1 Audio-CD.";"Silberfisch";"978-3-86742-373-1";"CD";"9.99 EUR";"";"35.0";"51 g";" 2018;Kindergartenalter;";"230";"Der große Sammelband"
"Napp, Daniel";"Dr. Brumm feiert Geburtstag / Dr. Brumm auf Hula Hula, 1 Audio-CD.";"Silberfisch";"978-3-86742-366-3";"CD";"9.99 EUR";"21";"35.0";"";" 2018;ab 3 J.;";"210";"1 CD, Lesung"
"Napp, Daniel";"Dr. Brumm fährt Zug / Dr. Brumm geht wandern, 1 Audio-CD.";"Silberfisch";"978-3-86742-369-4";"CD";"9.99 EUR";"21";"35.0";"";" 2018;ab 3 J.;";"210";"1 CD, Lesung"
"Scherz, Oliver";"Ein Freund wie kein anderer, 2 Audio-CDs.";"Silberfisch";"978-3-86742-377-9";"CD";"12.99 EUR";"21";"35.0";"";" 2018;ab 6 J.;";"240";"2 CDs, Lesung"
"Lofting, Hugh";"Doktor Dolittle, 2 Audio-CDs.";"Silberfisch";"978-3-86742-386-1";"CD";"12.99 EUR";"21";"35.0";"";" 2018;ab 8 J.;";"250";"2 CDs, Lesung"
"Riordan, Rick";"Magnus Chase - Das Schiff der Toten, 6 Audio-CDs.";"Silberfisch";"978-3-86742-384-7";"CD";"19.99 EUR";"21";"35.0";"";" 2018;ab 12 J.;";"250";"6 CDs, Lesung"
"Pullman, Philip";"His Dark Materials: Über den wilden Fluss, 10 Audio-CDs.";"Silberfisch";"978-3-86742-382-3";"CD";"25.00 EUR";"";"35.0";"281 g";" 2017;ab 14 J.;";"250";"Ungekürzte Lesung"
