"Michels, Tilde";"Kleine Hasen werden groß.";"Arena";"978-3-401-51077-4";"KT";"8.50 EUR";"";"30.0";"178 g";" 2018;96 S.;188.00 mm;ab 3 J.;";"230";""
"Beurenmeister, Corina";"Mein superdicker Mal- und Bastelblock. Lustiger Osterspaß.";"Arena";"978-3-401-71222-2";"KT";"5.00 EUR";"";"30.0";"582 g";" 2018;192 S.;205 mm;Geblockt;ab 4 J.;";"292";""
"";"Ostern schmecken Eier nach Schokolade.";"Baumhaus Medien";"978-3-8339-0544-5";"GEB";"8.00 EUR";"";"30.0";"195 g";" 1. Aufl.;2018;48 S.;160 mm;von 3-99 J.;";"180";"Kinder über Ostern, Hasen und die Eiersuche"
"Grosche, Erwin";"Kuckuck, wo ist das Ei versteckt?.";"Coppenrath, Münster";"978-3-649-62679-4";"PP";"8.99 EUR";"15";"30.0";"258 g";" 2018;12 S.;m. zahlr. bunten Bild. u. Schiebeelementen;160 mm;Unzerr.;ab 2 J.;";"210";""
"Grimm, Sandra";"Ostern! Die besten Geschichten und Lieder, 1 Audio-CD.";"Igel-Records";"978-3-7313-1189-8";"CD";"5.00 EUR";"";"30.0";"86 g";" 2018;143 x 123 mm;ab 4 J.;";"250";"CD Standard Audio Format, Lesung"
"Krause, Joachim";"Meine allererste OsterWimmelWelt.";"Loewe Verlag";"978-3-7432-0034-0";"PP";"7.95 EUR";"12";"30.0";"372 g";" 32 S.;m. zahlr. bunten Bild.;200 mm;ab 2 J.;";"210";""
"Taube, Anna";"Matti und die schönsten Ostereier der Welt.";"Magellan";"978-3-7348-1540-9";"PP";"9.00 EUR";"";"30.0";"218 g";" 2018;20 S.;m. zahlr. bunten Bild.;17.5 cm;Unzerr.;ab 2 J.;";"210";""
"Vogel, Heike";"Die große Osterei-Versteckerei.";"Oetinger";"978-3-7891-0897-6";"PP";"10.00 EUR";"";"35.0";"396 g";" 2018;16 S.;m. zahlr. bunten Bild. u. Schiebeelementen;195 mm;Klappenbroschur;ab 18 Mon.;";"210";"Mit vielen Schiebern!"
"Praml, Sabine";"Wenn sieben müde kleine Hasen abends in ihr Bettchen rasen und andere Geschichten, 1 Audio-CD.";"Oetinger Media";"978-3-8373-0982-9";"CD";"5.00 EUR";"";"30.0";"91 g";" 2018;142 x 129 mm;Kindergartenalter;";"210";"Ungekürzte Lesungen mit Geräuschen und Musik, Musikdarbietung/Musical/Oper"
"Schwarz, Regina";"Ach, du dickes Ei!.";"Ravensburger Buchverlag";"978-3-473-44688-9";"GEB";"13.00 EUR";"";"35.0";"346 g";" 2018;32 S.;m. zahlr. bunten Bild.;30,5 cm;ab 3 J.;";"210";""
"Kaiser, Jan";"Hase Hartmann.";"Urachhaus";"978-3-8251-5145-4";"GEB";"14.00 EUR";"";"33.0";"274 g";" 2. Aufl.;2018;32 S.;m. zahlr. bunten Bild.;252 mm;ab 3 J.;";"210";"Bilderbuch"
