"Edwards, Nicola";"Total verrückte Wörter.";"360 Grad";"978-3-96185-008-2";"GEB";"14.90 EUR";"21";"35.0";"";" 2018;64 S.;120;21 cm;von 9-16 J.;";"220";"Eine Sammlung unübersetzbarer Wörter aus der ganzen Welt"
"Walden, Libby";"Geheimnisvolle Welt.";"360 Grad";"978-3-96185-115-7";"GEB";"9.90 EUR";"21";"35.0";"";" 2018;18 S.;19.3 x 29.3 cm;von 0-6 J.;";"210";"Das Meer"
"Walden, Libby";"Geheimnisvolle Welt.";"360 Grad";"978-3-96185-114-0";"GEB";"9.90 EUR";"21";"35.0";"";" 2018;18 S.;29.3 cm;von 0-6 J.;";"210";"Der Wald"
"Lee, Suzy";"Welle.";"360 Grad";"978-3-96185-510-0";"GEB";"14.00 EUR";"21";"35.0";"";" 2018;40 S.;18.5 x 31.5 cm;von 0-6 J.;";"210";"Bilderbuch"
"Praml, Sabine";"Wenn sieben müde kleine Hasen abends in ihr Bettchen rasen und andere Geschichten, 1 Audio-CD.";"Oetinger Media";"978-3-8373-0982-9";"CD";"5.00 EUR";"21";"30.0";"";" 2018;Kindergartenalter;";"210";"Ungekürzte Lesungen mit Geräuschen und Musik, Musikdarbietung/Musical/Oper"
"Nordqvist, Sven";"Wie Findus zu Pettersson kam, 1 Audio-CD.";"Oetinger Media";"978-3-8373-1072-6";"CD";"5.00 EUR";"21";"30.0";"";" 2018;ab 4 J.;";"210";"Ungekürzte Lesung mit Musik, Musikdarbietung/Musical/Oper"
"Lindgren, Astrid";"Die schönsten Geschichten von Astrid Lindgren, 3 Audio-CDs.";"Oetinger Media";"978-3-8373-1048-1";"CD";"15.00 EUR";"21";"30.0";"";" 2018;ab 4 J.;";"210";"Hörspiele, Musikdarbietung/Musical/Oper"
"Nordqvist, Sven";"Pettersson und Findus - Die große Hörspielbox, 3 Audio-CDs.";"Oetinger Media";"978-3-8373-1052-8";"CD";"15.00 EUR";"21";"30.0";"";" 2018;ab 4 J.;";"210";"Hörspiele, Musikdarbietung/Musical/Oper"
"Grimm, Sandra";"Ostern! Die besten Geschichten und Lieder, 1 Audio-CD.";"Igel-Records";"978-3-7313-1189-8";"CD";"5.00 EUR";"21";"30.0";"";" 2018;ab 4 J.;";"250";"CD Standard Audio Format, Lesung"
"Inkiow, Dimiter";"Die spannendsten griechischen Sagen, 1 Audio-CD.";"Igel-Records";"978-3-7313-1192-8";"CD";"13.00 EUR";"";"30.0";"86 g";" 2018;ab 7 J.;";"260";"CD Standard Audio Format, Lesung"
"Druvert, Hélène";"Anatomie.";"Gerstenberg Verlag";"978-3-8369-5989-6";"GEB";"26.00 EUR";"";"35.0";"911 g";" 2018;40 S.;m. zahlr. farb. Illustr., Aufklappseiten und Lasercut-Scherenschnitten;36.5 cm;ab 8 J.;";"285";"Das faszinierende Innenleben des Menschen"
"Aladjidi, Virginie";"Steinbock, Adler, Edelweiß.";"Gerstenberg Verlag";"978-3-8369-5992-6";"GEB";"13.95 EUR";"";"35.0";"552 g";" 2018;64 S.;durchgehend farbig;30.5 cm;ab 4 J.;";"282";"Die Welt der Berge"
"Baumann, Anne-Sophie";"Tiere.";"Gerstenberg Verlag";"978-3-8369-5635-2";"GEB";"13.95 EUR";"";"35.0";"442 g";" 2018;10 S.;m. zahlr. farb. Illustr. u. Ausklapptaf. m. Klappen;16.5 x 32.5 cm;ab 5 J.;";"282";""
"Guerrive, Sophie";"Mücke, der famose Flieger.";"Gerstenberg Verlag";"978-3-8369-5622-2";"PP";"13.95 EUR";"";"35.0";"593 g";" 2018;28 S.;m. zahlr. bunten Bild.;31.5 cm;Unzerr.;ab 3 J.;";"210";""
"Albon, Lucie";"Mit Lili durch das Jahr.";"Gerstenberg Verlag";"978-3-8369-5632-1";"PP";"7.95 EUR";"";"35.0";"214 g";" 2018;26 S.;m. zahlr. bunten Bild.;15 cm;Unzerr.;ab 3 J.;";"210";""
"Farrell, Allison";"Das große Fahrrad-Fest.";"Gerstenberg Verlag";"978-3-8369-5627-7";"GEB";"16.95 EUR";"";"35.0";"444 g";" 2018;40 S.;m. zahlr. bunten Bild.;30 cm;ab 4 J.;";"210";""
"Susso, Eva";"Tausend Tipps für Feiglinge.";"Gerstenberg Verlag";"978-3-8369-5643-7";"GEB";"9.95 EUR";"";"35.0";"300 g";" 2018;112 S.;farbig;21.5 cm;ab 7 J.;";"250";"Roberts Handbuch Nr. 1"
