"Cousins, Lucy";"Tock Tock Tock.";"Aladin";"978-3-8489-0136-4";"PP";"9.95 EUR";"";"30.0";"391 g";" 2018;32 S.;m. zahlr. bunten Bild.;207 mm;Unzerr.;von 3-5 J.;";"210";""
"Sarah, Linda";"Beste Freunde.";"Aladin";"978-3-8489-0142-5";"PP";"9.95 EUR";"";"30.0";"310 g";" 2018;32 S.;m. zahlr. bunten Bild.;168 x 190 mm;Unzerr.;von 3-6 J.;";"210";""
"Hout, Mies van";"Guck-Guck! - Rund.";"Aracari";"978-3-905945-94-2";"PP";"10.00 EUR";"";"30.0";"430 g";" 2018;12 S.;m. zahlr. bunten Bild.;26.5 cm;Klappenbroschur;ab 12 Mon.;";"210";""
"Hout, Mies van";"Guck-Guck! - Viereckig.";"Aracari";"978-3-905945-93-5";"PP";"10.00 EUR";"";"30.0";"430 g";" 2018;12 S.;m. zahlr. bunten Bild.;26.5 cm;Klappenbroschur;ab 12 Mon.;";"210";""
"Müller, Thomas";"Ich gehe schlafen.";"Carlsen";"978-3-551-05387-9";"GEH";"14.95 EUR";"";"35.0";"85 g";" 2018;16 S.;m. zahlr. bunten Bild.;140 mm;von 0-3 J.;";"210";""
"Holtfreter, Nastja";"Mein kunterbuntes Tierbuch.";"Carlsen";"978-3-551-05380-0";"GEH";"14.95 EUR";"12";"35.0";"86 g";" 2018;16 S.;m. zahlr. bunten Bild.;140 mm;von 1-3 J.;";"210";""
"Jakobs, Günther";"Wenn der Mond die Sterne zählt ... und dem Kind beim Schlafen hilft.";"Carlsen";"978-3-551-17092-7";"PP";"9.99 EUR";"12";"35.0";"374 g";" 2018;24 S.;m. zahlr. bunten Bild.;200 mm;Unzerr. Cover mit Hochprägung + Glanz-Lack;von 3-7 J.;";"210";""
"Godeau, Natacha";"Hör mal: Mozart, m. Soundeffekten.";"Carlsen";"978-3-551-25182-4";"PP";"14.99 EUR";"";"35.0";"554 g";" 2018;10 S.;m. zahlr. bunten Bild.;250 mm;von 3-7 J.;";"220";"Mit 5 beliebten Mozart-Melodien"
"Guerrive, Sophie";"Mücke, der famose Flieger.";"Gerstenberg Verlag";"978-3-8369-5622-2";"PP";"13.95 EUR";"";"35.0";"593 g";" 2018;28 S.;m. zahlr. bunten Bild.;31.5 cm;Unzerr.;ab 3 J.;";"210";""
"Albon, Lucie";"Mit Lili durch das Jahr.";"Gerstenberg Verlag";"978-3-8369-5632-1";"PP";"7.95 EUR";"15";"35.0";"214 g";" 2018;26 S.;m. zahlr. bunten Bild.;15 cm;Unzerr.;ab 3 J.;";"210";""
"Guerrive, Sophie";"Mücke, der famose Flieger.";"Gerstenberg Verlag";"978-3-8369-5622-2";"PP";"13.95 EUR";"";"35.0";"593 g";" 2018;28 S.;m. zahlr. bunten Bild.;31.5 cm;Unzerr.;ab 3 J.;";"210";""
"Budde, Nadia";"Eins zwei drei Vampir.";"Peter Hammer Verlag";"978-3-7795-0585-3";"PP";"13.00 EUR";"";"30.0";"273 g";" 2. Aufl.;2018;20 S.;m. zahlr. bunten Bild.;17.5 x 22 cm;Unzerr.;von 3-99 J.;";"210";""
"Port, Moni";"Kennst du das schon?.";"Klett Kinderbuch Verlag";"978-3-95470-185-8";"GEB";"15.00 EUR";"";"30.0";"761 g";" 2018;24 S.;m. zahlr. bunten Bild.;34 cm;ab 2 J.;";"210";"Wichtige Wörter: Deutsch, Englisch, Französisch, Arabisch"
"Slater, Nicola";"Zum Geburtstag viel Glück!, m. Soundeffekten.";"Loewe Verlag";"978-3-7855-8881-9";"PP";"14.95 EUR";"";"30.0";"433 g";" 2018;10 S.;205 mm;m. Spotlack, 5 Sounds und Lichteffekt;ab 2 J.;";"210";"Drücke die Note und höre die Musik! Mit Kerzenlicht!"
"Livanios, Eleni";"Viel los im Garten!.";"Loewe Verlag";"978-3-7855-8698-3";"PP";"8.95 EUR";"";"30.0";"582 g";" 2018;16 S.;310 mm;Unzerr.;ab 2 J.;";"210";""
"Ferri, Giuliano";"Sehen, hören, fühlen ....";"Minedition";"978-3-86566-292-7";"PP";"11.95 EUR";"";"35.0";"205 g";" 2018;22 S.;m. zahlr. bunten Bild.;17 cm;ab 2 J.;";"210";"Die fünf Sinne"
"Mroziewicz Bahia, Elsa";"Tierstimmen.";"Minedition";"978-3-86566-293-4";"PP";"11.95 EUR";"";"35.0";"177 g";" 2018;12 S.;m. zahlr. bunten Bild.;150 x 89 mm;ab 2 J.;";"210";""
"Wrede, Michael";"Frieda hilft.";"Minedition";"978-3-86566-326-9";"GEB";"13.95 EUR";"";"35.0";"392 g";" 2018;40 S.;m. zahlr. bunten Bild.;27 cm;ab 3 J.;";"210";""
