"Spanjardt, Eva";"Mein Baby-Pixi-Buggybuch: Draußen unterwegs.";"Carlsen";"978-3-551-05168-4";"KT";"4.99 EUR";"";"30.0";"32 g";" 2018;16 S.;farbig illustriert;140 mm;von 0-3 J.;";"210";"Unkaputtbar. Wasserfest. Reissfest. Schadstofffrei"
"Geis, Maya";"Baden, planschen, Haare waschen.";"Carlsen";"978-3-551-05164-6";"KT";"2.99 EUR";"";"30.0";"17 g";" 2018;16 S.;farbig illustriert;140 mm;ab 12 Mon.;";"210";""
"Kitzing, Constanze von";"Unsere große bunte Welt.";"Carlsen";"978-3-551-17140-5";"PP";"10.00 EUR";"";"35.0";"498 g";" 2018;36 S.;farbig illustriert;180 mm;Unzerr.;von 2-7 J.;";"210";"Miteinander lernen"
"Henn, Astrid";"Mein Haus hat eine rote Tür.";"Carlsen";"978-3-551-17053-8";"PP";"13.00 EUR";"21";"35.0";"408 g";" 2018;82 S.;farbig illustriert;140 mm;Flexpappe;von 3-6 J.;";"210";"Ein Mitmachbuch"
"Mußenbrock, Anne";"Meine wilde Welt.";"Coppenrath, Münster";"978-3-649-62557-5";"PP";"12.00 EUR";"";"30.0";"276 g";" 2018;12 S.;m. zahlr. bunten u. ausklappb. Bild.;200 mm;Unzerr. Leporello; mit Schutzumschlag; mit Klappen;ab 12 Mon.;";"210";"Ein Leporello mit Klappen"
"Berner, Rotraut Susanne";"Herbst-Wörterwimmelbuch.";"Gerstenberg Verlag";"978-3-8369-5657-4";"PP";"9.95 EUR";"";"35.0";"365 g";" 2018;14 S.;m. zahlr. bunten Bild.;275.0 mm;Unzerr.;ab 2 J.;";"210";""
"Berner, Rotraut Susanne";"Gute Reise, Karlchen!.";"Hanser";"978-3-446-26058-0";"GEB";"9.00 EUR";"";"35.0";"210 g";" 2018;18 S.;m. zahlr. bunten Bild.;212 mm;Unzerr.;ab 2 J.;";"210";""
"Rinker, Sherri Duskey";"Gute Nacht, Baustelle, gut' Nacht!.";"Jacoby & Stuart";"978-3-946593-88-1";"PP";"12.95 EUR";"";"30.0";"251 g";" 2018;32 S.;durchgehend farbig;14.5 x 15 cm;Unzerr.;ab 2 J.;";"210";"Pappausgabe"
"Holtfreter, Nastja";"Schlaf gut, kleines Murmeltier!.";"Magellan";"978-3-7348-1560-7";"PP";"9.00 EUR";"";"30.0";"217 g";" 2018;20 S.;17.5 cm;Unzerr.;ab 2 J.;";"210";""
"Klaar, Norman";"So 'ne lange Autoschlange.";"Magellan";"978-3-7348-1539-3";"PP";"9.00 EUR";"";"30.0";"218 g";" 2018;20 S.;m. zahlr. bunten Bild.;17.5 cm;Unzerr.;ab 2 J.;";"210";""
