"Pang, Hannah";"Der Mond.";"360 Grad";"978-3-96185-010-5";"GEB";"20.00 EUR";"15";"35.0";"867 g";" 2018;176 S.;260;26 cm;Für Kinder u. Jugendliche;";"283";"Mystische Geheimnisse und wissenschaftliche Fakten"
"Walden, Libby";"In der Savanne.";"360 Grad";"978-3-96185-014-3";"GEB";"14.00 EUR";"";"35.0";"499 g";" 2018;12 S.;26;258 x 255 mm;von 4-8 J.;";"220";""
"Hattie, Ellie";"Der geheimnisvolle Fall des verschwundenen Mammuts.";"360 Grad";"978-3-96185-514-8";"GEB";"15.00 EUR";"";"35.0";"490 g";" 2018;24 S.;28.6 cm;Klappenbroschur;von 0-6 J.;";"210";"Mit vielen Sachinfos und Klappen"
"Prasadam-Halls, Smriti";"Auf den Spuren der Wölfe.";"Aladin";"978-3-8489-0139-5";"GEB";"17.00 EUR";"";"30.0";"630 g";" 2018;48 S.;farbig illustriert;316 mm;von 7-12 J.;";"282";""
"Schultze, Miriam";"Kinder unserer Welt, m. Soundeffekten.";"Coppenrath, Münster";"978-3-649-62923-8";"PP";"17.00 EUR";"7";"30.0";"500 g";" 2018;24 S.;4-fbg.;210 x 225 mm;Pappe; mit Soundleiste mit 12 Sounds;ab 6 J.;";"285";"12 Kinder stellen sich in ihrer Landessprache vor"
"Nash, Eryl";"Die Urzeit.";"Coppenrath, Münster";"978-3-649-62827-9";"KT";"7.99 EUR";"";"30.0";"175 g";" 2018;32 S.;2-fbg.;296 mm;Broschur; mit Sonderfarbe und UV-Spotlack; mit Sonderfarbe;ab 8 J.;";"282";"Die Zeitung für den modernen Dino"
"Enseling, Katja";"Das Rekord-Bastelbuch.";"Coppenrath, Münster";"978-3-649-62834-7";"GEB";"17.00 EUR";"";"30.0";"740 g";" 2018;144 S.;4-fbg.;230 mm;Hardcover; mit Spotlack;ab 8 J.;";"292";"60 Kreativ-Ideen für deine Olympiade"
"";"Der unglaublichste Atlas der Welt.";"Dorling Kindersley";"978-3-8310-3556-4";"GEB";"19.95 EUR";"";"35.0";"1223 g";" 2018;160 S.;Mit farbigen Fotografien und 3-D-Karten;308 mm;ab 10 J.;";"281";"So hast du unsere Erde noch nie gesehen. Spektakuläre 3-D-Karten"
"";"Mein Körper.";"Dorling Kindersley";"978-3-8310-3574-8";"GEB";"8.95 EUR";"";"35.0";"399 g";" 2018;32 S.;m. zahlr. farb. Abb.;242 mm;ab 4 J.;";"220";"Selber machen - ausprobieren"
"";"Dinosaurier.";"Dorling Kindersley";"978-3-8310-3564-9";"GEB";"16.95 EUR";"";"35.0";"1010 g";" 2018;208 S.;m. zahlr. farb. Illustr.;28,5 cm;ab 7 J.;";"282";"Lebewesen und Fossilien der Urzeit in über 1000 Bildern"
