"Becker, Carola";"Mäc Mief und das verrückte Baumstammwerfen, 1 Audio-CD.";"Audiolino";"978-3-86737-298-5";"CD";"12.90 EUR";"21";"30.0";"";" 2018;ab 7 J.;";"250";"CD Standard Audio Format, Lesung"
"Drescher, Daniela";"Giesbert hört das Gras wachsen, 1 Audio-CD.";"Audiolino";"978-3-86737-296-1";"CD";"12.90 EUR";"21";"30.0";"";" 2018;ab 6 J.;";"240";"CD Standard Audio Format, Lesung"
"Fährmann, Willi";"Deutsche Heldensagen, 2 Audio-CDs.";"Audiolino";"978-3-86737-308-1";"CD";"14.90 EUR";"21";"30.0";"";" 2018;ab 10 J.;";"260";"Siegfried von Xanten Kriemhilds Rache Dietrich von Bern, Lesung"
"Preußler, Otfried";"Hörbe und sein Freund Zwottel, 1 Audio-CD.";"Der Audio Verlag, DAV";"978-3-7424-0670-5";"CD";"9.99 EUR";"";"30.0";"58 g";" 2018;143 x 128 mm;ab 5 J.;";"240";"Hörspiel mit Nico Holonics, Sandra Schwittau u.v.a. (1 CD), Hörspiel"
"Christine, Nöstlinger";"Die feuerrote Friederike, 1 Audio-CD.";"Der Audio Verlag, DAV";"978-3-7424-0762-7";"CD";"9.99 EUR";"";"30.0";"58 g";" 2018;139 x 127 mm;ab 6 J.;";"250";"Hörspiel mit Brigitte Grothum, Sandra Schwittau u.v.a. (1 CD), Hörspiel"
"Barrie, James Matthew";"Peter Pan, 2 Audio-CDs.";"Der Audio Verlag, DAV";"978-3-7424-0472-5";"CD";"12.99 EUR";"21";"30.0";"";" 2018;ab 8 J.;";"250";"Hörspiel (2 CDs), Hörspiel"
"Favilli, Elena";"Good Night Stories for Rebel Girls - 100 außergewöhnliche Frauen, 3 Audio-CDs.";"Der Audio Verlag, DAV";"978-3-7424-0767-2";"CD";"16.99 EUR";"21";"30.0";"";" 2018;ab 12 J.;";"250";"Ungekürzte Lesung mit Jodie Ahlborn, Sandra Schwittau u.v.a. (3 CDs), Lesung"
"Meyer-Göllner, Matthias";"Herbstleuchten und Laternenfest, 1 Audio-CD.";"Jumbo Neue Medien";"978-3-8337-3925-5";"CD";"10.00 EUR";"";"30.0";"95 g";" 2018;144 x 126 mm;ab 3 J.;";"230";"Lieder unterm Sternenhimmel, Musikdarbietung/Musical/Oper"
"Nöstlinger, Christine";"Die feuerrote Frederike, 1 Audio-CD.";"Jumbo Neue Medien";"978-3-8337-3935-4";"CD";"11.00 EUR";"";"30.0";"89 g";" 2018;143 x 125 mm;ab 4 J.;";"240";"CD Standard Audio Format, Lesung"
"Nagel, Rolf";"Rot wie Rosen und Weiß wie Schnee, 1 Audio-CD.";"Jumbo Neue Medien";"978-3-8337-3931-6";"CD";"5.00 EUR";"";"30.0";"87 g";" 2018;144 x 126 mm;ab 4 J.;";"260";"CD Standard Audio Format, Lesung"
"Boie, Kirsten";"Thabo. Detektiv und Gentleman - Der Nashorn-Fall., 1 Audio-CD.";"Jumbo Neue Medien";"978-3-8337-3947-7";"CD";"13.00 EUR";"";"30.0";"90 g";" 2018;140 x 125 mm;von 5-11 J.;";"250";"Das Hörspiel, Hörspiel"
