"Hohler, Franz";"Am liebsten aß der Hamster Hugo Spaghetti mit Tomatensugo.";"Hanser";"978-3-446-26055-9";"GEB";"14.00 EUR";"";"35.0";"310 g";" 2018;64 S.;Durchgehend farbig illustriert;246 mm;ab 5 J.;";"250";"Tiergedichte"
"Laube, Christina";"Marthas Reise.";"Knesebeck";"978-3-95728-185-2";"GEB";"25.00 EUR";"";"30.0";"646 g";" 2018;40 S.;31.3 cm;ab 8 J.;";"250";""
"Mennen, Ingrid";"Ein Kleid voller Geschichten.";"Kunstanstifter Verlag";"978-3-942795-66-1";"GEB";"22.00 EUR";"";"30.0";"424 g";" 2018;44 S.;m. farb. Illustr.;264 mm;Für Kinder u. Jugendliche;";"210";""
"Kim, Young-ah";"Auch solche Tage gibt es.";"Aracari";"978-3-907114-02-5";"KT";"14.00 EUR";"";"30.0";"460 g";" 2018;36 S.;26.5 cm;ab 4 J.;";"210";""
"Westin Verona, Jenny";"Kalle und Elsa.";"Bohem Press";"978-3-95939-066-8";"GEB";"16.95 EUR";"";"30.0";"460 g";" 2018;32 S.;300 mm;Hardcover; mit Prägung;ab 3 J.;";"210";"Ein Sommerabenteuer"
"Litchfield, David";"An der Geige: Hugo, der Hund!.";"Bohem Press";"978-3-95939-063-7";"GEB";"16.95 EUR";"";"30.0";"466 g";" 2018;40 S.;40 farb. Abb.;300 mm;Hardcover mit Schutzumschlag; Hardcover; mit Schutzumschlag mit Stanzung;ab 3 J.;";"210";""
"Rosenstock, Barb";"Der Wundergarten.";"Freies Geistesleben";"978-3-7725-2886-6";"GEB";"18.00 EUR";"";"33.0";"426 g";" 2018;44 S.;2 Ausklappseiten;28.8 cm;ab 6 J.;";"250";"Nek Chand baut sein geheimes Reich"
"Shusterman, Neal";"Kompass ohne Norden.";"Hanser";"978-3-446-26046-7";"GEB";"19.00 EUR";"";"35.0";"506 g";" 2. Aufl.;2018;352 S.;Mit Abbildungen;220 mm;ab 14 J.;";"250";"Ausgezeichnet mit dem National Book Award"
"Poznanski, Ursula";"Thalamus.";"Loewe Verlag";"978-3-7855-8614-3";"KT";"16.95 EUR";"";"30.0";"591 g";" 2018;448 S.;210 mm;ab 14 J.;";"250";""
"Hub, Ulrich";"Ein Känguru wie du.";"Carlsen";"978-3-551-31779-7";"KT";"5.99 EUR";"21";"35.0";"";" 2018;96 S.;mit farbigen Bildern;187 mm;von 8-12 J.;";"250";""
"Lambeck, Silke";"Mein Freund Otto, das wilde Leben und ich.";"Gerstenberg Verlag";"978-3-8369-5625-3";"GEB";"12.95 EUR";"";"35.0";"407 g";" 2018;184 S.;durchgehend illustriert;215.0 mm;ab 8 J.;";"250";""
"Heinrich, Finn-Ole";"Die Reise zum Mittelpunkt des Waldes.";"mairisch Verlag";"978-3-938539-51-4";"GEB";"20.00 EUR";"";"30.0";"382 g";" 2018;184 S.;mit zahlreichen 2-farbigen Abbildungen und Tutorials;209 x 154 mm;ab 8 J.;";"250";"Reuberroman"
"Szillat, Antje";"Rick - Zu cool für diese Welt.";"Coppenrath, Münster";"978-3-649-61473-9";"GEB";"10.00 EUR";"";"30.0";"585 g";" 2018;336 S.;1-fbg.;210 mm;Hardcover; mit Folie;ab 10 J.;";"250";""
"Hartmann, Lukas";"Die magische Zahnspange.";"Diogenes";"978-3-257-01236-1";"GEB";"16.00 EUR";"";"30.0";"250 g";" 2018;240 S.;184 mm;ab 10 J.;";"250";""
"Fombelle, Timothée de";"Tobie Lolness.";"Gerstenberg Verlag";"978-3-8369-5660-4";"KT";"20.00 EUR";"";"35.0";"991 g";" 2018;784 S.;reich bebildert;215.0 mm;ENGLBR#21;mit Wendeposter als Schutzumschlag;ab 10 J.;";"250";"Ein Leben in der Schwebe, Die Augen von Elisha"
"Sloan, Holly Goldberg";"Short.";"Hanser";"978-3-446-26047-4";"GEB";"16.00 EUR";"";"35.0";"436 g";" 2018;256 S.;221 mm;ab 10 J.;";"250";"Manchmal wächst man über sich hinaus"
"Benjamin, Ali";"Die Wahrheit über Dinge, die einfach passieren.";"Hanser";"978-3-446-26049-8";"GEB";"17.00 EUR";"";"35.0";"432 g";" 2018;240 S.;221 mm;ab 12 J.;";"250";""
"Ateliers Hafenstraße 64";"365 mal Vorlesen.";"Carlsen";"978-3-551-51052-5";"GEB";"20.00 EUR";"";"35.0";"1366 g";" 2018;376 S.;Mit farbigen Bildern;213 x 257.5 mm;von 4-7 J.;";"230";"Geschichten und Gedichte für das ganze Jahr"
"Pang, Hannah";"Der Mond.";"360 Grad";"978-3-96185-010-5";"GEB";"20.00 EUR";"";"35.0";"867 g";" 2018;176 S.;260;26 cm;Für Kinder u. Jugendliche;";"283";"Mystische Geheimnisse und wissenschaftliche Fakten"
"Socha, Piotr";"Bäume.";"Gerstenberg Verlag";"978-3-8369-5654-3";"GEB";"25.00 EUR";"";"35.0";"944 g";" 2018;80 S.;durchgehend farbig;375.0 mm;ab 5 J.;";"282";""
"Saturno, Carole";"Ägypten.";"Gerstenberg Verlag";"978-3-8369-5663-5";"GEB";"28.00 EUR";"";"35.0";"980 g";" 2018;24 S.;durchgehend farbig, mit vielen Klappen;405.0 mm;ab 8 J.;";"286";""
