"Maikamp, Anna";"Sie sagt Ja. Er sagt Ja. Alles klar - Ehepaar!.";"Baumhaus Medien";"978-3-8339-4253-2";"GEB";"8.00 EUR";"21";"30.0";"";" 1. Aufl.;2019;48 S.;160 mm;von 3-99 J.;";"190";"Kinder über Liebe, Hochzeit und die Ehe"
"Engler, Michael";"Wie sagt man eigentlich: Ich liebe dich.";"Boje Verlag";"978-3-414-82529-2";"GEB";"12.90 EUR";"";"35.0";"301 g";" 1. Aufl.;2019;32 S.;235 mm;ab 4 J.;";"210";""
"Jakobs, Günther";"Das ist für dich.";"Carlsen";"978-3-551-17134-4";"PP";"13.00 EUR";"21";"35.0";"";" 2019;82 S.;farbig illustriert;140 mm;Flexpappbilderbuch;von 3-7 J.;";"210";""
"Bile, Amina";"Schamlos.";"Gabriel Verlag";"978-3-522-30521-1";"GEB";"15.00 EUR";"";"35.0";"528 g";" 2019;168 S.;21,5 cm;Mit Umschlagbanderole;ab 12 J.;";"287";""
"Torseter, Øyvind";"Hans sticht in See.";"Gerstenberg Verlag";"978-3-8369-5686-4";"GEB";"26.00 EUR";"";"35.0";"900 g";" 2019;160 S.;durchgehend farbig;260.0 mm;";"180";"Die Irrfahrt und Heimkehr eines mittellosen Burschen auf der Suche nach dem Glück"
"Favilli, Elena";"Good Night Stories for Rebel Girls - 50 Postkarten.";"Hanser";"978-3-446-26233-1";"NON";"16.00 EUR";"21";"35.0";"";" 2019;In Box;ab 12 J.;";"490";""
"Port, Moni";"Wie nennt man ein Kaninchen im Fitnessstudio?.";"Klett Kinderbuch Verlag";"978-3-95470-205-3";"GEB";"10.00 EUR";"";"30.0";"198 g";" 2019;48 S.;15 x 18 cm;ab 5 J.;";"294";"Neue Rätselwitze und Quatschbilder"
"Klein, Horst";"Alles Quatsch!.";"Klett Kinderbuch Verlag";"978-3-95470-208-4";"GEB";"10.00 EUR";"";"30.0";"246 g";" Sonderausg.;2019;64 S.;15 x 18 cm;ab 5 J.;";"294";"Die lustigsten Rätselreime, Zungenbrecher und Quatschbilder von A bis Z"
"Steingässer, Jana";"Paulas Reise.";"Oetinger";"978-3-7891-0965-2";"GEB";"17.00 EUR";"";"35.0";"974 g";" 2019;144 S.;150 farb. Abb. 150 Ill.;280 mm;ab 10 J.;";"250";"oder Wie ein Huhn uns zu Klimaschützern machte"
"Erlbruch, Wolf";"Wolf Erlbruchs Postkartenedition Küssen.";"Peter Hammer Verlag";"4260192780920";"KT";"10.00 EUR";"";"30.0";"66 g";" 2019;13 S.;durchgehend farbig illustriert;147 x 107 mm;";"490";""
"Steinkellner, Elisabeth";"Vom Flaniern und Weltspaziern.";"Tyrolia";"978-3-7022-3741-7";"GEB";"16.95 EUR";"";"33.0";"384 g";" 2019;112 S.;4 farbige und 32 sw Illustrationen;225 mm;ab 7 J.;";"230";"Reime und Sprachspiele"
"Haas, Susannah";"Ein Zuhause auf dem Rücken.";"Tyrolia";"978-3-7022-3742-4";"GEB";"16.95 EUR";"21";"33.0";"";" 2019;96 S.;ca. 7 farb. Illustrationen;210 mm;ab 9 J.;";"250";""
