"Carter, James";"Das große Weltall.";"360 Grad";"978-3-96185-016-7";"GEB";"12.90 EUR";"";"35.0";"482 g";" 2019;32 S.;288 x 252 mm;Für Kinder u. Jugendliche;";"283";"Die Geschichte der Raumfahrt"
"Davies, Nicola";"Mein erstes großes Buch vom Meer.";"Aladin";"978-3-8489-0152-4";"GEB";"25.00 EUR";"21";"30.0";"977 g";" 2019;104 S.;296 mm;ab 6 J.;";"250";""
"Desmond, Jenni";"Der Elefant.";"Aladin";"978-3-8489-0166-1";"GEB";"16.95 EUR";"";"30.0";"505 g";" 2019;48 S.;21 Farbabb.;298 mm;von 4-8 J.;";"220";""
"Parigger, Harald";"Land in Flammen.";"Arena";"978-3-401-60391-9";"KT";"9.99 EUR";"";"30.0";"185 g";" 2019;112 S.;200.00 mm;ab 12 J.;";"250";"Ein Leben im Schatten des Dreißigjährigen Krieges"
"Roth, Lena";"Mein Lern- und Übungsblock Vorschule. Mein Lern- und Übungsblock Vorschule - Buchstabenrätsel und Zahlenspiele.";"Arena";"978-3-401-71399-1";"KT";"3.99 EUR";"";"30.0";"203 g";" 2019;80 S.;21 cm;Geblockt;ab 5 J.;";"291";""
"Coster, Patience";"Die schönsten Mandalas zum Entspannen.";"Arena";"978-3-401-71415-8";"KT";"6.99 EUR";"";"30.0";"450 g";" 2019;128 S.;280.00 mm;Mit UV-Lackierung auf dem Cover;ab 8 J.;";"292";""
"Busch, Nikki";"Mein lustiger Vorschul-Rätselblock.";"Carlsen";"978-3-551-18297-5";"KT";"4.99 EUR";"21";"30.0";"382 g";" 2019;160 S.;Schwarz-weiß illustriert;210 mm;Geblockt;von 5-7 J.;";"291";"Rätsel für die Vorschule"
"Busch, Nikki";"Mein dicker Ferien-Rätselblock.";"Carlsen";"978-3-551-18296-8";"KT";"4.99 EUR";"";"30.0";"386 g";" 2019;160 S.;s/w illustriert;210 mm;Geblockt;von 8-10 J.;";"294";"Nikki Buschs  spannender Ferien-Rätselblock"
"Heine, Stefan";"Lieblingsrätsel - Worte und Wissen.";"Carlsen";"978-3-551-31819-0";"KT";"4.99 EUR";"21";"30.0";"";" 2019;144 S.;mit Schwarz-Weiß-lllustrationen;187 mm;von 8-12 J.;";"294";"Kreuzworträtsel, Buchstabensalat, Geheimcodes und vieles mehr"
"Kluivert, Shane";"An den Herd und losgekocht!.";"Dorling Kindersley";"978-3-8310-3744-5";"GEB";"12.95 EUR";"";"35.0";"715 g";" 2019;144 S.;Mit farbigen Fotos;251 mm;ab 8 J.;";"289";"40 kinderleichte Rezepte Schritt für Schritt erklärt"
"";"Superleser! Wettlauf zum Mond.";"Dorling Kindersley";"978-3-8310-3752-0";"GEB";"6.95 EUR";"";"35.0";"256 g";" 2019;64 S.;Mit Lesebändchen, farbigen Fotos und Illustrationen;235 mm;Mit Lesebändchen;ab 7 J.;";"283";"Sach-Geschichten für Erstleser"
"Gutjahr, Axel";"Meine große Tierbibliothek: Die Libelle.";"Esslinger";"978-3-480-23388-5";"GEB";"9.99 EUR";"21";"30.0";"";" 2019;32 S.;Fotos;246 mm;ab 5 J.;";"282";""
"Donohue, Moira R.";"Mein großes Buch über den Regenwald.";"Friendz";"978-88-540-4075-5";"GEB";"14.99 EUR";"";"35.0";"832 g";" 2019;128 S.;mit über 175 Fotografien und Illustrationen;ab 4 J.;";"282";""
"Platt, Richard";"30 geniale Erfindungen.";"Gerstenberg Verlag";"978-3-8369-5674-1";"GEB";"22.00 EUR";"";"35.0";"950 g";" 2019;64 S.;durchgehend farbig;370.0 mm;Cover mit Prägung und Spotlack;ab 8 J.;";"283";"Vom Rad bis zum Mikrochip"
"Bennemann, Markus";"Tierisch tödlich.";"Gerstenberg Verlag";"978-3-8369-5675-8";"GEB";"20.00 EUR";"80";"35.0";"518 g";" 2019;64 S.;durchgehend farbig;280.0 mm;GB#21;mit 10 Klappen;ab 8 J.;";"282";"Die raffiniertesten Jagdtricks in der Natur"
"Rossel, Bart";"Die wunderbare Welt der Insekten.";"Gerstenberg Verlag";"978-3-8369-5646-8";"GEB";"26.00 EUR";"";"35.0";"1247 g";" 2019;96 S.;durchgehend farbig;370.0 mm;ab 8 J.;";"282";""
"Aladjidi, Virginie";"Rabe, Buntspecht, Pinguin.";"Gerstenberg Verlag";"978-3-8369-5673-4";"GEB";"15.00 EUR";"";"35.0";"566 g";" 2019;80 S.;durchgehend farbig;305.0 mm;ab 5 J.;";"282";"Die Welt der Vögel"
"Meyer, Stephan Martin";"Leonardos Flugmaschinen.";"Gerstenberg Verlag";"978-3-8369-5656-7";"GEB";"20.00 EUR";"";"35.0";"691 g";" 2019;80 S.;durchgehend farbig;305.0 mm;ab 8 J.;";"250";"Anselmo und das Vermächtnis des Meisters"
"Müller, Hanna";"Nennen wir dich doch Piepmatz.";"Jumbo Neue Medien";"978-3-8337-4000-8";"GEB";"16.00 EUR";"21";"35.0";"500 g";" 2019;56 S.;288 x 220 mm;ab 5 J.;";"220";"Ein Ausflug in die Welt der Vögel"
"Theel, Sarah";"Nathan der Weise.";"Jumbo Neue Medien";"978-3-8337-3998-9";"GEB";"16.00 EUR";"21";"35.0";"520 g";" 2019;48 S.;312 x 232 mm;ab 6 J.;";"230";"Neu erzählt nach Gotthold Ephraim Lessing"
"Schulz-Reiss, Christine";"Leonardo da Vinci.";"Kindermann";"978-3-934029-75-0";"GEB";"18.00 EUR";"21";"35.0";"400 g";" 2019;36 S.;zahlreiche, farbige Illustrationen;26 cm;ab 8 J.;";"288";""
"Dixon, Dougal";"Als die Wale laufen konnten.";"Knesebeck";"978-3-95728-277-4";"GEB";"18.00 EUR";"21";"30.0";"600 g";" 2019;64 S.;29.5 cm;ab 8 J.;";"282";"Und andere unglaubliche Spaziergänge durch die Evolution"
"Heuninck, Thierry";"Raus auf den Balkon!.";"Knesebeck";"978-3-95728-273-6";"GEB";"16.00 EUR";"21";"30.0";"518 g";" 2019;64 S.;30 cm;ab 6 J.;";"282";"Das große Handbuch für kleine Gärtner"
"Brensing, Karsten";"Wie Tiere denken und fühlen.";"Loewe Verlag";"978-3-7432-0304-4";"GEB";"16.95 EUR";"";"30.0";"934 g";" 2019;176 S.;285 mm;ab 9 J.;";"282";""
"Brooks, Ben";"Stories for Kids Who Dare to be Different - Vom Mut, anders zu sein.";"Loewe Verlag";"978-3-7432-0421-8";"GEB";"19.95 EUR";"21";"30.0";"";" 2019;208 S.;251 mm;von 5-99 J.;";"285";""
"Gifford, Clive";"Das große Buch der Vergleiche.";"moses. Verlag";"978-3-89777-241-0";"GEB";"16.95 EUR";"";"35.0";"960 g";" 2019;96 S.;32 cm;ab 8 J.;";"220";"Groß wie ein Wolkenkratzer, klein wie eine Maus"
"Artymowska, Aleksandra";"80 Rätsel tief unten im Meer.";"moses. Verlag";"978-3-96455-000-2";"GEB";"16.95 EUR";"";"35.0";"1010 g";" 2019;96 S.;29 cm;ab 6 J.;";"294";""
"Howard, Jules";"Die Tiere unserer Erde.";"moses. Verlag";"978-3-89777-986-0";"KT";"16.95 EUR";"";"35.0";"774 g";" 2018;80 S.;30.2 cm;ab 8 J.;";"282";"Wer gehört zu wem?"
"Francis, Sangma";"Everest.";"NordSüd Verlag";"978-3-314-10476-3";"LN";"20.00 EUR";"15";"35.0";"632 g";" 2019;80 S.;Durchgehend farbig illustriert;30.5 cm;ab 7 J.;";"250";"Bilderbuch"
"Hall, Kirsten";"Die Honigbiene.";"NordSüd Verlag";"978-3-314-10474-9";"GEB";"16.00 EUR";"21";"35.0";"466 g";" 2019;48 S.;Durchgehend farbig illustriert;28 cm;ab 4 J.;";"210";"Bilderbuch"
"Weninger, Brigitte";"Danke, reines Wasser.";"NordSüd Verlag";"978-3-314-10482-4";"GEB";"14.00 EUR";"21";"35.0";"310 g";" 2019;32 S.;Durchgehend farbig illustriert;23.4 cm;ab 4 J.;";"220";"Bilderbuch"
"Gernhäuser, Susanne";"Abenteurer und Entdecker.";"Ravensburger Buchverlag";"978-3-473-32947-2";"KT";"14.99 EUR";"15";"35.0";"524 g";" 2019;16 S.;durchg. farb. Ill. u. Text, mit Klappen;278 mm;Spiralbindung;von 4-7 J.;";"286";""
"Braun, Christina";"Das große Ravensburger Kinderlexikon von A bis Z.";"Ravensburger Buchverlag";"978-3-473-55088-3";"GEB";"19.99 EUR";"";"35.0";"1108 g";" 2019;240 S.;durchg. farb. Fotos u. Ill.;270 mm;von 4-7 J.;";"281";"Über 1000 Stichwörter"
"Harastová, Helena";"Kinder dieser Welt.";"Ravensburger Buchverlag";"978-3-473-55459-1";"GEB";"12.99 EUR";"21";"35.0";"";" 2019;72 S.;durchg. farb. Ill.;285 mm;von 4-7 J.;";"281";""
"Schwendemann, Andrea";"Der große Ravensburger Kinder-Weltatlas.";"Ravensburger Buchverlag";"978-3-473-55454-6";"GEB";"19.99 EUR";"21";"35.0";"";" 2019;160 S.;durchg. farb. Ill.;320 mm;von 7-10 J.;";"281";""
"Beaupère, Paul";"Das große Handbuch der Abenteuer.";"Ravensburger Buchverlag";"978-3-473-55464-5";"GEB";"14.99 EUR";"";"35.0";"797 g";" 2019;120 S.;durchg. farb. Ill.;267 mm;von 8-11 J.;";"289";"Für drinnen und draußen"
"Lohr, Stefan";"Mein dicker Vorschulblock.";"Ravensburger Buchverlag";"978-3-473-41557-1";"KT";"7.99 EUR";"15";"35.0";"782 g";" 2019;320 S.;m. zahlr. z. Tl. farb. Illustr.;25 cm;Geblockt;von 5-6 J.;";"291";"Buchstaben, Zahlen, Konzentration"
"Jenkins, Martin";"Seltene Tiere.";"Thienemann Verlag";"978-3-522-45902-0";"GEB";"20.00 EUR";"";"30.0";"778 g";" 2019;64 S.;m. zahlr. bunten Bild.;34 cm;Mit Blindprägung und Spotlack;ab 4 J.;";"282";"Ein Atlas der bedrohten Arten"
"Cowan, Laura";"Die Welt bei Nacht.";"Usborne Verlag";"978-1-78941-046-4";"GEB";"12.95 EUR";"21";"30.0";"514 g";" 2019;32 S.;290 mm;ab 4 J.;";"220";""
"James, Alice";"Raus in die Natur!.";"Usborne Verlag";"978-1-78941-062-4";"GEB";"9.95 EUR";"";"30.0";"398 g";" 2019;64 S.;m. zahlr. farb. Illustr.;24 cm;ab 9 J.;";"282";"Mein Outdoor-Entdeckerbuch"
"Tudhope, Simon";"Reise um die Welt.";"Usborne Verlag";"978-1-78941-073-0";"KT";"6.95 EUR";"21";"30.0";"";" 2019;112 S.;198 mm;ab 8 J.;";"294";"mit über 400 Quizfragen"
"Adreani, Manuela";"Die Bibel.";"White Star";"978-88-6312-378-4";"GEB";"16.95 EUR";"21";"35.0";"800 g";" 2019;80 S.;über 50 Illustrationen;309 mm;ab 7 J.;";"230";"Illustrierte Geschichten aus dem Alten Testament"
"Hockney, David";"Die Welt der Bilder für Kinder.";"Midas";"978-3-03876-144-0";"GEB";"19.90 EUR";"21";"25.0";"";" 2019;128 S.;m. Illustr.;285 mm;von 8-99 J.;";"288";""
