"Stalder, Maria";"Die Waldlinge.";"Atlantis, Orell Füssli";"978-3-7152-0794-0";"GEB";"15.00 EUR";"21";"30.0";"";" 2020;32 S.;274 mm;ab 4 J.;";"210";""
"Go, Heyjin";"Schneeglück verschenken.";"Atlantis, Orell Füssli";"978-3-7152-0795-7";"GEB";"15.00 EUR";"21";"30.0";"";" 2020;44 S.;240 x 250 mm;ab 4 J.;";"210";""
"Nadareischwili, Tatia";"Tina hat Mut.";"Baobab Books";"978-3-907277-04-1";"GEB";"17.00 EUR";"21";"30.0";"390 g";" 2020;44 S.;durchgehend farbig illustriert;27 cm;ab 5 J.;";"210";"Ein Bilderbuch aus Georgien"
"Engler, Michael";"Wir zwei im Winter (Pappbilderbuch).";"Baumhaus Medien";"978-3-8339-0625-1";"GEB";"9.90 EUR";"21";"30.0";"";" 1. Aufl. 2020;2020;26 S.;ab 3 J.;";"210";"Band 3"
"Schoenwald, Sophie";"Post für dich.";"Baumhaus Medien";"978-3-8339-0628-2";"GEB";"12.90 EUR";"21";"30.0";"";" 1. Aufl. 2020;2020;32 S.;297 mm;ab 4 J.;";"210";""
"Paul, Korky";"Zilly und Zingaro. Der verzauberte Winter.";"Beltz";"978-3-407-81253-7";"GEB";"12.95 EUR";"21";"33.0";"369 g";" Deutsche Erstausgabe;2020;30 S.;30 farb. Abb.;286 mm;ab 4 J.;";"210";"Vierfarbiges Bilderbuch"
"Scheffler, Axel";"Der Hund und der Hühnerdieb.";"Beltz";"978-3-407-75815-6";"GEB";"12.95 EUR";"21";"33.0";"";" Deutsche Erstausgabe;2020;26 S.;m. zahlr. bunten Bild.;265 mm;ab 4 J.;";"210";""
"Scheffler, Axel";"Die Schnecke und der Buckelwal..";"Beltz";"978-3-407-75817-0";"GEB";"14.95 EUR";"21";"33.0";"";" Deutsche Erstausgabe;2020;30 S.;m. zahlr. bunten Bild.;257 x 287 mm;ab 4 J.;";"210";""
"Stickley, Lisa";"Spring, Bernard, spring!.";"Carlsen";"978-3-551-51320-5";"GEB";"15.00 EUR";"21";"35.0";"406 g";" 2020;32 S.;Farbig illustriert;286 mm;von 4-8 J.;";"210";""
"Meyer, Julian";"Rolf röhrt.";"Diogenes";"978-3-257-01267-5";"GEB";"14.00 EUR";"21";"30.0";"";" 2020;32 S.;250 mm;ab 3 J.;";"210";""
"Meyer, Thomas";"Wie der kleine Stern auf die Welt kam.";"Diogenes";"978-3-257-01260-6";"GEB";"18.00 EUR";"21";"30.0";"";" 2020;40 S.;300 mm;von 0-6 J.;";"210";""
"Bula, Oksana";"Nein, ich bin nicht müde! / Ja, ich will ins Bett!.";"Ellermann";"978-3-7707-0240-4";"GEB";"15.00 EUR";"21";"35.0";"";" 2020;80 S.;40 farbige Abbildungen und 40 Illustrationen;280 mm;ab 3 J.;";"210";""
