"Schulz-Reiss, Christine";"Fernando Magellan einmal um die ganze Welt, 1 Audio-CD.";"Hörcompany";"978-3-96632-026-9";"CD";"12.95 EUR";"21";"35.0";"91 g";" 2020;137 mm;ab 9 J.;";"286";"Vollständige Lesung, gelesen von Gerhard Garbers, 1 CD, ca. 52 Min., Lesung"
"Osterwalder, Markus";"Mit Bobo Siebenschläfer durch das Jahr, 3 Audio-CD.";"Jumbo Neue Medien";"978-3-8337-4198-2";"CD";"15.00 EUR";"21";"30.0";"";" 2020;12.6 x 14.4 cm;ab 2 J.;";"230";"CD Standard Audio Format, Lesung"
"Schmachtl, Andreas H.";"Tilda Apfelkern. Weihnachtszeit im Winterwald, Audio-CD.";"Jumbo Neue Medien";"978-3-8337-4214-9";"CD";"12.00 EUR";"21";"30.0";"";" 2020;12.6 x 14.4 cm;ab 4 J.;";"230";"24 Adventskalender-Geschichten, Lesung"
"Griffin, Gordon";"Five Little Monkeys. English Nursery Rhymes and Children's Songs, Audio-CD.";"Jumbo Neue Medien";"978-3-8337-4234-7";"CD";"13.00 EUR";"21";"30.0";"";" 2020;12.6 x 14.4 cm;ab 3 J.;";"230";"CD Standard Audio Format, Hörspiel, Musikdarbietung/Musical/Oper"
"Schmachtl, Andreas H.";"Snöfrid aus dem Wiesental. Die wahrlich rasante Jagd nach der Flussperle, Audio-CD.";"Jumbo Neue Medien";"978-3-8337-4215-6";"CD";"12.00 EUR";"21";"30.0";"";" 2020;12.6 x 14.4 cm;ab 5 J.;";"230";"[3], Lesung"
"Boie, Kirsten";"Zurück in Sommerby, 4 Audio-CD.";"Jumbo Neue Medien";"978-3-8337-4206-4";"CD";"15.00 EUR";"21";"30.0";"";" 2020;12.6 x 14 cm;ab 10 J.;";"250";"[2], Lesung"
"Preußler, Otfried";"Das kleine Gespenst - Das Hörspiel, 2 Audio-CD.";"Silberfisch";"978-3-7456-0187-9";"CD";"13.00 EUR";"21";"35.0";"";" 2020;ab 5 J.;";"240";"2 CDs, Hörspiel"
"Preußler, Otfried";"Der kleine Wassermann - Das Hörspiel, 2 Audio-CD.";"Silberfisch";"978-3-7456-0188-6";"CD";"13.00 EUR";"21";"35.0";"";" 2020;ab 5 J.;";"240";"2 CDs, Hörspiel"
"Preußler, Otfried";"Die kleine Hexe - Das Hörspiel, 2 Audio-CD.";"Silberfisch";"978-3-7456-0186-2";"CD";"13.00 EUR";"21";"35.0";"";" 2020;ab 5 J.;";"250";"2 CDs, Hörspiel"
"Preußler, Otfried";"Die kleine Hexe, 1 Audio-CD.";"Silberfisch";"978-3-7456-0190-9";"CD";"10.00 EUR";"21";"35.0";"";" 2020;ab 3 J.;";"210";"Ausflug mit Abraxas und Winterzauber mit Abraxas : 1 CD, Lesung"
"Sixtus, Albert";"Winter in der Häschenschule, Musik in der Häschenschule, Lampes Wochenende, Schnuckihas und Miezemau, 1 Audio-CD.";"Silberfisch";"978-3-7456-0219-7";"CD";"10.00 EUR";"21";"35.0";"";" 2020;ab 3 J.;";"210";"1 CD, Lesung"
"Bohlmann, Sabine";"Eine Pudelmütze voller Wintergeschichten, 1 Audio-CD.";"Silberfisch";"978-3-7456-0225-8";"CD";"10.00 EUR";"21";"35.0";"";" 2020;ab 4 J.;";"210";"1 CD, Lesung"
"Muser, Martin";"Kannawoniwasein - Manchmal fliegt einem alles um die Ohren - Das Hörspiel, Audio-CD.";"Silberfisch";"978-3-7456-0239-5";"CD";"10.00 EUR";"21";"35.0";"";" 2020;ab 8 J.;";"250";""
"Auer, Margit";"Eingeschneit! Das Hörspiel, 1 Audio-CD.";"Silberfisch";"978-3-7456-0234-0";"CD";"7.99 EUR";"21";"35.0";"";" 2020;ab 6 J.;";"240";"1 CD, Hörspiel"
"Kaurin, Marianne";"Irgendwo ist immer Süden, Audio-CD, MP3.";"Woow Books";"978-3-96177-079-3";"CD";"17.00 EUR";"21";"30.0";"";" 2020;14.5 cm;ab 11 J.;";"250";""
