"Berner, Rotraut Susanne";"Wimmlingen 2021.";"DuMont Kalenderverlag";"4250809646602";"KAL";"15.00 EUR";"";"37.5";"772 g";" 2020;28 S.;13 Farbabb.;685 x 300 mm;Spiralbindung, im Polybeutel;";"210";"Mega-Familienkalender mit 7 Spalten - Mit 2 Stundenplänen und Ferientabelle"
"Mizielinska, Aleksandra";"Alle Welt 2021.";"DuMont Kalenderverlag";"4250809647074";"KAL";"30.00 EUR";"";"37.5";"1080 g";" Spiralbindung, im Polybeutel;2020;28 S.;13 Farbzeichn.;485 x 584 mm;Spiralbindung;";"319";"Mit aktualisierten Karten"
"Prinja, Raman";"Das Planetarium 2021.";"DuMont Kalenderverlag";"4250809646350";"KAL";"30.00 EUR";"";"37.5";"1490 g";" 2020;28 S.;13 Farbabb.;685 x 495 mm;Spiralbindung, im Polybeutel;";"647";"Astronomie im Wand-Kalender"
"Schamp, Tom";"Der schönste und größte Bildwörterkalender der Farben 2021.";"DuMont Kalenderverlag";"4250809647111";"KAL";"20.00 EUR";"";"37.5";"760 g";" Spiralbindung, im Polybeutel;2020;28 S.;13 Farbabb.;425 x 520 mm;Spiralbindung;";"210";""
"Berner, Rotraud Susanne";"Wimmel-Kalender 2021.";"DuMont Kalenderverlag";"4250809647081";"KAL";"25.00 EUR";"";"37.5";"1080 g";" 2020;28 S.;13 Farbzeichn.;485 x 584 mm;Spiralbindung, im Polybeutel;";"210";"Kinderkalender"
"Kulot, Daniela";"Megaplaner 2021, Familienkalender.";"DuMont Kalenderverlag";"4250809646626";"KAL";"15.00 EUR";"21";"37.5";"870 g";" 2020;28 S.;14 Farbabb.;685 x 300 mm;Spiralbindung, im Polybeutel;";"210";"Zähl dich durchs Jahr. Mit Reimen und Bildern"
"Kuhlmann, Torben";"Mäuseabenteuer 2021.";"DuMont Kalenderverlag";"4250809647104";"KAL";"28.00 EUR";"";"37.5";"760 g";" 2020;28 S.;13 Farbzeichn.;425 x 520 mm;Spiralbindung, im Polybeutel;";"210";"Kinder-Kalender"
"Nordqvist, Sven";"Spaziergang mit Hund 2021.";"DuMont Kalenderverlag";"4250809646725";"KAL";"18.00 EUR";"";"37.5";"445 g";" 2020;28 S.;13 Farbabb.;355 x 380 mm;Spiralbindung, im Polybeutel;";"210";"Ein Suchbild-Kalender"
"Geißler, Marie";"Familienplaner 2021.";"Jaja Verlag";"978-3-946642-90-9";"KAL";"12.00 EUR";"21";"37.5";"";" 2020;13 S.;13 Abb.;41 x 20 cm;";"190";""
"Boidol, Jenny";"Taschenkalender 2021 - Vögel.";"Jaja Verlag";"978-3-946642-89-3";"KAL";"16.00 EUR";"21";"30.0";"";" 2020;176 S.;100 Abb.;15 x 11 cm;";"190";""
"Köhn, Annette";"Heldinnen 2021.";"Jaja Verlag";"978-3-946642-91-6";"KAL";"22.00 EUR";"21";"37.5";"";" 2020;13 S.;13 Abb.;40 x 40 cm;";"580";"Illustrierter Wandkalender"
"Janosch";"Janosch Tigerentenkalender 2021.";"LittleTiger Verlag";"978-3-95878-036-1";"KAL";"15.80 EUR";"21";"35.0";"";" 2020;12 S.;mehr als 12 Abbildungen;50 x 34.5 cm;von 0-99 J.;";"295";"mit Dezemberblatt als Adventskalender"
"Janosch";"Janosch Familienplaner 2021.";"LittleTiger Verlag";"978-3-95878-037-8";"KAL";"10.95 EUR";"21";"35.0";"";" 2020;12 S.;44 x 31 cm;";"295";""
"";"Life is delicious - Familienkalender 2021.";"Magellan";"4260605448027";"KAL";"19.90 EUR";"21";"30.0";"482 g";" 2020;13 S.;420 mm;";"490";"Mit 5 Spalten"
"Nordqvist, Sven";"Pettersson und Findus Familienkalender 2021.";"Oetinger";"4260512181550";"KAL";"12.00 EUR";"";"30.0";"341 g";" 2020;13 farbige Abbildungen;750 x 450 mm;von 1-99 J.;";"210";"Mit 5 Spalten"
"Erlbruch, Leonard";"Leonard Erlbruchs Kinderzimmerkalender 2021.";"Peter Hammer Verlag";"978-3-7795-0635-5";"KAL";"20.00 EUR";"21";"30.0";"";" 2020;13 S.;durchgehend farbig illustriert;59 x 42 cm;von 3-99 J.;";"295";"Tierisch talentiert"
