"Alcott, Louisa May";"Little Women. Vier Schwestern halten zusammen.";"Arctis Verlag";"978-3-85535-653-9";"GEB";"16.00 EUR";"21";"35.0";"";" 2020;304 S.;21.5 cm;ab 11 J.;";"250";"Neuübersetzung zur Verfilmung"
"MacKenzie, Ross";"Immernacht.";"Beltz";"978-3-407-75485-1";"GEB";"16.95 EUR";"21";"33.0";"";" Deutsche Erstausgabe;2020;360 S.;212 mm;ab 11 J.;";"250";""
"De Castell, Sebastien";"Spellslinger - Shadowblack.";"DTV";"978-3-423-76294-6";"GEB";"16.95 EUR";"21";"30.0";"";" 2020;448 S.;210 mm;ab 12 J.;";"250";""
"Guterson, Ben";"Die Magie von Winterhaus.";"Freies Geistesleben";"978-3-7725-2893-4";"GEB";"20.00 EUR";"21";"33.0";"";" 2020;444 S.;ab 11 J.;";"250";""
"Lawrence, Iain";"Winterpony.";"Freies Geistesleben";"978-3-7725-2968-9";"GEB";"19.00 EUR";"21";"33.0";"";" 2020;280 S.;ab 12 J.;";"250";""
"Stevens, Robin";"Eine Prise Mord.";"Knesebeck";"978-3-95728-363-4";"GEB";"16.00 EUR";"21";"30.0";"";" 2020;336 S.;21 cm;ab 12 J.;";"250";"Der achte Fall für Wells & Wong"
"Springer, Nancy";"Der Fall des geheimnisvollen Fächers.";"Knesebeck";"978-3-95728-263-7";"GEB";"15.00 EUR";"21";"30.0";"";" 2020;176 S.;21 cm;ab 12 J.;";"250";"Ein Enola-Holmes-Krimi"
"Lelic, Simon";"The Haven - Rebellion.";"Loewe Verlag";"978-3-7432-0551-2";"KT";"12.95 EUR";"21";"30.0";"1 g";" 2020;304 S.;210 mm;Großformatiges Paperback. Klappenbroschur, Englisch Broschur;ab 12 J.;";"250";"Jugendbuch für Jungen und Mädchen"
"Lachlan, Jeremy";"Der Schlüssel aller Seelen.";"Loewe Verlag";"978-3-7432-0308-2";"GEB";"17.95 EUR";"21";"30.0";"1 g";" 2020;400 S.;215 mm;ab 12 J.;";"250";"Fantasy-Roman"
"Kuhn, Esther";"SOS - Mission Blütenstaub.";"Magellan";"978-3-7348-4724-0";"GEB";"15.00 EUR";"21";"30.0";"";" 2020;256 S.;21.5 cm;ab 11 J.;";"250";""
"Engstrand, Maria";"Code: Elektra.";"mixtvision";"978-3-95854-157-3";"GEB";"16.00 EUR";"21";"35.0";"";" 2020;384 S.;10 SW-Abb.;196 mm;ab 11 J.;";"250";"Die Geheimnisbewahrer"
"Snyder, Laurel";"Insel der Waisen.";"mixtvision";"978-3-95854-146-7";"GEB";"17.00 EUR";"21";"35.0";"";" 2020;300 S.;196 mm;Mit Lesebändchen;ab 12 J.;";"250";""
"Nymphius, Jutta";"Oben ohne.";"Tulipan";"978-3-86429-486-0";"GEB";"13.00 EUR";"21";"30.0";"";" 2020;200 S.;21 cm;ab 12 J.;";"250";""
"Nielsen, Susin";"Adresse unbekannt.";"Urachhaus";"978-3-8251-5226-0";"GEB";"17.00 EUR";"21";"33.0";"";" 2020;320 S.;ab 11 J.;";"250";""
