"Stalder, Maria";"Advent im Waldhaus, Adventskalender.";"Atlantis, Orell Füssli";"978-3-7152-0787-2";"KAL";"10.00 EUR";"21";"30.0";"";" 2020;1 S.;Kalender;";"210";""
"Wiesmüller, Dieter";"Ein Schiff bringt einen Schatz, Adventskalender.";"Atlantis, Orell Füssli";"978-3-7152-0788-9";"KAL";"10.00 EUR";"21";"30.0";"";" 2020;1 S.;";"210";""
"Schärer, Kathrin";"Spuren im Schnee, Adventskalender.";"Atlantis, Orell Füssli";"978-3-7152-0786-5";"KAL";"10.00 EUR";"21";"30.0";"";" 2020;1 S.;";"210";""
"Städing, Sabine";"13 Weihnachtstrolle machen Ärger.";"Carlsen";"978-3-551-31872-5";"KT";"7.99 EUR";"21";"35.0";"";" 2020;272 S.;Schwarz-weiß illustriert;187 mm;von 8-10 J.;";"250";""
"Zeh, Juli";"Alle Jahre wieder.";"Carlsen";"978-3-551-51917-7";"GEB";"12.00 EUR";"21";"35.0";"";" 2020;72 S.;216 mm;Mit farbigen Bildern;von 5-10 J.;";"250";""
"Auer, Margit";"Lenni im Weihnachtsglück.";"Carlsen";"978-3-551-51840-8";"GEB";"13.00 EUR";"21";"35.0";"368 g";" 2020;32 S.;Farbig illustriert;286 mm;von 4-8 J.;";"210";""
"Ungerer, Tomi";"Familie Mellops feiert Weihnachten.";"Diogenes";"978-3-257-01272-9";"GEB";"18.00 EUR";"21";"30.0";"";" 2020;34 S.;205 x 235 mm;von 0-6 J.;";"210";""
"Dickens, Charles";"Eine Weihnachtsgeschichte.";"Dressler Verlag GmbH";"978-3-7915-0161-1";"GEB";"12.00 EUR";"21";"35.0";"";" 2020;144 S.;14 Illustrationen;203 mm;ab 10 J.;";"250";""
"Orosz, Susanne";"Und wie feierst du?.";"Ellermann";"978-3-7707-0159-9";"GEB";"15.00 EUR";"21";"35.0";"";" 2020;128 S.;60 farbige Abbildungen und 60 Illustrationen;240 mm;ab 4 J.;";"230";"Weihnachtsgeschichten so bunt wie die Welt"
"Lambeck, Silke";"Das Weihnachtsmannprojekt.";"Gerstenberg Verlag";"978-3-8369-6074-8";"GEB";"14.00 EUR";"21";"35.0";"404 g";" 2020;208 S.;durchgehend illustriert;210.0 mm;ab 9 J.;";"250";""
"Carle, Eric";"Die kleine Raupe Nimmersatt feiert Weihnachten.";"Gerstenberg Verlag";"978-3-8369-6064-9";"PP";"13.00 EUR";"21";"35.0";"";" 2020;12 S.;durchgehend farbig illustriert;210.0 mm;Pappbilderbuch mit Klappen und echter Buchdecke;ab 2 J.;";"210";"Klipp-klapp-Buch"
