"Wiehle, Katrin";"Ich bin das Eichhörnchen.";"Beltz";"978-3-407-75806-4";"PP";"9.95 EUR";"21";"33.0";"";" Originalausgabe;2020;16 S.;m. zahlr. bunten Bild.;225 mm;ab 4 J.;";"210";"100 % Naturbuch"
"Schäfer, Michael";"Mein Geld, dein Geld.";"Beltz";"978-3-407-75589-6";"GEB";"16.95 EUR";"21";"33.0";"";" Originalausgabe;2020;90 S.;m. Illustr.;225 mm;ab 7 J.;";"284";"Von Mäusen, Kröten und Moneten"
"Woldanska-Plocinska, Ola";"Schütze die Natur.";"Beltz";"978-3-407-75588-9";"GEB";"16.95 EUR";"21";"33.0";"";" Deutsche Erstausgabe;2020;80 S.;m. farb. Illustr.;280 mm;ab 6 J.;";"282";"Plastik - nein, danke!"
"Dürr, Julia";"Wo kommt unser Essen her?.";"Beltz";"978-3-407-75816-3";"GEB";"14.95 EUR";"21";"33.0";"";" Originalausgabe;2020;40 S.;100 farb. Abb.;365 mm;ab 6 J.;";"282";""
"Schmidt, Ina";"So viele Fragen an die Welt.";"Carlsen";"978-3-551-25227-2";"GEB";"12.00 EUR";"21";"35.0";"";" 2020;96 S.;Farbig illustriert;215 mm;von 9-99 J.;";"287";"Philosophie für Kinder - neue Geschichten von Phil und Sophie"
"Jansen, Bouwien";"Tierisch.";"Carlsen";"978-3-551-25029-2";"GEB";"20.00 EUR";"21";"35.0";"";" 2020;96 S.;Farbig illustriert;320 mm;von 3-10 J.;";"282";"Zu Besuch bei Fuchs & Reh und anderen tierischen Nachbarn"
"Butterfield, Moira";"Der Klang der Tiere. In der Wildnis.";"Dorling Kindersley";"978-3-8310-4096-4";"GEB";"16.95 EUR";"21";"35.0";"682 g";" 2020;24 S.;Mit farbigen Illustrationen;297 mm;mit Sounds;ab 5 J.;";"282";"Sound-Buch mit 9 außergewöhnlichen Tierstimmen"
"Menzies, Jean";"Griechische Mythen und Sagen.";"Dorling Kindersley";"978-3-8310-4040-7";"GEB";"19.95 EUR";"21";"35.0";"1190 g";" 2020;160 S.;Mit farbigen Illustrationen;286 mm;ab 8 J.;";"260";"Von tragischen Helden, streitlustigen Göttern und vielköpfigen Ungeheuern"
"";"Wissen. Geschichte.";"Dorling Kindersley";"978-3-8310-4037-7";"GEB";"19.95 EUR";"21";"35.0";"1388 g";" 2020;208 S.;Mit farbigen Fotos, Illustrationen und 3-D-Grafiken;307 mm;Cover mit Prägung und Folienveredelung;ab 8 J.;";"286";"Eine Zeitreise in spektakulären Bildern"
"Hoare, Ben";"Wundervolle Welt der Natur.";"Dorling Kindersley";"978-3-8310-4041-4";"GEB";"19.95 EUR";"21";"35.0";"1317 g";" 2020;224 S.;Mit farbigen Fotos und Illustrationen;282 mm;mit Lesebändchen, strukturiertem Einband, Goldschnitt und Cover mit Folienveredelung;ab 7 J.;";"282";"Ein Naturbilderbuch für die ganze Familie. Hochwertig ausgestattet mit Lesebändchen, Goldfolie und Goldschnitt"
"Brochmann, Nina";"Schamlos schön.";"Dressler Verlag GmbH";"978-3-7915-0169-7";"GEB";"17.00 EUR";"21";"35.0";"";" 2020;260 S.;174 farbige Abbildungen;232 mm;ab 12 J.;";"285";"Klartext über Pubertät, wirre Gefühle und den Mut, du selbst zu sein"
"Dorey, Martin";"#umweltheld in 2 minuten.";"Dressler Verlag GmbH";"978-3-7915-0166-6";"GEB";"14.00 EUR";"";"35.0";"276 g";" 2020;128 S.;119 farbige Abbildungen;203 mm;ab 9 J.;";"282";"50 tolle Tricks, wie du die Welt rettest!"
"Schmitt, Petra Maria";"Das große Buch der Kinderfragen.";"Ellermann";"978-3-7707-0244-2";"GEB";"17.00 EUR";"21";"35.0";"";" 2020;208 S.;100 farbige Abbildungen und 100 Illustrationen;240 mm;ab 5 J.;";"230";"Kluge Antworten in Vorlesegeschichten"
"Veken, Jan Van der";"Das Flugzeugebuch.";"Gerstenberg Verlag";"978-3-8369-6086-1";"GEB";"25.00 EUR";"21";"35.0";"";" 2020;104 S.;durchgehend farbig illustriert;280.0 mm;ab 9 J.;";"283";"Flugzeuge und ihre Geschichte"
"Mehnert, Volker";"Die großen Flüsse der Welt.";"Gerstenberg Verlag";"978-3-8369-6041-0";"GEB";"25.00 EUR";"21";"35.0";"";" 2020;40 S.;durchgehend farbig illustriert, mit Altarfalz;370.0 mm;ab 8 J.;";"281";""
"Müller, Thomas";"Ein Jahr mit den Kranichen.";"Gerstenberg Verlag";"978-3-8369-6046-5";"GEB";"13.00 EUR";"21";"35.0";"374 g";" 2020;40 S.;durchgehend farbig;220.0 x 255.0 mm;ab 5 J.;";"282";""
"Saturno, Carole";"Griechenland.";"Gerstenberg Verlag";"978-3-8369-6078-6";"GEB";"29.00 EUR";"21";"35.0";"";" 2020;20 S.;durchgehend farbig;405.0 mm;GB#21;mit vielen Klappen;ab 8 J.;";"286";""
"Baumann, Anne-Sophie";"Mein großes Buch der Erde.";"Gerstenberg Verlag";"978-3-8369-6066-3";"GEB";"25.00 EUR";"21";"35.0";"";" 2020;18 S.;durchgehend farbig;335.0 mm;GB#21;mit über 45 Klappen und Spielelementen;ab 5 J.;";"281";""
"Gervais, Bernadette";"Von Zeit zu Zeit.";"Gerstenberg Verlag";"978-3-8369-6093-9";"GEB";"16.00 EUR";"21";"35.0";"";" 2020;64 S.;durchgehend farbig;260.0 mm;ab 2 J.;";"220";""
"Masters, Mathilda";"123 superschlaue Dinge, die du über das Klima wissen musst.";"Hanser";"978-3-446-26810-4";"GEB";"18.00 EUR";"21";"35.0";"";" 2020;144 S.;Durchgehend vierfarbig illustriert;ab 11 J.;";"282";""
"Link, Christoph Thomas";"Das neue Universum 120.";"Hanser";"978-3-446-26807-4";"GEB";"24.00 EUR";"21";"35.0";"";" 2020;384 S.;ab 14 J.;";"283";"Zukunft. Forschung. Abenteuer"
"Simsa, Marko";"Bach für Kinder, m. 1 Audio-CD, m. 1 Buch.";"Jumbo Neue Medien";"978-3-8337-4182-1";"BUCH";"22.00 EUR";"21";"35.0";"";" 2020;32 S.;30 cm;ab 5 J.;";"230";"Mit Gesang und Himmelsklang, Musikdarbietung/Musical/Oper"
"Schulz-Reiss, Christine";"Fernando Magellan.";"Kindermann";"978-3-934029-79-8";"GEB";"18.00 EUR";"21";"35.0";"500 g";" 1. Auflage;2020;36 S.;zahlreiche farbige Illustrationen;26 cm;ab 8 J.;";"220";"- einmal um die ganze Welt"
"Baseler, Marja";"Das Hotel zum Oberstübchen.";"Klett Kinderbuch Verlag";"978-3-95470-239-8";"GEB";"15.00 EUR";"21";"30.0";"";" 2020;48 S.;32 cm;ab 7 J.;";"285";""
"Zeise, Lena";"Das wahre Leben der Bauernhoftiere.";"Klett Kinderbuch Verlag";"978-3-95470-240-4";"GEB";"16.00 EUR";"21";"30.0";"";" 2020;40 S.;28 cm;ab 7 J.;";"282";""
"Bright, Michael";"Als der Mensch auf Bäumen saß.";"Knesebeck";"978-3-95728-385-6";"GEB";"18.00 EUR";"21";"30.0";"";" 2020;64 S.;29.5 cm;ab 8 J.;";"282";"Unsere faszinierende Reise durch die Evolution"
"French, Jess";"Bedrohte Arten.";"Knesebeck";"978-3-95728-317-7";"GEB";"18.00 EUR";"21";"30.0";"";" 2020;64 S.;29 cm;ab 8 J.;";"282";""
"Nuovo, Avalon";"Hier spielt die Musik. Das Orchester und seine Instrumente.";"Knesebeck";"978-3-95728-376-4";"GEB";"18.00 EUR";"21";"30.0";"";" 2020;80 S.;29 cm;ab 6 J.;";"288";""
"Wollersheim, Natalie";"Die Blaue Stunde.";"Magellan";"978-3-7348-6010-2";"GEB";"18.00 EUR";"21";"30.0";"590 g";" 2020;48 S.;33 cm;ab 6 J.;";"282";""
"Schubert, Nadine";"Grüne Helden - Ohne Plastik geht es auch.";"Magellan";"978-3-7348-6007-2";"KT";"15.00 EUR";"21";"30.0";"";" 2020;96 S.;24 cm;Großformatiges Paperback. Klappenbroschur;ab 8 J.;";"220";""
"Jenkins, Martin";"Komm, wir entdecken die Eichhörnchen.";"Magellan";"978-3-7348-2072-4";"GEB";"14.00 EUR";"21";"30.0";"394 g";" 2020;32 S.;27.5 cm;ab 3 J.;";"282";""
"Moutou, Francois";"Matti und das Leben im Wald - Ein Marder zeigt dir sein Zuhause.";"Magellan";"978-3-7348-6009-6";"GEB";"14.00 EUR";"21";"30.0";"464 g";" 2020;40 S.;29 cm;ab 4 J.;";"282";""
"Schutten, Jan Paul";"Nette Skelette.";"mixtvision";"978-3-95854-158-0";"GEB";"24.00 EUR";"21";"35.0";"";" 2020;128 S.;100 Farbfotos;252 mm;ab 8 J.;";"282";"Röntgenbilder von Tieren und Pflanzen"
"Mizielinska, Aleksandra";"Auf nach Yellowstone!.";"Moritz";"978-3-89565-400-8";"GEB";"29.00 EUR";"21";"30.0";"1300 g";" 2020;128 S.;377 mm;ab 7 J.;";"220";"Kreuz & quer durch die Nationalparks unserer Welt"
"Lawrence, Sandra";"Atlas der Heldinnen und Helden.";"Prestel";"978-3-7913-7461-1";"GEB";"24.00 EUR";"21";"32.5";"";" 2020;64 S.;mit Goldfolie auf dem Cover;340 mm;ab 8 J.;";"288";"Legendäre Figuren aus Märchen, Sagen und Mythen"
"Hawkins, Emily";"Das große Handbuch der Elfen.";"Prestel";"978-3-7913-7463-5";"GEB";"25.00 EUR";"21";"32.5";"";" 2020;64 S.;mit Golfolie und Prägung;304 mm;";"130";""
"Williams, Rachel";"Wunder der Natur zum Innehalten und Staunen.";"Prestel";"978-3-7913-7447-5";"GEB";"20.00 EUR";"21";"32.5";"";" 2020;128 S.;128 Farbabb.;290 mm;mit Goldfolie auf dem Cover;ab 4 J.;";"282";""
"Baer, Sam";"Mein Geschichts-Bilderbuch: Rückwärts durch die Zeit.";"Usborne Verlag";"978-1-78941-341-0";"GEB";"12.95 EUR";"21";"30.0";"";" 2020;32 S.;290 mm;ab 4 J.;";"286";""
