"Gratias, Claire";"Hör auf zu lesen!.";"Anaconda";"978-3-7306-0902-6";"GEB";"4.95 EUR";"21";"35.0";"";" 2020;40 S.;durchgehend farbig illustriert;280 mm;von 0-6 J.;";"210";""
"Carroll, Lewis";"Alice im Wunderland.";"Anaconda";"978-3-7306-0913-2";"GEB";"6.95 EUR";"21";"35.0";"";" 2020;64 S.;mit den kolorierten Original-Illustrationen von John Tenniel;220 mm;von 5-11 J.;";"250";"Illustrierte Ausgabe"
"Bassewitz, Gerdt von";"Peterchens Mondfahrt.";"Anaconda";"978-3-7306-0910-1";"GEB";"7.95 EUR";"21";"35.0";"";" 2020;144 S.;durchgehend bebildert, 14 farbige Abbildungen;220 mm;von 5-11 J.;";"250";"Illustrierte Ausgabe"
"Schmachtl, Andreas H.";"Missi Moppel - Detektivin für alle Fälle (2). Die schwebende Teekanne und andere Ungereimtheiten.";"Arena";"978-3-401-71462-2";"GEB";"14.00 EUR";"21";"35.0";"";" 2020;176 S.;Halbleinen mit Lesebändchen und UV-Lackierung auf dem Cover;ab 4 J.;";"230";""
"Schmachtl, Andreas H.";"Snöfrid aus dem Wiesental (3). Die wahrlich rasante Jagd nach der Flussperle.";"Arena";"978-3-401-71585-8";"GEB";"10.00 EUR";"21";"30.0";"";" 2020;128 S.;Mit UV-Lackierung auf dem Cover;ab 7 J.;";"240";""
"Siegner, Ingo";"Eliot und Isabella in den Räuberbergen.";"Beltz";"978-3-407-75820-0";"GEB";"13.95 EUR";"21";"33.0";"";" Originalausgabe;2020;136 S.;m. Illustr.;245 mm;ab 6 J.;";"250";"Roman. Mit farbigen Bildern von Ingo Siegner"
"Baltscheit, Martin";"Die Geschichte vom Löwen, der nicht schlafen konnte.";"Beltz";"978-3-407-75814-9";"GEB";"13.95 EUR";"21";"33.0";"";" Originalausgabe;2020;40 S.;m. zahlr. bunten Bild.;200 x 302 mm;ab 4 J.;";"210";"Vierfarbiges Bilderbuch"
"Höfler, Stefanie";"Waldtage!.";"Beltz";"978-3-407-75810-1";"GEB";"12.95 EUR";"21";"33.0";"";" Originalausgabe;2020;34 S.;m. zahlr. bunten Bild.;280 mm;ab 4 J.;";"210";""
"Loose, Anke";"Der kleine Herr Heimlich hat Großes vor.";"Carlsen";"978-3-551-51862-0";"GEB";"13.00 EUR";"21";"35.0";"";" 2020;144 S.;Mit farbigen Illustrationen;245 mm;von 5-7 J.;";"230";""
"Jaensson, Håkan";"Die Strubbelköpfe - Volle Fahrt ins Abenteuer.";"DTV";"978-3-423-76302-8";"GEB";"12.95 EUR";"21";"30.0";"";" 2020;128 S.;Mit vierfarbigen Illustrationen;235 mm;ab 5 J.;";"240";""
