"Baron, Adam";"Auftauchen, 6 Audio-CD.";"Silberfisch";"978-3-7456-0212-8";"CD";"16.00 EUR";"";"35.0";"151 g";" Ungekürzte Ausgabe;2021;125.00 x 140.00 mm;ab 10 J.;";"";"Für Rettung ist es nie zu spät: 6 CDs, Lesung"
"Bohlmann, Sabine";"Ein Mädchen namens Willow, 3 Audio-CD.";"Silberfisch";"978-3-7456-0262-3";"CD";"13.00 EUR";"";"35.0";"104 g";" Gekürzte Ausgabe;2021;125.00 x 140.00 mm;ab 9 J.;";"";"3 CDs, Lesung"
"Daughtry, Mikki";"All This Time - Lieben heißt unendlich sein, 1 Audio-CD,.";"Der Audio Verlag, DAV";"978-3-7424-1803-6";"CD";"19.99 EUR";"21";"30.0";"";" 2021;14.5 cm;";"250";"Ungekürzte Lesung mit Amadeus Strobl (1 mp3-CD), Lesung"
"Lindgren, Astrid";"Ferien auf Saltkrokan, 1 Audio-CD.";"Oetinger Media";"978-3-8373-1188-4";"CD";"10.00 EUR";"21";"30.0";"";" 2021;125 x 142 mm;ab 4 J.;";"240";"Als Tjorven einen Seehund bekam"
"Muser , Martin";"Nuschki, 1 Audio-CD.";"Silberfisch";"978-3-7456-0269-2";"CD";"10.00 EUR";"21";"35.0";"";" Gekürzte Ausgabe;2021;125.00 x 140.00 mm;ab 8 J.;";"";"1 CD, Lesung"
"Nordqvist, Sven";"Pettersson und Findus, 5 Audio-CD.";"Oetinger Media";"978-3-8373-1182-2";"CD";"17.00 EUR";"";"30.0";"206 g";" 2021;125 x 142 mm;ab 4 J.;";"210";"Unsere schönsten Abenteuer (5 CD)"
"Osterwalder, Markus";"Bobo Siebenschläfer. Zusammen sind wir stark, Audio-CD.";"Jumbo Neue Medien";"978-3-8337-4282-8";"CD";"11.00 EUR";"21";"30.0";"";" 2021;12 x 14 cm;ab 3 J.;";"230";"CD Standard Audio Format, Lesung"
"Pfitzner, Sandra";"Abenteuer & Wissen: Sophie Scholl, Audio-CD.";"headroom sound production";"978-3-96346-041-8";"CD";"14.90 EUR";"21";"35.0";"72 g";" 2021;12.5 x 13.9 cm;von 8 - 88 J.;";"557";"Der Widerstand der Weißen Rose, Lesung"
"Pfitzner, Sandra";"Abenteuer & Wissen: Maria Sibylla Merian, Audio-CD.";"headroom sound production";"978-3-96346-042-5";"CD";"14.90 EUR";"21";"35.0";"72 g";" 2021;I S.;12.5 x 13.9 cm;von 8 - 88 J.;";"552";"Expedition zu den Schmetterlingen, Lesung"
"Preußler , Otfried";"Der kleine Wassermann, 2 Audio-CD.";"Silberfisch";"978-3-7456-0191-6";"CD";"13.00 EUR";"";"35.0";"91 g";" Ungekürzte Ausgabe;2021;125.00 x 140.00 mm;ab 6 J.;";"";"2 CDs, Lesung"
"Sanchez Vegara, Maria Isabel";"Little People, Big Dreams - Ella Fitzgerald, Jane Austen, Coco Chanel, Muhammad Ali, 1 Audio-CD.";"Der Audio Verlag, DAV";"978-3-7424-1651-3";"CD";"12.99 EUR";"";"30.0";"79 g";" 2021;12.5 x 14 cm;";"280";"Hörspiele mit Peter Lontzek, Dirk Petrick u.v.a. (1 CD), Hörspiel"
"Scheffel, Annika";"Sommer auf Solupp, 3 Audio-CD.";"Silberfisch";"978-3-7456-0265-4";"CD";"15.00 EUR";"";"35.0";"103 g";" Gekürzte Ausgabe;2021;125.00 x 140.00 mm;ab 10 J.;";"";"3 CDs, Lesung"
"Scherz, Oliver";"Wir sind nachher wieder da, wir müssen kurz nach Afrika - Autorenlesung, 1 Audio-CD.";"Silberfisch";"978-3-7456-0288-3";"CD";"10.00 EUR";"21";"35.0";"";" Gekürzte Ausgabe;2021;125.00 x 140.00 mm;ab 6 J.;";"";"1 CD, Lesung"
"Taylor, Thomas";"Malamander, 4 Audio-CD.";"Igel-Records";"978-3-7313-1286-4";"CD";"20.00 EUR";"";"30.0";"222 g";" Neuausg.;2021;ab 9 J.;";"250";"Die Geheimnisse von Eerie-On-Sea, Lesung"
"Wohlleben, Peter";"Kommst du mit nach draußen?, 2 Audio-CD.";"Oetinger Media";"978-3-8373-1179-2";"CD";"15.00 EUR";"21";"30.0";"";" 2021;132 x 139 mm;ab 6 J.;";"282";"Eine Entdeckungsreise durch Garten und Stadt (2CD)"
"Pearson, Jenny";"Die unglaubliche Wunderreise des Freddie Yates, 1 Audio-CD,.";"Der Audio Verlag, DAV";"978-3-7424-1855-5";"CD";"14.99 EUR";"21";"30.0";"";" 2021;14.5 cm;";"250";"Ungekürzte Lesung mit Simon Jäger (1 mp3-CD), Lesung"
