"Scheffler, Ursel";"Das lustige Hasenfranz Wimmel-Vorlesebuch.";"Ullmann Medien";"978-3-7415-2571-1";"GEB";"12.90 EUR";"";"35.0";"712 g";" 2021;64 S.;31.2 cm;ab 3 J.;";"210";"Mit 99 Geschichten und vielen Sauchaufträgen"
"Tielmann, Christian";"Wartemal wird Osterschwein.";"Carlsen";"978-3-551-51338-0";"GEB";"10.00 EUR";"";"35.0";"364 g";" 1. Auflage;2021;286.00 mm;von 3 - 6 J.;";"210";"Ein fröhliches Bilderbuch für Kinder ab 3 über Freundschaft und Frühling"
"Jakobs, Günther";"Die Eiersucherei.";"Carlsen";"978-3-551-17143-6";"PP";"10.00 EUR";"";"35.0";"240 g";" 1. Auflage;2020;12 S.;m. zahlr. bunten u. aufklapp Bild.;180.00 mm;Unzerr. Mit Drehscheiben;von 2 - 4 J.;";"210";"Osterbuch mit Drehscheiben und Reimen"
"Sohr, Daniel";"Die schönsten Hasengeschichten.";"Carlsen";"978-3-551-51848-4";"GEB";"10.00 EUR";"";"35.0";"383 g";" 3. Aufl.;2020;80 S.;Farbig illustriert;165.00 x 199.00 mm;von 4 - 7 J.;";"230";"zum Vorlesen in der Osterzeit"
"Pöter, Andrea";"Mein bunter Osterblock.";"Carlsen";"978-3-551-18989-9";"KT";"4.99 EUR";"";"35.0";"239 g";" 1. Auflage;2021;96 S.;Schwarz-weiß illustriert;210.00 mm;Block;von 3 - 5 J.;";"291";"Malspaß zu Ostern für Kinder ab 3 Jahren"
"Poitier, Anton";"Kreatives Bastelset: Ostern.";"Carlsen";"978-3-551-19024-6";"KT";"7.99 EUR";"";"35.0";"210 g";" 1. Auflage;2021;16 S.;Farbig illustriert;212.00 mm;Set mit Bastelpapier, Seidenpapier, Stickern und Bastelstäbchen;von 6 - 9 J.;";"292";"Set mit Bastelpapier, Seidenpapier, Stickern und Bastelstäbchen"
"Weber, Susanne";"Die kleine Eule - Auwei, was ist das für ein Ei?.";"Oetinger";"978-3-7512-0026-4";"PP";"7.00 EUR";"";"35.0";"177 g";" 2021;16 S.;170 mm;Unzerr.;ab 2 J.;";"210";""
"Praml, Sabine";"Wenn sieben kleine Badehasen quietschfidel ans Wasser rasen.";"Oetinger";"978-3-7891-2112-8";"PP";"8.00 EUR";"";"35.0";"261 g";" 2021;16 S.;16 farbige Abbildungen und 16 Illustrationen;177 x 240 mm;Unzerr.;ab 2 J.;";"210";"Hörspiel"
"Freedman, Claire";"Der glücklichste Hase der Welt.";"Loewe Verlag";"978-3-7432-1012-7";"GEB";"7.00 EUR";"";"30.0";"207 g";" 2021;32 S.;188 mm;ab 3 J.;";"210";""
"Leiss-Bohn, Simone";"Mission Ostern - Finde den Eierdieb!.";"EMF Edition Michael Fischer";"978-3-7459-0373-7";"GEB";"12.99 EUR";"";"35.0";"374 g";" 2021;112 S.;216 mm;ab 6 J.;";"292";"Löse 24 spannende Rätsel - Mit perforierten Seiten zum Auftrennen für Kinder ab 6 Jahren"
"Precht, Thade";"111 x Papierfalten - Ostern.";"EMF Edition Michael Fischer";"978-3-7459-0389-8";"KT";"9.99 EUR";"";"35.0";"484 g";" 2021;256 S.;200 mm;ab 5 J.;";"292";"Bastelblock mit Anleitungen und 111 lustigen Papieren zum Sofort-Loslegen - Für Kinder ab 5 Jahren"
"Frank, Cornelia";"Wer bemalt das Osterei?.";"Ravensburger Verlag";"978-3-473-43999-7";"PP";"8.99 EUR";"15";"35.0";"316 g";" 2021;16 S.;durchg. farb. Ill. u. Text, mit Buchdecke;190 mm;von 2 - 4 J.;";"210";""
