"Naumann, Ebi";"Kleine Schneeflocke.";"Aladin";"978-3-8489-0196-8";"GEB";"15.00 EUR";"21";"30.0";"480 g";" 1. Auflage;2021;32 S.;311.00 mm;Gebunden mit Spotlack und Goldfolienprägung;ab 4 J.;";"250";"Zauberhaftes Bilderbuch zu Weihnachten"
"Dedieu, Thierry";"Auf der Suche nach dem Schneemann.";"Aracari";"978-3-907114-21-6";"GEB";"18.00 EUR";"21";"30.0";"";" 2021;64 S.;310 cm;ab 4 J.;";"210";"Bilderbuch"
"Abedi, Isabel";"Ein wirklich wahres Weihnachtswunder.";"Arena";"978-3-401-60637-8";"GEB";"12.00 EUR";"21";"35.0";"477 g";" 2021;112 S.;246.00 mm;Mit Prägung und UV-Lackierung auf dem Cover;ab 8 J.;";"250";"Weihnachts-Kinderbuch zum Vorlesen und Selberlesen ab 8"
"Dickens, Charles";"Eine Weihnachtsgeschichte.";"Arena";"978-3-401-71729-6";"GEB";"9.00 EUR";"21";"30.0";"";" 2021;72 S.;ab 6 J.;";"240";"Klassiker einfach lesen"
"Vahle, Fredrik";"Die schönsten Weihnachtslieder, 2 Audio-CD.";"Argon Verlag";"978-3-8398-4991-0";"CD";"14.95 EUR";"21";"35.0";"";" 2021;ab 2 J.;";"230";"Mit 70 Liedern durch den Advent, Musikdarbietung/Musical/Oper"
"Bright, Paul";"Der ganze Wald freut sich auf Weihnachten, 1 Audio-CD.";"Argon Verlag";"978-3-8398-4993-4";"CD";"9.95 EUR";"21";"35.0";"";" 2021;ab 2 J.;";"230";"Ungekürzte Ausgabe, Lesung"
"Hickey, Katie";"Bald ist Weihnachten!.";"ars edition";"978-3-8458-4466-4";"GEB";"18.00 EUR";"21";"33.0";"";" 2021;64 S.;295.00 mm;Hardcover mit 24 Türchen;ab 4 J.;";"250";"Ein Adventskalenderbuch"
"Ronge, Hartmut";"Das Kind vom Lama heist Lametta. Kinder erklären Weihnachten.";"ars edition";"978-3-8458-4320-9";"GEB";"10.00 EUR";"21";"33.0";"";" 2021;48 S.;156.00 x 206.00 mm;";"190";""
"Welby, Bethan";"Mein Freund, der Weihnachtsbaum.";"Atlantis Zürich";"978-3-7152-0799-5";"GEB";"16.00 EUR";"21";"35.0";"";" 2021;32 S.;27.5 cm;FSK ab 0 freigegeben;";"210";"Bilderbuch"
"Chudzinski, Daniela";"Die Weihnachtsgeschichte mit Waldemar, dem Dromedar ... und Emmchen, dem Lämmchen.";"Carlsen";"978-3-551-17010-1";"PP";"13.00 EUR";"21";"35.0";"412 g";" 1. Auflage;2021;80 S.;Farbig illustriert;140.00 mm;Von vorn und hinten zu lesen;ab 3 J.;";"250";"Ein Wendebuch"
"Rowling, J.K.";"Jacks wundersame Reise mit dem Weihnachtsschwein.";"Carlsen";"978-3-551-55751-3";"GEB";"20.00 EUR";"21";"35.0";"";" 2021;336 S.;210.00 mm;ab 8 J.;";"250";""
"van den Speulhof, Barbara";"Der Grolltroll ... Schöne Bescherung! (Bd. 4).";"Coppenrath, Münster";"978-3-649-63786-8";"GEB";"15.00 EUR";"21";"30.0";"420 g";" 2021;36 S.;4-fbg.;300 mm;Hardcover; mit Quelllack und Glitter; mit Ausfaltseite;ab 3 J.;";"210";""
"";"Mitmachkalender - Mach mit! 24 Ideen, um unsere Welt besser und schöner zu machen.";"Coppenrath, Münster";"978-3-649-64031-8";"KAL";"12.00 EUR";"21";"30.0";"";" 2021;52 S.;26.5 cm;Broschur; aus Naturpapier / Cover mit 24 Türchen / Spotlack;";"295";"Lesen, malen, umweltfreundlich basteln"
