"Reichenstetter, Friederun";"Entdecke die Tiere - Das kleine Kaninchen.";"Arena";"978-3-401-70804-1";"PP";"7.99 EUR";"";"30.0";"253 g";" 2016;12 S.;m. zahlr. bunten z. Tl. ausklappb. Bild.;205 mm;Unzerr. Mit Guckloch;ab 2 J.;";"210";""
"Sturm, Linda";"Der große Osterhasen-Wettbewerb.";"Arena";"978-3-401-70628-3";"PP";"9.99 EUR";"";"30.0";"631 g";" 2016;14 S.;m. zahlr. bunten Bild.;321 mm;Unzerr.;ab 2 J.;";"210";"Mein lustiger Wimmelbilder-Spaß"
"Grimm, Sandra";"Hase Hoppels lustiger Osterspaß.";"Arena";"978-3-401-70627-6";"PP";"7.99 EUR";"";"30.0";"333 g";" 2016;12 S.;m. zahlr. bunten Bild.;205 mm;Unzerr.;ab 2 J.;";"210";""
"Sixt, Eva";"Hasenfest und Hühnerhof.";"Atlantis, Orell Füssli";"978-3-7152-0712-4";"GEB";"14.95 EUR";"";"30.0";"402 g";" 2016;32 S.;m. zahlr. farb. Illustr.;31 cm;ab 5 J.;";"282";"Naturwissen - nicht nur für Ostern"
"Meyer, Susanne";"Der große Vorleseschatz durchs Jahr.";"Ellermann";"978-3-7707-2498-7";"GEB";"14.99 EUR";"";"35.0";"1224 g";" 2015;256 S.;m. Illustr.;270 mm;ab 2 J.;";"230";"Mit Geschichten von Isabel Abedi, Marliese Arold, Antonia Michaelis, Maja von Vogel u.a."
"Underwood, Deborah";"Gestatten, die Osterkatze!.";"Loewe Verlag";"978-3-7855-8489-7";"GEB";"7.95 EUR";"";"31.0";"387 g";" 2016;80 S.;m. zahlr. bunten Bild.;183 x 205 mm;ab 3 J.;";"210";""
"Elschner, Géraldine";"Das Osterküken.";"NordSüd Verlag";"978-3-314-10343-8";"GEB";"4.99 EUR";"15";"35.0";"92 g";" 2016;32 S.;m. zahlr. bunten Bild.;138 mm;ab 4 J.;";"210";""
"Lütje, Susanne";"Das kleine Huhn hat viel zu tun.";"Oetinger";"978-3-7891-7563-3";"PP";"5.99 EUR";"";"35.0";"193 g";" 2016;16 S.;m. zahlr. bunten Bild.;17 cm;Unzerr.;ab 18 Mon.;";"210";""
"Penners, Bernd";"Ein Osterei für jeden.";"Ravensburger Buchverlag";"978-3-473-43570-8";"PP";"4.99 EUR";"15";"35.0";"135 g";" 1. Aufl.;2016;16 S.;m. zahlr. bunten Bild. u. Gucklöchern;160 mm;Unzerr.;ab 18 Mon.;";"210";""
"Krüger, Thomas";"Eine kunterbunte Überraschung.";"Ravensburger Buchverlag";"978-3-473-36473-2";"GEB";"7.99 EUR";"15";"35.0";"259 g";" 1. Aufl.;2016;48 S.;m. zahlr. farb. Illustr.;240 mm;Mit Stickern;ab 6 J.;";"240";"Donald Rabbit und Micki Kuchen"
