"Tan, Shaun";"Singende Knochen.";"Aladin";"978-3-8489-2078-5";"GEB";"28.00 EUR";"21";"30.0";"649 g";" 2016;176 S.;m. 75 Bildtaf. v. Shaun Tan;246 mm;ab 10 J.;";"260";"Vorw. v. Philip Pullman"
"Crowther, Kitty";"Medusenkind.";"Aladin";"978-3-8489-0110-4";"GEB";"14.95 EUR";"";"30.0";"376 g";" 2016;44 S.;m. zahlr. bunten Bild.;256 mm;ab 5 J.;";"210";""
"Pauli, Lorenz";"Böse.";"Atlantis, Orell Füssli";"978-3-7152-0720-9";"GEB";"14.95 EUR";"21";"30.0";"402 g";" 2016;32 S.;m. zahlr. bunten Bild.;285.00 mm;ab 4 J.;";"210";""
"Jha, Rambharos";"Wasserwelten.";"Baobab Books";"978-3-905804-74-4";"LN";"42.00 EUR";"15";"35.0";"592 g";" Num. Ausg.;2016;28 S.;m. zahlr. bunten Bild.;36.5 cm;Siebdruck, handgemacht;Kindergartenalter;";"210";"Ein Kunstbilderbuch aus Indien"
"Little, Toby";"Liebe Welt, wie geht es dir?.";"Bastei Lübbe";"978-3-7857-2581-8";"GEB";"20.00 EUR";"21";"35.0";"";" 1. Aufl.;2016;350 S.;215 mm;";"160";"Ein kleiner Junge verbindet die Menschen mit seinen Briefen"
"Ribbing, Anna";"Englisches Bildwörterbuch.";"Beltz";"978-3-407-82142-3";"GEB";"12.95 EUR";"";"33.0";"513 g";" 2016;58 S.;m. zahlr. farb. Illustr.;27.7 cm;ab 6 J.;";"2911";"From A to Z"
"Kaléko, Mascha";"Träume, die auf Reisen führen.";"DTV";"978-3-423-64027-5";"GEB";"16.95 EUR";"21";"30.0";"";" 2016;176 S.;m. Illustr.;210 mm;von 6-9 J.;";"230";"Gedichte für Kinder"
"Guojing";"Allein.";"Jacoby & Stuart";"978-3-946593-02-7";"GEB";"19.95 EUR";"";"35.0";"709 g";" 2016;112 S.;m. zahlr. Illustr.;28 cm;ab 5 J.;";"210";""
"Teckentrup, Britta";"Worauf wartest du?.";"Jacoby & Stuart";"978-3-946593-09-6";"GEB";"22.00 EUR";"";"30.0";"617 g";" 2016;200 S.;m. zahlr. farb. Illustr.;20.5 cm;ab 6 J.;";"210";"Das große Buch der Fragen"
"Berner, Rotraut Susanne";"Einfach alles! (Kinderspiel).";"Klett Kinderbuch Verlag";"978-3-95470-000-4";"SPL";"24.95 EUR";"";"30.0";"844 g";" 5. Aufl.;2013;Inhalt: 150 Ktn., Begleitheft;16,5 x 16,5 x 11 cm;In Spielebox;Grundschulalter;";"2911";"Die Welt in Bildern. Die wichtigsten Begriffe auf 150 Bildkarten in 6 Sprachen. Zum Spielen und Lernen, Sortieren, Erzählen . . . und Staunen"
"Zagarenski, Pamela";"Der Fuchs und die verlorenen Buchstaben.";"Knesebeck";"978-3-86873-942-8";"GEB";"12.95 EUR";"";"31.0";"471 g";" 2016;40 S.;m. zahlr. bunten Bild.;28,5 cm;ab 5 J.;";"210";""
"Kobald, Irena";"Zuhause kann überall sein, Deutsch-Arabisch.";"Knesebeck";"978-3-86873-989-3";"KT";"8.95 EUR";"";"31.0";"170 g";" 2016;32 S.;m. zahlr. bunten Bild.;25 cm;Englisch Broschur;ab 5 J.;";"210";""
"Clément, Frédéric";"Metamorphosen.";"Knesebeck";"978-3-86873-939-8";"GEB";"14.95 EUR";"";"31.0";"490 g";" 2016;40 S.;m. zahlr. farb. Abb.;25.5 x 28.5 cm;ab 6 J.;";"282";"Verwandlungskünstler der Natur"
"Shakespeare, William";"Romeo & Julia.";"Minedition";"978-3-86566-309-2";"GEB";"19.95 EUR";"";"35.0";"491 g";" 2016;48 S.;m. zahlr. farb. Illustr.;29.3 cm;ab 12 J.;";"210";""
"Gruß, Karin";"Was WÜRDEst du tun?.";"Minedition";"978-3-86566-308-5";"GEB";"10.00 EUR";"";"35.0";"216 g";" 2016;32 S.;m. zahlr. farb. Illustr.;24.3 cm;ab 5 J.;";"210";""
"Knödler, Christine";"Das Schaf im himmelblauen Morgenmantel.";"mixtvision";"978-3-95854-060-6";"GEB";"19.90 EUR";"21";"35.0";"";" 2016;128 S.;m. farb. Illustr.;24 cm;Grundschulalter;";"250";"Von Bild zu Wort zu Bild zu Wort zu Bild zu Wort zu Bild"
"Thompson, Colin";"Colin Thompsons Fantastisches Malbuch.";"Ravensburger Buchverlag";"978-3-473-55680-9";"KT";"12.99 EUR";"";"35.0";"430 g";" 2016;72 S.;durchg. schw.-w. Ill.;295 mm;";"465";""
"Rössler, Maria-Theresia";"Neue Lese-Rezepte.";"Tyrolia";"978-3-7022-3544-4";"GEB";"19.95 EUR";"15";"33.3";"743 g";" 2016;160 S.;durchgehend farbig illustriert;240 mm;";"724";""
"Peng";"Hirameki Wolkenkino.";"Verlag Antje Kunstmann";"978-3-95614-138-6";"KT";"8.00 EUR";"";"33.0";"158 g";" 2016;64 S.;m. Abb.;212 mm;Englisch Broschur;";"423";""
"Peng";"Hirameki Miau Wau Wau.";"Verlag Antje Kunstmann";"978-3-95614-140-9";"KT";"8.00 EUR";"";"33.0";"156 g";" 2016;64 S.;m. Abb.;212 mm;Englisch Broschur;";"423";""
