"Merz, Christine";"Frau Löwin will auf Reisen gehen.";"Arena";"978-3-401-70603-0";"GEB";"9.99 EUR";"";"30.0";"441 g";" 2016;88 S.;m. Illustr.;246.00 mm;ab 4 J.;";"240";"Tierisch lustige Vorlesegeschichten"
"Baisch, Milena";"Prinzessinnengeschichten für 3 Minuten, m. Audio-CD.";"Arena";"978-3-401-70693-1";"GEB";"9.99 EUR";"";"30.0";"435 g";" 2016;80 S.;m. farb. Illustr.;25 cm;ab 4 J.;";"230";""
"Moser, Erwin";"Wunderbare Gute-Nacht-Geschichten.";"Beltz";"978-3-407-82168-3";"GEB";"14.95 EUR";"";"33.0";"798 g";" 2016;240 S.;m. 220 farb. Illustr.;17.3 x 24.6 cm;ab 4 J.;";"230";""
"Gelberg, Barbara";"Einmal, als der Bär ans Meer kam.";"Beltz";"978-3-407-82169-0";"GEB";"16.95 EUR";"";"33.0";"1090 g";" 2016;357 S.;24.5 cm;ab 6 J.;";"230";"Die schönsten Vorlesegeschichten"
"Orosz, Susanne";"Die Welt bei uns zu Hause.";"Ellermann";"978-3-7707-3423-8";"GEB";"14.99 EUR";"";"35.0";"710 g";" 2016;144 S.;241 mm;ab 5 J.;";"230";"Vorlesegeschichten über andere Kulturen"
"Breitenöder, Julia";"Drei-Fünf-Acht-Minutengeschichten für Feen und Prinzessinnen.";"Ellermann";"978-3-7707-2196-2";"GEB";"12.99 EUR";"";"35.0";"529 g";" 2016;144 S.;232 cm;ab 3 J.;";"230";""
"Lagerlöf, Selma";"Die wunderbare Reise des Nils Holgersson.";"Gondolino";"978-3-8112-3329-4";"GEB";"5.00 EUR";"";"30.0";"564 g";" 2014;64 S.;m. Illustr.;290.0 mm;ab 4 J.;";"250";""
"";"Märchen aus 1001 Nacht.";"Gondolino";"978-3-8112-3331-7";"GEB";"5.00 EUR";"";"30.0";"550 g";" 2013;128 S.;m. farb. Illustr.;24,5 cm;ab 7 J.;";"260";""
"Moeyaert, Bart";"Du und ich und alle anderen Kinder.";"Hanser";"978-3-446-25302-5";"LN";"24.00 EUR";"21";"35.0";"";" 2016;512 S.;m. zahlr. zweifarb. Illustr.;ab 10 J.;";"250";""
"Kipling, Rudyard";"Der Schmetterling, der mit dem Fuß aufstampfte.";"Hanser";"978-3-446-25299-8";"GEB";"18.00 EUR";"21";"35.0";"";" 2016;224 S.;m. zahlr. farb. Illustr.;ab 6 J.;";"240";""
"Hartmann, Frank";"Meine Bibel in Erzählbildern.";"Herder, Freiburg";"978-3-451-71354-5";"GEB";"19.99 EUR";"21";"35.0";"";" 2016;192 S.;m. zahlr. farb. Illustr.;260 mm;ab 4 J.;";"287";""
"Fühmann, Franz";"Humpelhexe, Zauberbein und eine Feuer speiende Fee.";"Hinstorff";"978-3-356-02056-4";"GEB";"14.99 EUR";"";"35.0";"410 g";" 2016;112 S.;m. zahlr. Illustr.;239 mm;ab 4 J.;";"260";"3 Märchen. Der Sammelband"
"Jentgens, Stephanie";"Was ist los vor meiner Tür?.";"Jacoby & Stuart";"978-3-942787-87-1";"HL";"24.00 EUR";"";"35.0";"958 g";" 2016;176 S.;m. zahlr. farb. Illustr.;27,5 cm;ab 8 J.;";"250";"20 Geschichten der Besten zum 60. Geburtstag des Deutschen Jugendliteraturpreises"
"Grimm, Jacob";"Meine wunderbare Märchenwelt in Erzählbildern.";"Kerle, Freiburg";"978-3-451-71370-5";"GEB";"19.99 EUR";"";"35.0";"";" 2016;176 S.;m. farb. Illustr. v. Barbara Bedrischka-Bös;260 mm;ab 4 J.;";"260";"Die schönsten Märchen der Brüder Grimm"
"Schrader, Werner";"Knasterbax und Siebenschütz.";"Kerle, Freiburg";"978-3-451-71390-3";"GEB";"12.99 EUR";"21";"35.0";"";" 2016;160 S.;m. 22 Illustr.;205 mm;Grundschulalter;";"250";""
"Englert, Sylvia";"Der kleine Warumwolf.";"Knesebeck";"978-3-86873-887-2";"GEB";"12.95 EUR";"";"31.0";"360 g";" 2016;112 S.;21.5 cm;ab 5 J.;";"230";"Verrückte Vorlesegeschichten"
"Lagerlöf, Selma";"Nils Holgersson.";"Loewe Verlag";"978-3-7855-8406-4";"GEB";"5.00 EUR";"";"30.0";"543 g";" 2016;128 S.;m. farb. Illustr.;24,5 cm;ab 5 J.;";"250";""
"Andres, Kristina";"Nun schlaft mal schön!.";"Moritz";"978-3-89565-331-5";"GEB";"14.95 EUR";"";"30.0";"362 g";" 2016;64 S.;m. zahlr. bunten Bild.;24.5 cm;ab 5 J.;";"210";"Elfeinhalb Gutenachtgeschichten von Fuchs und Hase"
"Lindgren, Astrid";"Immer lustig in Bullerbü.";"Oetinger";"978-3-7891-0393-3";"GEB";"12.99 EUR";"";"35.0";"696 g";" 2016;128 S.;247 mm;ab 6 J.;";"250";""
