"Rosengarten, Johannes";"Das große Mandala-Malbuch.";"Arena";"978-3-401-71080-8";"KT";"5.00 EUR";"";"30.0";"749 g";" 2017;96 S.;m. 48 Illustr.;28,5 cm;ab 5 J.;";"292";"Quelle der Entspannung:"
"Goodwin, Claire";"Zeit zum Entspannen. Die schönsten Mandalas.";"Arena";"978-3-401-71079-2";"KT";"6.99 EUR";"";"30.0";"450 g";" 2017;128 S.;m. zahlr. Illustr.;28 cm;ab 8 J.;";"292";"Ruhe und Harmonie"
"Schäfer, Carola";"Mein superstarker Kindergartenblock - Malen, Suchen, Konzentration.";"Arena";"978-3-401-71081-5";"KT";"5.00 EUR";"";"30.0";"462 g";" 2017;192 S.;m. Illustr.;205 mm;Geblockt;ab 4 J.;";"291";""
"Gehring, Birgit";"Mein superstarker Grundschulblock. Rechnen und Schreiben für die 1. Klasse.";"Arena";"978-3-401-71082-2";"KT";"5.00 EUR";"";"30.0";"465 g";" 2017;192 S.;206 mm;Geblockt;";"840";""
"Schettler, Heike";"Das große Forscherbuch für Grundschulkinder.";"Arena";"978-3-401-71176-8";"KT";"9.99 EUR";"";"30.0";"383 g";" 2017;96 S.;m. zahlr. Illustr.;24 cm;ab 7 J.;";"283";"Spannende Experimente zum Entdecken und Verstehen der Naturwissenschaften:"
"Sixt, Eva";"Das Eichhörnchenjahr.";"Atlantis, Orell Füssli";"978-3-7152-0725-4";"GEB";"14.95 EUR";"";"30.0";"413 g";" 2017;32 S.;m. zahlr. farb. Abb.;310.00 mm;ab 5 J.;";"282";""
"Leitzgen, Anke M.";"Das sind deine Rechte!.";"Beltz";"978-3-407-82178-2";"KT";"14.95 EUR";"21";"33.0";"";" 2017;160 S.;16.5 x 22.0 cm;Klappenbroschur;ab 8 J.;";"284";"Das Kinderrechte-Buch"
"Johansson, Annelie";"Pflanz mal was!.";"Beltz";"978-3-407-82219-2";"GEB";"12.95 EUR";"21";"33.0";"";" 2017;80 S.;Durchgehend vierfarbig bebildert;17.3 x 21.0 cm;ab 4 J.;";"282";"Vom Säen bis zum Ernten"
"Zitelmann, Arnulf";""Widerrufen kann ich nicht".";"Beltz";"978-3-407-74768-6";"KT";"8.95 EUR";"";"33.0";"213 g";" 8. Aufl.;2017;203 S.;12.6 x 18.8 cm;ab 14 J.;";"287";"Die Lebensgeschichte des Martin Luther"
"";"Bildwörterbuch Arabisch-Deutsch, m. Audio-CD.";"Dorling Kindersley";"978-3-8310-3257-0";"GEB";"14.95 EUR";"21";"35.0";"";" 2017;128 S.;Mit über 400 Farbfotografien;276 mm;ab 6 J.;";"2911";""
