"Lomp, Stephan";"Wilfreds und Olberts total verrückte Jagd.";"360 Grad";"978-3-96185-505-6";"GEB";"12.90 EUR";"";"35.0";"618 g";" 2017;32 S.;28.6 cm;von 5-8 J.;";"210";""
"Asensio, Albert";"Die blaue Bank.";"ábac i lletres";"978-84-947040-0-0";"GEB";"14.95 EUR";"";"33.0";"400 g";" 2017;36 S.;m. zahlr. bunten Bild.;24 x 25,5 cm;Kindergarten- u. Vorschulalter;";"210";""
"Tan, Wen Dee";"Lili.";"ábac i lletres";"978-84-947040-1-7";"GEB";"14.95 EUR";"";"33.0";"360 g";" 2017;28 S.;m. zahlr. bunten Bild.;23 x 25 cm;Kindergarten- u. Vorschulalter;";"210";""
"Cousins, Lucy";"Lauter Vögel.";"Aladin";"978-3-8489-0132-6";"GEB";"14.95 EUR";"";"30.0";"574 g";" 2017;32 S.;m. zahlr. bunten Bild.;308 mm;von 3-5 J.;";"210";""
"Pavoni, Verena";"Roberta, die Prinzessin in der Krone.";"Atlantis, Orell Füssli";"978-3-7152-0733-9";"GEB";"14.95 EUR";"";"30.0";"368 g";" 2017;32 S.;m. zahlr. bunten Bild.;270 mm;ab 5 J.;";"210";""
"Wiesmüller, Dieter";"Pernix.";"Atlantis, Orell Füssli";"978-3-7152-0738-4";"GEB";"14.95 EUR";"";"30.0";"460 g";" 2017;40 S.;m. zahlr. bunten Bild.;290 mm;ab 5 J.;";"210";"Die Abenteuer eines kleinen Sauriers"
"Pauli, Lorenz";"Fell und Feder.";"Atlantis, Orell Füssli";"978-3-7152-0737-7";"UNB";"14.95 EUR";"";"30.0";"414 g";" 2017;36 S.;250.00 mm;Kindergartenalter;";"210";""
"Dalvand, Reza";"Etwas Schwarzes.";"Baobab Books";"978-3-905804-81-2";"GEB";"16.50 EUR";"";"30.0";"314 g";" 2017;32 S.;m. zahlr. bunten Bild.;20 x 30 cm;ab 5 J.;";"210";"Ein Bilderbuch aus dem Iran"
"Engler, Michael";"Wir zwei sind Freunde fürs Leben.";"Baumhaus Medien";"978-3-8339-0701-2";"GEB";"12.90 EUR";"";"30.0";"298 g";" 2. Aufl.;2017;32 S.;m. zahlr. bunten Bild.;235 mm;ab 4 J.;";"210";""
"Hilbert, Jörg";"Ritter Rost und das Sternenschiff, m. Audio-CD.";"Carlsen";"978-3-551-27143-3";"GEB";"19.99 EUR";"";"35.0";"529 g";" 2017;48 S.;farbig illustriert;302 mm;von 4-10 J.;";"230";"Musical für Kinder"
"Helland Larsen, Elisabeth";"Ein Leben mit dir.";"Die Gestalten Verlag";"978-3-89955-792-3";"GEB";"14.90 EUR";"";"33.0";"516 g";" 2017;48 S.;27.5 cm;Kindergartenalter;";"210";""
"Ryski, Dawid";"Wenn ich mal groß bin, werde ich ....";"Die Gestalten Verlag";"978-3-89955-798-5";"GEB";"14.90 EUR";"";"33.0";"480 g";" 2017;32 S.;m. zahlr. bunten Bild.;29 cm;Kindergartenalter;";"210";""
"Biddulph, Rob";"Ein bunter Hund.";"Diogenes";"978-3-257-01212-5";"GEB";"16.00 EUR";"";"30.0";"358 g";" 2017;32 S.;m. zahlr. bunten Bild.;28 cm;ab 3 J.;";"210";""
"Irving, John";"Ein Geräusch, wie wenn einer versucht, kein Geräusch zu machen.";"Diogenes";"978-3-257-01102-9";"GEB";"18.00 EUR";"";"30.0";"502 g";" 2. Aufl.;2017;40 S.;m. zahlr. bunten Bild.;252 x 275 mm;ab 4 J.;";"210";"Ausgezeichnet mit 'Die besten 7 Bücher für junge Leser', 01/2004"
"Schaapman, Karina";"Das Mäusehaus.";"Ellermann";"978-3-7707-0053-0";"GEB";"14.99 EUR";"";"35.0";"621 g";" 2017;48 S.;m. zahlr. bunten Bild.;302 mm;ab 4 J.;";"210";"Mein großes Wimmelbuch"
"Hammerle, Nina";"Das wunderwilde Wolkenhaus.";"Ellermann";"978-3-7707-4923-2";"GEB";"14.99 EUR";"";"35.0";"365 g";" 2017;32 S.;m. zahlr. bunten Bild.;280 mm;ab 4 J.;";"210";""
"Lennon, John";"Imagine.";"Freies Geistesleben";"978-3-7725-2800-2";"GEB";"16.00 EUR";"";"33.0";"428 g";" 2017;32 S.;m. zahlr. bunten Bild.;27.5 cm;ab 5 J.;";"210";""
"Werner, Brigitte";"Der kleine Murps.";"Freies Geistesleben";"978-3-7725-2887-3";"GEB";"16.00 EUR";"";"33.0";"420 g";" 2017;36 S.;m. zahlr. bunten Bild.;22 x 30 cm;ab 4 J.;";"210";""
"Dumon Tak, Bibi";"Mikas Himmel.";"Gerstenberg Verlag";"978-3-8369-5939-1";"GEB";"12.95 EUR";"";"35.0";"354 g";" 2017;32 S.;m. zahlr. bunten Bild.;265.0 mm;ab 4 J.;";"210";""
"Carle, Eric";"Freunde, Midi-Ausgabe.";"Gerstenberg Verlag";"978-3-8369-5617-8";"GEB";"8.95 EUR";"";"35.0";"182 g";" 2017;32 S.;m. zahlr. bunten Bild.;195.0 mm;ab 4 J.;";"210";""
"Palacio, Raquel J.";"Wir sind alle ein Wunder.";"Hanser";"978-3-446-25693-4";"GEB";"14.00 EUR";"";"35.0";"435 g";" 2017;32 S.;m. zahlr. bunten Bild.;312 mm;ab 3 J.;";"210";""
"Richter, Jutta";"Otto war nicht begeistert.";"Hanser";"978-3-446-25699-6";"GEB";"14.00 EUR";"";"35.0";"370 g";" 2017;32 S.;m. zahlr. bunten Bild.;225 x 292 mm;ab 3 J.;";"210";""
"Schamp, Tom";"Hoch hinaus.";"Hanser";"978-3-446-25490-9";"GEB";"16.00 EUR";"";"35.0";"245 g";" 2017;8 S.;m. zahlr. bunten Bild.;339 mm;Leporello;ab 3 J.;";"210";"Mit Messlatte zum Ausklappen, Aufhängen und Entdecken!"
"Pin, Isabel";"Du nicht!.";"Hinstorff";"978-3-356-02155-4";"GEB";"16.99 EUR";"";"35.0";"334 g";" 2017;24 S.;m. zahlr. bunten Bild.;297 mm;ab 4 J.;";"210";"Ausgezeichnet mit dem Leipziger Lesekompass 2018"
"Thoma, Patricia";"Mulgheta.";"Jacoby & Stuart";"978-3-946593-41-6";"GEB";"13.00 EUR";"";"30.0";"275 g";" 2017;32 S.;m. zahlr. bunten Bild.;21 cm;Kindergarten- u. Vorschulalter;";"210";"Ein Tag im Leben eines blinden Fußballspielers"
"Janisch, Heinz";"Wir sind alle nett - von A bis Z.";"Jungbrunnen-Verlag";"978-3-7026-5914-1";"GEB";"16.00 EUR";"";"35.0";"400 g";" 2017;40 S.;m. zahlr. bunten Bild.;28 cm;ab 4 J.;";"210";""
"Torudd, Cecilia";"Heute holt mich Oma ab.";"Klett Kinderbuch Verlag";"978-3-95470-165-0";"GEB";"10.00 EUR";"";"30.0";"228 g";" 2017;32 S.;m. zahlr. bunten Bild.;21 cm;ab 4 J.;";"210";""
