"Barrie, James Matthew";"Die besten Kinderbuchklassiker zum Vorlesen.";"Arena";"978-3-401-71331-1";"GEB";"12.00 EUR";"";"35.0";"756 g";" 2018;112 S.;288.00 mm;Mit UV-Lackierung auf dem Cover;ab 4 J.;";"230";"Der Wind in den Weiden, Peter Pan und Grimms Märchen"
"Ateliers Hafenstraße 64";"365 mal Vorlesen.";"Carlsen";"978-3-551-51052-5";"GEB";"20.00 EUR";"";"35.0";"1366 g";" 2018;376 S.;Mit farbigen Bildern;213 x 257.5 mm;von 4-7 J.;";"230";"Geschichten und Gedichte für das ganze Jahr"
"Fickel, Florian";"Freunde, ist das Leben schön! Das Vorlesebuch mit Tiger und Bär.";"Ellermann";"978-3-7707-0095-0";"GEB";"15.00 EUR";"";"35.0";"502 g";" 2018;128 S.;120 farb. Abb. 120 Ill.;232 mm;ab 4 J.;";"230";"Nach einer Figurenwelt von Janosch"
"Dax, Eva";"Jeppe & Oswald.";"Ellermann";"978-3-7707-0021-9";"GEB";"13.00 EUR";"";"35.0";"530 g";" 2018;128 S.;60 farb. Abb.;232 mm;ab 4 J.;";"230";"Ein Wichtel zieht ein"
"Grossman, David";"Giraffe und dann ab ins Bett!.";"Hanser";"978-3-446-26053-5";"GEB";"15.00 EUR";"";"35.0";"414 g";" 2018;112 S.;Durchgehend farbig illustriert;246 mm;ab 3 J.;";"230";""
"Saxby, John";"Alle Abenteuer von Eduard Speck.";"Hanser";"978-3-446-26067-2";"GEB";"16.00 EUR";"";"35.0";"654 g";" 2. Aufl.;2018;240 S.;Durchgehend vierfarbig illustriert;246 mm;ab 8 J.;";"250";""
"Janisch, Heinz";"Hier bin ich glücklich!.";"Lappan Verlag";"978-3-8303-1290-1";"GEB";"19.99 EUR";"";"35.0";"1048 g";" 2018;176 S.;m. farb. Illustr.;27,5 cm;Hausbuch mit Halbleinen und Goldfolienstreifen;von 0-8 J.;";"230";"Geschichten von Lieblingsplätzen"
"";"3-Minuten-Vorlesegeschichten für wunderbare Träume.";"Loewe Verlag";"978-3-7432-0035-7";"GEB";"5.00 EUR";"";"30.0";"551 g";" 2018;128 S.;245 mm;ab 3 J.;";"230";""
"Preußler, Otfried";"Der Räuber Hotzenplotz und die Mondrakete.";"Thienemann Verlag";"978-3-522-18510-3";"GEB";"12.00 EUR";"";"30.0";"360 g";" 2018;64 S.;245 mm;ab 6 J.;";"250";""
"Drescher, Daniela";"Giesbert hört das Gras wachsen.";"Urachhaus";"978-3-8251-5174-4";"GEB";"18.00 EUR";"";"33.0";"444 g";" 2018;104 S.;mit zahlreichen farbigen Abbildungen;24 cm;ab 5 J.;";"230";""
