"Riordan, Rick";"Apollo - Das brennende Labyrinth.";"Carlsen";"978-3-551-55690-5";"GEB";"18.99 EUR";"21";"35.0";"";" 2019;464 S.;220 mm;von 12-99 J.;";"250";""
"Bach, Tamara";"Wörter mit L.";"Carlsen";"978-3-551-55386-7";"GEB";"11.00 EUR";"";"35.0";"306 g";" 2019;176 S.;21 cm;von 11-15 J.;";"250";""
"Riordan, Rick";"Magnus Chase - Der Hammer des Thor.";"Carlsen";"978-3-551-31795-7";"KT";"14.99 EUR";"21";"35.0";"";" 2019;512 S.;205 mm;von 12-99 J.;";"250";""
"Beauvais, Clémentine";"Die Königinnen der Würstchen.";"Carlsen";"978-3-551-31798-8";"KT";"7.99 EUR";"21";"35.0";"";" 2019;288 S.;187 mm;von 14-99 J.;";"250";""
"Riordan, Rick";"Percy Jackson erzählt: Griechische Göttersagen / Percy Jackson erzählt: Griechische Heldensagen, 2 Bde..";"Carlsen";"978-3-551-31761-2";"KT";"16.00 EUR";"";"35.0";"1020 g";" CMB;2019;1136 S.;195 mm;In Kassette;von 12-99 J.;";"260";""
"Reynolds, Jason";"Sunny.";"DTV";"978-3-423-64046-6";"GEB";"14.95 EUR";"";"30.0";"346 g";" 2019;192 S.;210 mm;ab 12 J.;";"250";"Der Sound der Welt"
"Rowell, Rainbow";"Fangirl.";"DTV";"978-3-423-62702-3";"KT";"10.95 EUR";"21";"30.0";"";" 2019;464 S.;210 mm;ab 13 J.;";"250";""
"Lewis, Gill";"Gorilla in Gefahr.";"DTV";"978-3-423-76237-3";"GEB";"14.95 EUR";"21";"30.0";"";" 2019;320 S.;210 mm;ab 11 J.;";"250";""
"Reinhardt, Dirk";"Über die Berge und über das Meer.";"Gerstenberg Verlag";"978-3-8369-5676-5";"GEB";"14.95 EUR";"";"35.0";"520 g";" 2019;272 S.;220.0 mm;ab 12 J.;";"250";"Roman"
"Clima, Gabriele";"Der Sonne nach.";"Hanser";"978-3-446-26260-7";"KT";"14.00 EUR";"21";"35.0";"";" 2019;192 S.;ab 12 J.;";"250";""
