"Badstuber, Martina";"Ich kenn ein Land, das du nicht kennst ..., 1 Audio-CD.";"Audiolino";"978-3-86737-318-0";"CD";"12.90 EUR";"21";"30.0";"";" 2019;1 S.;JEWELCASE;ab 6 J.;";"250";"CD Standard Audio Format, Lesung"
"Kriegel, Volker";"Olaf, der Elch, Olaf taucht ab, Olaf hebt ab, 3 Audio-CDs.";"Bastei Lübbe";"978-3-7857-5983-7";"CD";"10.00 EUR";"21";"35.0";"";" 1. Aufl. 2019;2019;Spieldauer 132 Min;Für Kinder u. Jugendliche;";"250";"Alle Olaf-Geschichten in einer Box. . , Lesung"
"Städing, Sabine";"Petronella Apfelmus - Die Hörspielreihe, 1 Audio-CD.";"Bastei Lübbe";"978-3-7857-5968-4";"CD";"9.90 EUR";"";"35.0";"65 g";" 1. Aufl. 2019;2019;Spieldauer 79 Min, 15 Tracks;ab 8 J.;";"250";"Teil 1 - Verhext und festgeklebt. , Hörspiel"
"Städing, Sabine";"Petronella Apfelmus - Die Hörspielreihe, 1 Audio-CD.";"Bastei Lübbe";"978-3-7857-5969-1";"CD";"9.90 EUR";"21";"35.0";"";" 1. Aufl. 2019;2019;Spieldauer 75 Min;ab 8 J.;";"250";"Teil 2 - Zauberschlaf und Knallfroschchaos. , Hörspiel"
"Kulot, Daniela";"Reim dich nett ins Bett und weitere Reimgeschichten, 1 Audio-CD.";"Der Audio Verlag, DAV";"978-3-7424-1041-2";"CD";"9.99 EUR";"21";"30.0";"";" 2019;von 0-3 J.;";"210";"Hörspiel (1 CD), Hörspiel"
"Inden, Charlotte";"Bei mir zu Hause wohnt ein Tiger, 1 Audio-CD.";"Der Audio Verlag, DAV";"978-3-7424-0940-9";"CD";"9.99 EUR";"21";"30.0";"";" 2019;ab 3 J.;";"230";"Lesung mit Musik mit Jochen Bendel (1 CD), Lesung"
"Krüss, James";"Henriette Bimmelbahn und ihre Freunde, 1 Audio-CD.";"Der Audio Verlag, DAV";"978-3-7424-0939-3";"CD";"9.99 EUR";"21";"30.0";"";" 2019;ab 4 J.;";"210";"Szenische Lesung mit Musik mit Uwe Friedrichsen und Angelika Mann (1 CD), Lesung"
"Williams, Margery";"Der kleine Kuschelhase - Oder: Wie ein Spielzeug lebendig wird, 1 Audio-CD.";"Der Audio Verlag, DAV";"978-3-7424-0887-7";"CD";"9.99 EUR";"";"30.0";"57 g";" 2019;139 x 125 mm;ab 5 J.;";"240";"Ungekürzte Lesung mit Musik mit Rainer Strecker (1 CD), Lesung"
"Muszynski, Eva";"Trudel Gedudel purzelt vom Zaun, 1 Audio-CD.";"Der Audio Verlag, DAV";"978-3-7424-1033-7";"CD";"7.99 EUR";"21";"30.0";"";" 2019;ab 5 J.;";"240";"Ungekürzte szenische Lesung mit Musik mit Stefan Kaminski (1 CD), Lesung"
"Preußler, Otfried";"Die große Preußler-Hörspiel-Box, 6 Audio-CDs.";"Der Audio Verlag, DAV";"978-3-7424-1007-8";"CD";"24.99 EUR";"";"30.0";"298 g";" 2019;148 x 128 mm;ab 5 J.;";"240";"Die kleine Hexe - Der kleine Wassermann - Das kleine Gespenst. Hörspiele (6 CD), Hörspiel"
"Burnett, Frances H.";"Prinzessin Sara, 1 Audio-CD.";"Der Audio Verlag, DAV";"978-3-7424-0899-0";"CD";"9.99 EUR";"21";"30.0";"";" 2019;ab 8 J.;";"250";"Hörspiel mit Ingo Hülsmann, Jürgen Holtz u.v.a. (1 CD), Hörspiel"
"Schaap, Annet";"Emilia und der Junge aus dem Meer, 1 MP3-CD.";"Der Audio Verlag, DAV";"978-3-7424-0942-3";"CD";"16.99 EUR";"";"30.0";"74 g";" 2019;144 x 137 mm;ab 10 J.;";"250";"Ungekürzte Lesung mit Sascha Icks (1 mp3-CD), Lesung"
"Rassmus, Jens";"Klassik fürs Kinderzimmer. Zum Einschlafen und Träumen, 1 Audio-CD.";"Igel-Records";"4013077994994";"CD";"13.00 EUR";"21";"30.0";"";" 2019;ab 3 J.;";"230";"CD Standard Audio Format, Musikdarbietung/Musical/Oper"
"Strid, Jakob Martin";"Die unglaubliche Geschichte von der Riesenbirne, 1 Audio-CD.";"Igel-Records";"978-3-7313-1220-8";"CD";"13.00 EUR";"";"30.0";"84 g";" 2019;144 x 128 mm;ab 4 J.;";"210";"CD Standard Audio Format, Lesung"
"Inkiow, Dimiter";"Die große Helden-Hörbuchbox, 6 Audio-CDs.";"Igel-Records";"978-3-7313-1217-8";"CD";"30.00 EUR";"";"30.0";"240 g";" 2019;133 x 130 mm;ab 7 J.;";"260";"CD Standard Audio Format, Lesung"
"Parvela, Timo";"Ella, Die große Hörbuchbox, 6 Audio-CDs.";"Igel-Records";"978-3-7313-1043-3";"CD";"25.00 EUR";"12";"30.0";"226 g";" 143 x 125 mm;ab 6 J.;";"250";"Ella in der Schule; Ella in der zweiten Klasse; Ella auf Klassenfahrt"
"Carle, Eric";"Mein kleines Hörbuch der Ruhe, 1 Audio-CD.";"Jumbo Neue Medien";"978-3-8337-4023-7";"CD";"10.00 EUR";"21";"30.0";"";" 2019;von 0-6 J.;";"210";"Die kleine Raupe Nimmersatt & weitere Geschichten, Lesung"
"McKee, David";"Elmar und das große Kitzeln & weitere Geschichten, 1 Audio-CD.";"Jumbo Neue Medien";"978-3-8337-4026-8";"CD";"13.00 EUR";"";"30.0";"90 g";" 2019;142 x 124 mm;von 0-6 J.;";"210";"CD Standard Audio Format, Lesung"
"Schmachtl, Andreas H.";"Snöfrid aus dem Wiesental - Die ganz und gar heldenhafte Suche nach den drei Siegeln, 3 Audio-CDs.";"Jumbo Neue Medien";"978-3-8337-3967-5";"CD";"17.00 EUR";"";"30.0";"196 g";" 2019;144 x 126 mm;ab 4 J.;";"230";"Lesung"
"Boie, Kirsten";"Vom Fuchs, der ein Reh sein wollte, 3 Audio-CDs.";"Jumbo Neue Medien";"978-3-8337-3977-4";"CD";"15.00 EUR";"21";"30.0";"178 g";" 2019;142 x 124 mm;Erstlesealter;";"240";"CD Standard Audio Format, Lesung"
"Boie, Kirsten";"Thabo. Detektiv & Gentleman - Die Krokodil-Spur, 1 Audio-CD.";"Jumbo Neue Medien";"978-3-8337-3991-0";"CD";"13.00 EUR";"";"30.0";"88 g";" 2019;142 x 126 mm;von 5-11 J.;";"250";"CD Standard Audio Format, Hörspiel"
"Jones, Lena";"Agatha Oddly - Das Verbrechen wartet nicht, 3 Audio-CDs.";"Jumbo Neue Medien";"978-3-8337-3966-8";"CD";"15.00 EUR";"";"30.0";"176 g";" 2019;142 x 124 mm;von 5-11 J.;";"250";"CD Standard Audio Format, Lesung"
"Weber, Susanne";"Die Eule mit der Beule und ihre Freunde Liederalbum, 1 Audio-CD.";"Oetinger Media";"4260173788501";"CD";"12.00 EUR";"";"30.0";"104 g";" 2019;142 x 124 mm;ab 2 J.;";"230";"CD Standard Audio Format, Musikdarbietung/Musical/Oper"
