"Merkel, Daniela";"Was gehört zusammen? - Berufe (Kinderspiel).";"Magellan";"4280000943873";"SPL";"12.00 EUR";"15";"30.0";"608 g";" 2019;20 cm;In Spielebox;ab 3 J.;";"293";"Mein Maxi-Memo"
"";"ErlebnisWelt Natur - Giraffe.";"360 Grad";"978-3-96185-024-2";"GEB";"9.99 EUR";"15";"35.0";"523 g";" 2017;240 S.;25 cm;";"490";"Notiz- & Tagebuch"
"Kessel, Carola von";"50 Tiere im Zoo, 50 Ktn..";"moses. Verlag";"4033477097910";"CRD";"7.95 EUR";"";"35.0";"210 g";" 2019;133 x 940 x 230 mm;ab 6 J.;";"294";"erkennen & bestimmen"
"Kessel, Carola von";"50 Tierspuren entdecken & zuordnen, 50 Ktn..";"moses. Verlag";"4033477097248";"NON";"7.95 EUR";"";"34.9";"233 g";" 2015;m. farb. Illustr.;132 x 94 x 24 mm;In Schachtel;ab 6 J.;";"294";""
"";"Waldtiere Quartett (Kartenspiel).";"moses. Verlag";"4033477096722";"SPL";"5.95 EUR";"";"35.0";"106 g";" 2010;Inhalt: 36 Ktn.;11 x 7,5 x 3 cm;In Metall-Box;ab 7 J.;";"293";"Spielen, Trumpfen, Staunen!"
"Waldron, Hannah";"Magische Geschichten-Würfel: Piraten.";"moses. Verlag";"4033477902429";"NON";"11.95 EUR";"";"35.0";"134 g";" 2016;90 x 90 x 35 mm;In Schachtel;ab 6 J.;";"293";"9 Holzwürfel zum Geschichten erzählen"
"Carle, Eric";"Die kleine Raupe Nimmersatt - Mein kunterbuntes Knetset.";"Gerstenberg Verlag";"4250915932323";"NON";"7.95 EUR";"";"35.0";"249 g";" 2019;160.0 mm;10 Stangen, 6 Farben, im Karton;ab 3 J.;";"292";""
"Hall, Rose";"Mein Reiseabenteuer-Tagebuch.";"Usborne Verlag";"978-1-78941-053-2";"NON";"9.95 EUR";"21";"30.0";"282 g";" 2019;96 S.;210 mm;ab 7 J.;";"293";"Schreiben, Malen, Neues entdecken"
"Gheorghe, Mihai";"Geht raus, spielen! (Spielesammlung).";"Boje Verlag";"978-3-414-82531-5";"SPL";"19.90 EUR";"21";"35.0";"";" 1. Aufl.;2019;50 Ktn.;In Box;ab 5 J.;";"293";"50 Spiele für Draußenkinder"
"Carle, Eric";"Die kleine Raupe Nimmersatt - Magnetlesezeichen.";"Gerstenberg Verlag";"4250915930404";"NON";"29.50 EUR";"";"35.0";"162 g";" 2014;9,5 x 15 x 2,5 cm;Für Kinder u. Jugendliche;";"295";""
