AutorIn;Titel;Untertitel;Verlag;Mitwirkende;Preis;Erscheinungsjahr;ISBN;Altersempfehlung;Inhaltsbeschreibung;Informationen;Einband;Seitenzahl;Abmessungen;Cover;"Cover DNB";"Cover KNV";Kategorie
"Maikamp, Anna";"Sie sagt Ja. Er sagt Ja. Alles klar - Ehepaar!";"Kinder über Liebe, Hochzeit und die Ehe";"Baumhaus Medien";"Herausgegeben von Maikamp, Anna";"8,00 €";2019;978-3-8339-4253-2;"von 3 bis 99 Jahren";"Was haben Kinder über die großen Themen wie Liebe, Hochzeit und Ehe zu sagen? Eine ganze Menge! Denn auch sie wissen, dass nicht nur Herz, sondern auch ein bisschen Arbeit dazugehört. Neben zahlreichen Weisheiten haben sie auch hilfreiche Ratschläge auf Lager:. ""Damit die Liebe lange hält, muss man gutes Essen kochen und Kerzen anzünden."". ""Liebe ist wie warmer Apfelstrudel."". ""Am Hochzeitstag geht Papa mit Rosen und Pralinen bewaffnet auf Mama los.""";Erstauflage.;gebunden;48;"16,1cm x 16,6cm";sie-sagt-ja-er-sagt-ja-alles-klar-ehepaar.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8339-4253-2;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74196868&kennwort=NKRHOFKCRPKNHN&variante=zoom&rang=01;Besonderes
"Engler, Michael";"Wie sagt man eigentlich: Ich liebe dich";;"Boje Verlag";"Illustration: Matos, Martina";"12,90 €";2019;978-3-414-82529-2;"ab 4 Jahren";"Ein zauberhaftes Bilderbuch für alle großen und kleinen Verliebten. Roberto ist verliebt, zum allerersten Mal! Aber wie soll er Isabella nur sagen, was er ihr so gerne sagen möchte? Soll er es auf Zettelchen schreiben? Vom höchsten Turm herabrufen? Oder gleich auf den Mond malen?Den ganzen Sommer über sammelt Roberto Schmetterlinge, denn Isabella liebt sie über alles. Und als bunte Taubenschwänzchen und Aurorafalter durch die Luft gleiten, flattern plötzlich auch drei schlichte Worte aus Robertos Mund: ""Ich liebe dich.""Ein Buch über das schönste Gefühl der Welt - zart und poetisch illustriert";Erstauflage.;gebunden;32;"21,2cm x 24,3cm";wie-sagt-man-eigentlich-ich-liebe-dich.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-414-82529-2;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74196605&kennwort=MXCKKREJNQFIKP&variante=zoom&rang=01;Besonderes
"Jakobs, Günther";"Das ist für dich";;Carlsen;;"13,00 €";2019;978-3-551-17134-4;"von 3 bis 7 Jahren";"Schenken ist so schön! Beschenkt werden auch! Ein Geschenk macht neugierig, überrascht und erfreut. Und was passiert, wenn man wunschlos ist? Dann schenkt man es irgendwann weiter. So halten es auch die vielen Tiere in diesem umfangreichen Bilderbuch. Dabei entdeckt jedes Tier in seinem Geschenk etwas anderes und nutzt es anders. Für den Fuchs ist es eine Salatschüssel, für den Hasen ein Stuhl, für den Igel ein Boot, für die Katze ein Hut ... So entwickelt sich eine lange spannende Kette. Und bei jeder Weitergabe fragt sich der Leser: Was wird dieses Tier wohl mit seinem Geschenk machen?Ein stabiles und unterhaltsames Bilderbuch, das zum Mitraten und allerersten Philosophieren anregt. Ein intelligenter Blätterspaß wie das Spiel ""Stille Post"" - nur in Bildern.";"Farbig illustriert, Flexpappbilderbuch.";Pappband;82;"14cm x 14cm";das-ist-fuer-dich.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-17134-4;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75259572&kennwort=RHNSGMQDJWCLME&variante=zoom&rang=01;Besonderes
"Bile, Amina; Srour, Sofia N.; Herz, Nancy";Schamlos;;"Gabriel Verlag";"Übersetzung: Dörries, Maike. Illustration: Røise, Esra";"15,00 €";2019;978-3-522-30521-1;"ab 12 Jahren";"Für Mädchen ab 12 Jahren. Und für alle Interessierten und Toleranten, die sich mit anderen Kulturen beschäftigen wollen.. Drei junge Frauen - Muslimas, Bloggerinnen, Feministinnen - beziehen Position: Wie fühlt es sich an, ständig zwischen den Erwartungen ihrer Familien, ihrer kulturellen Identität und ihrem Selbstverständnis, als Jugendliche in einem westlichen Land zu leben, hin- und hergerissen zu sein? Sie haben Diskussionen angeregt, Tabu-Themen öffentlich gemacht und zahlreiche sehr persönliche Geschichten gesammelt. Dabei ist ein bemerkenswertes Buch entstanden, ein mutiges Buch.. Dieses Buch ist ein Plädoyer für eine multikulturelle Gesellschaft!";"Mit Umschlagbanderole.";gebunden;168;"15,8cm x 21,8cm";schamlos.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-522-30521-1;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73484424&kennwort=MXCKKREJNQFIKP&variante=zoom&rang=01;Besonderes
"Torseter, Øyvind";"Hans sticht in See";"Die Irrfahrt und Heimkehr eines mittellosen Burschen auf der Suche nach dem Glück";"Gerstenberg Verlag";"Übersetzung: Dörries, Maike";"26,00 €";2019;978-3-8369-5686-4;"Keine Altersangabe";"Hans sticht in See. Aus dem gleichen Grund wie schon so viele Landratten vor ihm: Armut zwingt ihn zu einer riskanten Seefahrt mit einem exzentrischen Abenteurer auf der Jagd nach dem Riesenauge eines Seeungeheuers. Wir begleiten Hans auf einer Reise voller Gefahren und nehmen teil an den Gefühlsstürmen, die er durchlebt - weit weg von zu Hause, in Gesellschaft eines launischen Kapitäns und mit großer Zuneigung für eine blinde Passagierin, die er auf hoher See entdeckt.Torseters witzig-schräge Graphic Novel, halb Komödie, halb Drama, spielt parodistisch mit Versatzstücken aus Märchen und Mythologie.";"Durchgehend farbig.";gebunden;160;"21,8cm x 26,9cm";hans-sticht-in-see.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8369-5686-4;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74901557&kennwort=PBILQEHMPBGSNF&variante=zoom&rang=01;Besonderes
"Favilli, Elena; Cavallo, Francesca";"Good Night Stories for Rebel Girls - 50 Postkarten";;Hanser;"Übersetzung: Bargmann, Kai";"16,00 €";2019;978-3-446-26233-1;"ab 12 Jahren";"Die schönsten Bilder des Bestsellers ""Good Night Stories for Rebel Girls"" als Postkarten: 50 Porträts zum Verschicken und Verschenken";"In einer Box.";Nonbook;;"11,1cm x 16,9cm";good-night-stories-for-rebel-girls-50-postkarten.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-446-26233-1;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73544458&kennwort=OEELODHKQCEJVA&variante=zoom&rang=01;Besonderes
"Port, Moni";"Wie nennt man ein Kaninchen im Fitnessstudio?";"Neue Rätselwitze und Quatschbilder";"Klett Kinderbuch Verlag";"Illustration: Waechter, Philip";"10,00 €";2019;978-3-95470-205-3;"ab 5 Jahren";"Wie nennt man .... ... ein Kaninchen im Fitnessstudio?... Mobbing im Weltall?... die Fußballschuhe von Jesus?. Nach dem großen Erfolg von ""Was liegt am Strand ...?"" und ""Was sitzt im Wald ...?"" hat Moni Port sich wieder auf die Suche gemacht nach urkomischen Fragewitzen. Aber diese haben's ganz besonders in sich! Umso größer dann Lacher und Aha-Effekt, wenn man die Antwort liest. Und Philip Waechters poetisch-absurde Bilder setzen die Fragen augenzwinkernd in Szene.";;gebunden;48;"15,6cm x 18,6cm";wie-nennt-man-ein-kaninchen-im-fitnessstudio.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-95470-205-3;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75074356&kennwort=MXCKKREJNQGIKP&variante=zoom&rang=01;Besonderes
"Klein, Horst; Port, Moni; Schmitz-Kuhl, Martin";"Alles Quatsch!";"Die lustigsten Rätselreime, Zungenbrecher und Quatschbilder von A bis Z";"Klett Kinderbuch Verlag";"Illustration: Waechter, Philip; Kuhl, Anke; Mühle, Jörg";"10,00 €";2019;978-3-95470-208-4;"ab 5 Jahren";"Dieses kleine dicke Büchlein ist vollgestopft mit dem besten Quatsch aus zehn Jahren Klett Kinderbuch. Hier finden Sie die witzigsten Seiten aus ""Alle Kinder"", ""Haltet den Die!"", ""K(l)eine Bewegung, Dieb!"", ""Was liegt am Strand und redet undeutlich"", ""Was sitzt im Wald und winkt"" und dem ""Flugplatzspatz"". Eine einmalige Sonderausgabe zum Geburtstagspreis von EUR 10,00.";Sonderausgabe.;gebunden;64;"15,6cm x 18,6cm";alles-quatsch.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-95470-208-4;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75074312&kennwort=HILNSDEITNEDJL&variante=zoom&rang=01;Besonderes
"Steingässer, Jana";"Paulas Reise";"oder Wie ein Huhn uns zu Klimaschützern machte";Oetinger;"Illustration: Steingässer, Jens";"17,00 €";2019;978-3-7891-0965-2;"ab 10 Jahren";"Einmal um die Welt: Eine Familie folgt den Spuren des Klimawandels.Das Zwerghuhn der zwölfjährigen Paula legt mitten im Dezember ein Ei. Kein Wunder, dieser Winter fühlt sich nämlich eher wie ein Frühling an. Aber warum? Um das zu verstehen, macht Paula mit ihren Geschwistern und ihren Eltern eine unglaubliche Weltreise auf den Spuren des Klimawandels. Sie wollen herausfinden, wie Menschen, Tiere und Pflanzen damit umgehen, wenn ihr Lebensraum durch den Klimawandel aus den Fugen gerät. Und vielleicht können sie sogar lernen, wie sie selbst die Welt verändern können.Jana und Jens Steingässer gelingt es, dem abstrakten Thema Klimawandel auf einer authentischen und persönlichen Ebene zu begegnen und geben viele Tipps wie man ihm im Familien-Alltag begegnen kann. Mit mehr als 150 faszinierenden Naturaufnahmen aus aller Welt.Dieses Buch ist etwas ganz Besonderes, denn es wurde mit dem C2C-Prinzip hergestellt. Das bedeutet, dass es vollständig biologisch abbaubar ist, ohne giftige Rückstände zu hinterlassen. So machen wir Bücher für die Natur.";"150 farbige Abbildungen 150 Illustrationen.";gebunden;144;"21,7cm x 28,8cm";paulas-reise.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7891-0965-2;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73417678&kennwort=SKREHNKGPAIMSH&variante=zoom&rang=01;Besonderes
"Erlbruch, Wolf";"Wolf Erlbruchs Postkartenedition Küssen";;"Peter Hammer Verlag";"Illustration: Erlbruch, Wolf";"10,00 €";2019;4260192780920;"Keine Altersangabe";"Von den vielen herzerwärmenden Motiven aus Wolf Erlbruchs Kinderzimmerkalendern gehören die Bilder zum Thema Küssen zu den beliebtesten. Nun gibt es sie in einem Postkartenbuch - ein feines Geschenk in Schweizer Broschur!";"Durchgehend farbig illustriert.";kartoniert;13;"10,7cm x 14,7cm";wolf-erlbruchs-postkartenedition-kuessen.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=4260192780920;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75005670&kennwort=LLMQLFMLRDHKMR&variante=zoom&rang=01;Besonderes
