AutorIn;Titel;Untertitel;Verlag;Mitwirkende;Preis;Erscheinungsjahr;ISBN;Altersempfehlung;Inhaltsbeschreibung;Informationen;Einband;Seitenzahl;Abmessungen;Cover;"Cover DNB";"Cover KNV";Kategorie
"Riordan, Rick";"Apollo - Das brennende Labyrinth";;Carlsen;"Übersetzung: Haefs, Gabriele";"18,99 €";2019;978-3-551-55690-5;"von 12 bis 99 Jahren";"Lester Papadopoulos, auch bekannt als ehemaliger Gott Apollo, hat kaum Zeit zum Durchatmen, da steckt er schon wieder bis zum Hals im nächsten Abenteuer: Er muss hinunter in das magische Labyrinth des Dädalus und dort ein weiteres uraltes Orakel suchen. Zum Glück hat er seine Freundin Meg und den unerschrockenen Satyr Grover an seiner Seite. Zusammen müssen sie nicht nur vertrackte Worträtsel lösen, sondern sich auch weit größeren - und heißeren - Gefahren stellen .... Alle Bände der Apollo-Serie:Die Abenteuer des Apollo - Das verborgene Orakel (Band 1)Die Abenteuer des Apollo - Die dunkle Prophezeiung (Band 2)Die Abenteuer des Apollo - Das brennende Labyrinth (Band 3)Zwei weitere Bände folgen";;gebunden;464;"15,8cm x 22,2cm";apollo-das-brennende-labyrinth.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-55690-5;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75259491&kennwort=VLQDJWCLMEIODJ&variante=zoom&rang=01;Bücher-ab-12
"Bach, Tamara";"Wörter mit L";;Carlsen;;"11,00 €";2019;978-3-551-55386-7;"von 11 bis 15 Jahren";"Auf einmal sind alle verliebt. Paulines beste Freundin Natascha und die blöde Leonie auch. Angeblich sogar Paulines Mutter. Aber das kann Pauline sich nun wirklich nicht vorstellen. Trotzdem benehmen sich plötzlich alle so komisch und streiten sich um nichts und wieder nichts, fast als würden sie nicht mehr dieselbe Sprache sprechen. Aber zum Glück sind da Lukas und sein dreibeiniger Hund. Vielleicht wissen die noch, wie man einfach nur einen Schneemann baut.. Ein Buch zum Sich-drin-wiederfinden - ein lupenreines Lieblingsbuch!";;gebunden;176;"15,2cm x 21cm";woerter-mit-l.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-55386-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75262422&kennwort=MMBNIQAHKPDIKO&variante=zoom&rang=01;Bücher-ab-12
"Riordan, Rick";"Magnus Chase - Der Hammer des Thor";;Carlsen;"Übersetzung: Haefs, Gabriele";"14,99 €";2019;978-3-551-31795-7;"von 12 bis 99 Jahren";"Der Donnergott Thor hat mal wieder seinen Hammer verloren - die stärkste Waffe in allen Neun Welten! Und diesmal ist er zu allem Übel in Feindeshände geraten. Magnus und seine Freunde müssen den Hammer so schnell wie möglich zurückholen, denn ohne ihn ist die Welt der Sterblichen einem Angriff der Riesen wehrlos ausgeliefert. Der Weltuntergang Ragnarök droht! Als Verbündeten braucht Magnus ausgerechnet den gerissenen Gott Loki - doch der Preis für seine Hilfe ist hoch .... Alle Bände der Magnus-Chase-Serie:. Magnus Chase - Das Schwert des SommersMagnus Chase - Der Hammer des ThorMagnus Chase - Das Schiff der Toten";;kartoniert;512;;magnus-chase-der-hammer-des-thor.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-31795-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75259618&kennwort=XYFPBKPGMTHNBI&variante=zoom&rang=01;Bücher-ab-12
"Beauvais, Clémentine";"Die Königinnen der Würstchen";;Carlsen;"Übersetzung: Weppen, Annette von der";"7,99 €";2019;978-3-551-31798-8;"von 14 bis 99 Jahren";"Mireille, Astrid und Hakima sind auf Facebook von ihren Mitschülern zur Wurst des Jahres in Gold, Silber und Bronze gewählt worden - der Preis für die hässlichsten Mädchen. Doch die drei beschließen sich nicht unterkriegen zu lassen. Zusammen planen sie einen Road-Trip per Fahrrad nach Paris. Ziel: die große Party im Elysée-Palast am Nationalfeiertag. Finanzierung: Unterwegsverkauf von Würstchen. Ein chaotische, lustige und herzzerreißende Reise beginnt. Und auf der Party hat jede der drei ein ganz eigenes Anliegen .... Ausgezeichnet mit dem LUCHS und nominiert für den Buxtehuder Bullen und den Prix des lycéens allemands 2017";;kartoniert;288;;die-koeniginnen-der-wuerstchen.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-31798-8;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75259701&kennwort=JLMQLFMLRDHKOQ&variante=zoom&rang=01;Bücher-ab-12
"Riordan, Rick";"Percy Jackson erzählt: Griechische Göttersagen / Percy Jackson erzählt: Griechische Heldensagen, 2 Bde.";;Carlsen;"Übersetzung: Haefs, Gabriele";"16,00 €";2019;978-3-551-31761-2;"von 12 bis 99 Jahren";"Wer könnte die griechischen Göttersagen besser nacherzählen als der Sohn des Poseidon höchstpersönlich? Percy Jackson haucht den alten Klassikern turbulentes Leben ein und gibt ganz neue Einblicke in den Alltag auf dem Olymp. Mit einem Augenzwinkern berichtet er unter anderem davon, wie Athene ein Taschentuch adoptiert, Persephone ihren Stalker heiratet und Zeus sie alle umbringt. Ein urkomisches Leseerlebnis für jeden, der Spaß an griechischer Mythologie hat - und für alle anderen garantiert auch!. Und das ist noch nicht alles:. Warum braucht Perseus eine Umarmung? Was hat Herkules angestellt? Und wer schlug Medusa den Kopf ab? Noch einmal öffnet Percy Jackson die Büchse der Pandora. Und dieses Mal bringt er die tragischen Ereignisse, ruhmreichen Taten und kühnen Abenteuer der griechischen Helden auf den Tisch. In bester Percy-Manier erzählt er urkomisch und kenntnisreich von Herkules, Orpheus und Co. und lässt dabei keine Frage unbeantwortet. Ein waghalsig-komisches Leseabenteuer!. Dieser Taschenbuchschuber enthält: ""Percy Jackson erzählt Griechische Göttersagen"" und ""Percy Jackson erzählt Griechische Heldensagen"".. Alle Bände der Percy-Jackson-Serie:Percy Jackson - Diebe im Olymp (Band 1)Percy Jackson - Im Bann des Zyklopen (Band 2)Percy Jackson - Der Fluch des Titanen (Band 3)Percy Jackson - Die Schlacht um das Labyrinth (Band 4)Percy Jackson - Die letzte Göttin (Band 5)Percy Jackson - Auf Monsterjagd mit den Geschwistern Kane (Sonderband). Percy Jackson erzählt: Griechische GöttersagenPercy Jackson erzählt: Griechische Heldensagen. Und dann geht es weiter mit den ""Helden des Olymp""!. ";"CMB, in einer Kassette.";kartoniert;1136;"12,6cm x 19,4cm";percy-jackson-erzaehlt-griechische-goettersagen-percy-jackson-erzaehlt-griechische-heldensagen-2-bde.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-31761-2;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=72978471&kennwort=BKQEILBOKTEMQG&variante=zoom&rang=01;Bücher-ab-12
"Reynolds, Jason";Sunny;"Der Sound der Welt";DTV;"Übersetzung: Hansen-Schmidt, Anja";"14,95 €";2019;978-3-423-64046-6;"ab 12 Jahren";"Rhythm is it!. Schon lange vor seiner Geburt war klar: Sunny würde Sunny heißen, denn er sollte ein fröhliches Kind werden. Und tatsächlich ist aus Sunny ein Jugendlicher mit sonnigem Gemüt geworden, der immer ein gutes Wort für seine Mannschaftskameraden übrig hat. Gleichzeitig kam alles ganz anders im Leben von Sunny, als seine Eltern das geplant hatten. Denn bei seiner Geburt stirbt die Mutter. Der Vater kommt nie über den Schmerz hinweg. Sunny wächst in einem reichen Haushalt auf, aber wirkliche Wärme lernt er nicht kennen. Sein Vater ist es auch, der ihn beim Lauftraining anmeldet. Langstreckenläufer zu sein, so glaubt er, sei Sunny seiner toten Mutter schuldig, die unzählige Marathonläufe gewonnen hat. In ihre Fußstapfen soll er später treten. Aber Sunny liebt Musik, Tanz und Rhythmus, Beats und Moves. Das Rennen hasst er. Tanzen ist sein Traum, und es ist die Zeit gekommen, das auch seinem übermächtigen Vater zu zeigen.";;gebunden;192;"14,5cm x 21,7cm";sunny.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-423-64046-6;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74865232&kennwort=MXCKKREJNSFIKP&variante=zoom&rang=01;Bücher-ab-12
"Rowell, Rainbow";Fangirl;;DTV;"Übersetzung: Jakobeit, Brigitte";"10,95 €";2019;978-3-423-62702-3;"ab 13 Jahren";"Jetzt im Taschenbuch!. Die Zwillinge Cath und Wren sind unzertrennlich, bis Wren beschließt, dass ihr Jungen und Partys wichtiger sind als das gemeinsame College-Zimmer. Ein harter Schlag für Cath, die sich immer weiter in ihre Traumwelt zurückzieht: Beim Lesen und Schreiben von Fanfiction lebt sie ihre Vorstellungen von Liebesbeziehungen aus. Mit Erfolg - Tausende Leser folgen ihr. Doch als Cath dann Nick und Levi näher kennenlernt, muss sie sich fragen, ob sie nicht langsam bereit ist, ihr Herz echten Menschen zu öffnen und über Erfahrungen zu schreiben, die größer sind als ihre Fantasien.";;kartoniert;464;;fangirl.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-423-62702-3;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74865140&kennwort=NOKFNNEHMQFILN&variante=zoom&rang=01;Bücher-ab-12
"Lewis, Gill";"Gorilla in Gefahr";;DTV;"Übersetzung: Seuß, Siggi";"14,95 €";2019;978-3-423-76237-3;"ab 11 Jahren";"Ein neues spannendes Tierabenteuer aus der Feder von Gill Lewis. Seit sie aus ihrem Dorf entführt und im Gesicht schwer verletzt wurde, lebt die 15-jährige Imara im Kongo bei einer Truppe von Rebellen. Genau wie der Anführer der Rebellen, Black Mamba, ist auch Imara selbst davon überzeugt, dass ein Dämon in sie hineingeschlüpft ist. Dieser Dämon spricht mir ihr und gibt ihr Anweisungen. Er sorgt dafür, dass sie überlebt und dass sie von Black Mamba als eine Art Beraterin gehört wird. Doch als die Rebellen ein Gorillajunges stehlen, um es zu verkaufen, wird Imara so etwas wie dessen Ersatzmutter. Und damit ändert sich alles, denn durch die enge Bindung an das Tier erwacht Imaras früheres Ich und sie will sich mit ihrem Schicksal als Dienerin der Rebellen nicht länger abfinden.";;gebunden;320;;gorilla-in-gefahr.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-423-76237-3;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74865510&kennwort=NPHHORGKPSFHMY&variante=zoom&rang=01;Bücher-ab-12
"Reinhardt, Dirk";"Über die Berge und über das Meer";Roman;"Gerstenberg Verlag";;"14,95 €";2019;978-3-8369-5676-5;"ab 12 Jahren";"Jedes Jahr im Frühling kommen die Nomaden auf dem Weg zu ihrem Sommerlager in den afghanischen Bergen in Sorayas Dorf vorbei. Mit ihnen kommt Tarek, der so wunderbare Geschichten zu erzählen weiß. Doch dieses Jahr wartet Soraya vergeblich auf ihn. Als siebte Tochter ist sie einem alten Brauch zufolge als Junge aufgewachsen, konnte sich frei bewegen und zur Schule gehen. Mit vierzehn Jahren hat sie jedoch das Alter erreicht, wo sie schon längst wieder als Mädchen leben sollte, in der Stille des Hauses. Die Taliban drängen unmissverständlich darauf. Auch Tarek haben sie bedroht. Sie erwarten, dass der erfahrene Spurenleser für sie arbeitet. Tarek und Soraya sehen keinen anderen Ausweg: Unabhängig voneinander machen sie sich auf in die Fremde. In den Bergen treffen sie unverho aufeinander.Ein atmosphärischer Roman von Abschied und Aufbruch, poetisch und packend zugleich.";;gebunden;272;"14,1cm x 22,1cm";ueber-die-berge-und-ueber-das-meer.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8369-5676-5;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74901502&kennwort=LLNPAEPJQPFHLO&variante=zoom&rang=01;Bücher-ab-12
"Clima, Gabriele";"Der Sonne nach";;Hanser;"Übersetzung: Neeb, Barbara; Schmidt, Katharina";"14,00 €";2019;978-3-446-26260-7;"ab 12 Jahren";"Dario ist 16 und voller Wut. Einer, dem alles egal ist, vor allem, seitdem der Vater die Familie verlassen hat. Nachdem Dario in der Schule randaliert hat, wird er zu gemeinnütziger Arbeit verdonnert. Er soll sich um Andy kümmern, der im Rollstuhl sitzt und sich kaum mitteilen kann. Dario hat seine eigenen Vorstellungen von Fürsorge und nimmt Andy kurzerhand mit auf die Suche nach seinem Vater. Es wird eine abenteuerliche Reise, immer der Sonne nach ans Meer. Dario lernt Andys feine Signale zu lesen und diesen ""Halbidioten im Rolli"" mit anderen Augen zu sehen. Vor allem aber erkennt er, dass nicht die anderen für seine Wut verantwortlich sind. Er hat durchaus die Wahl, welchen Weg er gehen will.";;kartoniert;192;"14,1cm x 21,6cm";der-sonne-nach.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-446-26260-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73544493&kennwort=TKQEILBOKTEMQG&variante=zoom&rang=01;Bücher-ab-12
