AutorIn;Titel;Untertitel;Verlag;Mitwirkende;Preis;Erscheinungsjahr;ISBN;Altersempfehlung;Inhaltsbeschreibung;Informationen;Einband;Seitenzahl;Abmessungen;Cover;"Cover DNB";"Cover KNV";Kategorie
"Caruth, Tilda";"Ich hab dich lieb, kleiner Kuschelfuchs!, Stoffbilderbuch";;Arena;"Übersetzung: Richert, Katja. Illustration: Sheldon, Christine";"14,99 €";2019;978-3-401-71285-7;"ab 6 Monaten";"Ein zauberhaftes erstes Stoffbuch mit wunderschönen Reimen für die Kleinsten, das gleichzeitig ein kuscheliges Spielzeug ist. Lustige Knisterfolie in den Ohren und ein Quietscher im Fuchsbauch machen jede Menge Spaß beim Kuscheln, Spielen und Begreifen.";"Stoffbuch mit Knisterfolie in den Ohren, Fühlnoppen an einem Ohr, Quietscher und Satinband Untersch.";Nonbook;8;"23cm x 31cm";ich-hab-dich-lieb-kleiner-kuschelfuchs-stoffbilderbuch.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71285-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73664086&kennwort=WMPFSOHIQEKPEH&variante=zoom&rang=01;Für-die-Kleinsten
"Bergmann, Barbara; Grimm, Sandra; Jaekel, Franziska";"Alle Tiere sind schon da";"Kleine Vorlesegeschichten, Spiele und Lieder";Arena;"Illustration: Dulleck, Nina; Gruber, Denitza; Nagel, Tina";"9,99 €";2019;978-3-401-71389-2;"ab 2 Jahren";"Die schönsten Tiergeschichten sind in diesem hochwertigen Vorlesebuch für die Kleinsten versammelt. Wer erlebt hier kleine Abenteuer? Luna, die Katze, Lorelinda, das Ferkel, Entchen Elli und viele andere Lieblingstiere. ""Zusammen schafft man alles!"" heißt die Botschaft. Zuhören macht Spaß! Und bekannte Kinderlieder laden zum Mitsingen ein.";"Unzerreißbar mit verschiedenen Prägungen und UV-Lackierung.";Pappband;40;"20,3cm x 20,6cm";alle-tiere-sind-schon-da.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71389-2;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73138292&kennwort=KKNOCNHONDFJMP&variante=zoom&rang=01;Für-die-Kleinsten
"Sahm, Nina";"Magische Reise. Im Wald";;"Dorling Kindersley";"Illustration: Taylor, Nadia";"9,95 €";2019;978-3-8310-3702-5;"ab 2 Jahren";"Außergewöhnliches Kinderbuch ab 2 Jahren.Mit dem originellen, hochwertigen Pappbilderbuch wandern Kinder auf noch nie da gewesene Art im Reich der Waldtiere umher. Die verschieden großen Seiten in Baumkronenform sind übereinander gestaffelt angeordnet und lassen sich nach und nach aufblättern. Individuelle Glanz- und Strukturelemente sowie poetisch gereimte Texte machen die Seiten mit Panorama-Stanzung zu etwas ganz Besonderem. Mit witzigem Guckloch im Cover!. Zauberhaft illustriertes Bilderbuch zum super Preis! - Mit allen Sinnen begreifen.- Einmalig kreative Gestaltung.- Ausgefallene Illustrationen.- Kreative Strukturelemente.- Entzückende Texte..  Gehen Sie jetzt mit dem Nachwuchs auf eine magische Reise! Ein tolles Geschenkbuch für Kinder!";"Mit Glanz- und Strukturelementen, formgestanzten Seiten und farbigen Illustrationen, mit Guckloch im Cover, Glanz- und Strukturelementen und Panorama-Stanzung (als Fühlelemente).";Pappband;10;"21cm x 23cm";magische-reise-im-wald.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8310-3702-5;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74771498&kennwort=DLQDJWCLMEIODI&variante=zoom&rang=01;Für-die-Kleinsten
"Kulot, Daniela";"Ich auch!";;"Gerstenberg Verlag";;"9,95 €";2019;978-3-8369-5684-0;"ab 2 Jahren";"Das Schwein hat einen runden Bauch. Ich auch! Kinder lieben es, ihren Körper von Kopf bis Fuß spielerisch zu erforschen und kennenzulernen. Und zusammen mit Mama und Papa ist es gleich doppelt so schön. Ein Mitmachbuch, um mit viel Spaß den eigenen Körper zu erleben. Zum gemeinsamen Anschauen, Vorlesen, Mitreimen und miteinander spielen!";"Durchgehend farbig, unzerreißbar.";Pappband;30;"15,8cm x 21,8cm";ich-auch.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8369-5684-0;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74901535&kennwort=MMBNIQAHKPDHKO&variante=zoom&rang=01;Für-die-Kleinsten
"Królak, Agata";"Wie Bären so sind";;"Gerstenberg Verlag";"Übersetzung: Weiler, Hanne; Weiler, Thomas";"9,95 €";2019;978-3-8369-5694-9;"ab 2 Jahren";"Ein Buch für alle, die wissen wollen, wodurch sich Bären unterscheiden. Auf 13 Doppelseiten gibt es 13 Gegensatzpaare, in denen sich garantiert jedes Kind wiederfindet: Ein Bär kann fröhlich oder traurig sein, klein oder groß, mutig oder schüchtern. Ein Buch über Gegensätze.";"Durchgehend farbig, unzerreißbar.";Pappband;30;"17,8cm x 19,3cm";wie-baeren-so-sind.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8369-5694-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74901605&kennwort=LLMQLFMLRDHKNP&variante=zoom&rang=01;Für-die-Kleinsten
"Galloni, Elena";"Wer steckt unter dem Hut?";;"Gerstenberg Verlag";;"9,95 €";2019;978-3-8369-5692-5;"ab 2 Jahren";"Da liegt ein großer blauer Hut. Und darunter steckt jemand. Aber wer? Ein Elefant! Aber da ist ja noch ein Hut! Ein roter. Auf dem Kopf des Elefanten. Und darunter steckt jemand. Aber wer? Seite um Seite tauchen neue Hüte auf. Wer sie hochklappt, entdeckt, wer sich darunter versteckt hat. So verschieden die Tiere, so verschieden die Hüte. Immer kleiner werden sie. Aber wer steckt dann bloß unter dem Hütchen vom Wurm? Ein ebenso einfaches wie pfiffiges Klappbuch mit überraschendem Ende.";"Mit zahlreichen bunten Bildern und Klappen, unzerreißbar.";Pappband;18;"16,7cm x 20,4cm";wer-steckt-unter-dem-hut.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8369-5692-5;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74901581&kennwort=PPHHORGKORFHMY&variante=zoom&rang=01;Für-die-Kleinsten
"Berner, Rotraut Susanne";Nacht-Wörterwimmelbuch;"Mit arabischer Bildwörterleiste";"Gerstenberg Verlag";;"9,95 €";2019;978-3-8369-5699-4;"ab 2 Jahren";"Rotraut Susanne Berners Wimmelbücher sind wegen ihrer vielfältigen Einsatzmöglichkeiten in Kindergärten, Schulen und in der Logopädie beliebte Klassiker. Das Nacht-Wörterwimmelbuch unterstützt diesen Aspekt auf neue Weise. Jede Doppelseite bildet unten auf einem Rand verschiedene Dinge des jeweiligen Wimmelbildes noch einmal ab und benennt sie - mit Artikel! Pro Doppelseite findet man Begriffe zum Thema: Schlafen; Tiere; Alles, was blau ist; Kultur; Polizeieinsatz; Kleidung; Sommernachtsfest.Mit arabischer Bildwörterleiste.Beste Unterstützung für den spielerischen Spracherwerb!";"Durchgehend farbig, unzerreißbar, mit echter Buchdecke.";Pappband;14;"16cm x 27,4cm";nacht-woerterwimmelbuch.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8369-5699-4;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74901627&kennwort=PBILQEILPBGSNF&variante=zoom&rang=01;Für-die-Kleinsten
"Raecke, Renate";"Schnick Schnack Schabernack";"Das Hausbuch der Reime und Lieder für die Allerkleinsten";"Gerstenberg Verlag";"Herausgegeben von Raecke, Renate; Blume, Monika. Illustration: Raidt, Gerda";"18,00 €";2019;978-3-8369-5638-3;"von 2 bis 99 Jahren";"Jetzt als Sonderausgabe im handlichen Format!Dieses hinreißend illustrierte Hausbuch mit einer Fülle an traditionellen und modernen Kinderreimen, Versen, Kniereitern, Liedern und Gedichten ist ein wunderbares Geschenk zu Geburt, Taufe und Geburtstag und ein fröhlicher Begleiter durch die ersten Lebensjahre.";"Durchgehend farbig.";gebunden;144;"19,4cm x 24,6cm";schnick-schnack-schabernack.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8369-5638-3;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74901351&kennwort=MMBNIQAHKPDHKO&variante=zoom&rang=01;Für-die-Kleinsten
"Carle, Eric";"Die kleine Raupe Nimmersatt - Mein großes Bildwörterbuch";;"Gerstenberg Verlag";;"16,95 €";2019;978-3-8369-5672-7;"ab 2 Jahren";"Eric Carle macht unsere Welt schon für die ganz kleinen Leser erfahrbar. In diesem Buch feiert er ein Wiedersehen mit seinen beliebtesten Figuren und präsentiert mit ihnen spannende Themen. Ob Garten, Meer oder Bauernhof, ob Wetter, Fahrzeuge oder Tiere, ob Zahlen, Farben, Formen oder Gegensätze, ob Essen, Kleidung oder Gefühle - alles findet sich in diesem umfassenden Bildwörterbuch.";"Durchgehend farbig, Cover mit Spotlack.";gebunden;80;"20,7cm x 28,6cm";die-kleine-raupe-nimmersatt-mein-grosses-bildwoerterbuch.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8369-5672-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74901465&kennwort=RHNSHLQDJWCLME&variante=zoom&rang=01;Für-die-Kleinsten
"Müller, Thomas";"Tiere im Garten";;"Gerstenberg Verlag";;"12,95 €";2019;978-3-8369-5670-3;"ab 2 Jahren";"Was kriecht und krabbelt und fliegt denn da? Im Garten gibt es so viele Tiere zu entdecken! Im Teich quakt munter ein Frosch, im Gebüsch raschelt ein Igel, und auch vor Wespen müssen wir keine Angst haben. In diesem Buch mit seinen liebevoll gestalteten Ausklappseiten lassen sich diese und viele weitere Gartenbewohner aus der Nähe betrachten und durch kurze, aussagekräftige Sachtexte besser kennenlernen.Rotkehlchen, Schnecke, Siebenschläfer, Schmetterling, Frosch, Wespe, Igel";"Mit zahlreichen bunten Bildern und 7 Klappseiten, unzerreißbar.";Pappband;14;"15,8cm x 20,4cm";tiere-im-garten.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8369-5670-3;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74901443&kennwort=HILORDEITNEDJL&variante=zoom&rang=01;Für-die-Kleinsten
