AutorIn;Titel;Untertitel;Verlag;Mitwirkende;Preis;Erscheinungsjahr;ISBN;Altersempfehlung;Inhaltsbeschreibung;Informationen;Einband;Seitenzahl;Abmessungen;Cover;"Cover DNB";"Cover KNV";Kategorie
;"ErlebnisWelt Natur - Giraffe";"Notiz- & Tagebuch";"360 Grad";;"9,99 €";2017;978-3-96185-024-2;"Keine Altersangabe";"Das Notizbuch zum Sachbuch ""ErlebnisWelt Natur"".";;gebunden;240;"17,2cm x 25,4cm";erlebniswelt-natur-giraffe.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-96185-024-2;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=65266125&kennwort=KLNOCNHONDFJMP&variante=zoom&rang=01;Nonbook
;"Waldtiere Quartett (Kartenspiel)";"Spielen, Trumpfen, Staunen!. Für 2-5 Spieler";"moses. Verlag";;"5,95 €";2010;4033477096722;"ab 7 Jahren";"Sammele alle Nestbauer! Hast du schon die 4 Könige des Waldes? Wer hat die meisten Kauwerkzeuge?Wusstest du, dass der Rothirsch 350 kg wiegt?. 2 Spiele in einem: Quartett und Trumpf-Spiel!Passt in jede Hosentasche, vertreibt Langeweile und macht Lust auf eine Expedition in die Natur!. Spielspaß mit Lerneffekt! Attraktive Metalldose.";"Inhalt: 36 Karten, in Metall-Box.";Spiel;;"7,4cm x 32,7cm";waldtiere-quartett-kartenspiel.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=4033477096722;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=25113974&kennwort=OXCKKREJNRFIKP&variante=zoom&rang=01;Nonbook
"Carle, Eric";"Die kleine Raupe Nimmersatt - Mein kunterbuntes Knetset";;"Gerstenberg Verlag";;"7,95 €";2019;4250915932323;"ab 3 Jahren";"Kugeln aus Knete formen, Farben mischen, Formen bilden - da sind auch schon die kleinsten Raupenfans mit Feuereifer dabei. Dank einer ausführlichen und gut verständlichen Anleitung mit Fotos kann eine tolle Raupe Nimmersatt entstehen - und vielleicht sogar noch ein bisschen Obst, das sie anknabbern kann. Die Knete ist qualitativ hochwertig, in Deutschland gefertigt und auch langzeitig gut zu verarbeiten.Hinweis: Nicht geeignet für Kinder unter 36 Monaten!";"10 Stangen, 6 Farben, im Karton.";Nonbook;;"12,2cm x 16,2cm";die-kleine-raupe-nimmersatt-mein-kunterbuntes-knetset.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=4250915932323;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74901684&kennwort=VMQDJWCLMEIODI&variante=zoom&rang=01;Nonbook
"Carle, Eric";"Die kleine Raupe Nimmersatt - Magnetlesezeichen";;"Gerstenberg Verlag";;"29,50 €";2014;4250915930404;"Keine Altersangabe";"Wer mit der kleinen Raupe Nimmersatt aufgewachsen ist, erinnert sich immer wieder gern an sie. Diese praktischen und dekorativen Magnetlesezeichen mit Motiven aus dem Buch werden sicher nicht nur Kindern beim Lesen helfen. Die Raupe Nimmersatt wird sich auch gern durch die Bücher der großen Fans fressen - denn satt ist sie noch immer nicht!";"Für Kinder & Jugendliche.";Nonbook;;"9,2cm x 14,8cm";die-kleine-raupe-nimmersatt-magnetlesezeichen.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=4250915930404;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=44596745&kennwort=SLREHNKGPAIMSH&variante=zoom&rang=01;Nonbook
"Gheorghe, Mihai; Tomei, Vlad";"Geht raus, spielen! (Spielesammlung)";"50 Spiele für Draußenkinder";"Boje Verlag";"Übersetzung: Altrock, Laura von";"19,90 €";2019;978-3-414-82531-5;"ab 5 Jahren";"Sind Sie auch im letzten Jahrhundert groß geworden? Haben draußen herumgetobt, sind um die Häuser gezogen, und haben alle möglichen Spiele gespielt? Hüpfekästchen, Fangen und Verstecken. Völkerball, Murmeln und Gummitwist. Sind durch Büsche gekrochen und in Bäche gesprungen? Erinnern Sie sich an all die Spiele? In dieser Box sind 50 davon versammelt: Jede Karte ein Spiel, mit Schritt-für-Schritt-Anleitung. Geben Sie die Box Ihren Kindern, Enkeln, Nichten oder Neffen und schicken Sie sie raus! Und spielen Sie selbst mal wieder Hüpfekästchen. Das macht glücklich!";"Erstauflage, 50 Karten, in einer Box.";Spiel;;;geht-raus-spielen-spielesammlung.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-414-82531-5;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74196616&kennwort=OEELODHLQCEJVA&variante=zoom&rang=01;Nonbook
"Hall, Rose";"Mein Reiseabenteuer-Tagebuch";"Schreiben, Malen, Neues entdecken";"Usborne Verlag";"Illustration: Allen, Peter";"9,95 €";2019;978-1-78941-053-2;"ab 7 Jahren";"Dieses fröhlich illustrierte Tagebuch steckt voller Anregungen und Informationen zum Thema Reise - und es bietet jede Menge Platz für deine eigenen Einträge und Zeichnungen zu besonderen Urlaubserlebnissen.";;Nonbook;96;"15,4cm x 21,6cm";mein-reiseabenteuer-tagebuch.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-1-78941-053-2;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74868746&kennwort=DLBOKTEMQGLQGJ&variante=zoom&rang=01;Nonbook
"Kessel, Carola von";"50 Tiere im Zoo, 50 Ktn.";"erkennen & bestimmen";"moses. Verlag";"Illustration: Kolb, Arno";"7,95 €";2019;4033477097910;"ab 6 Jahren";"Von Affe bis Zebra stellt dieses Kartenset die 50 wichtigsten Tierarten in unseren Zoos vor. Der perfekte Begleiter beim nächsten Zoobesuch mit zahlreichen interessanten Fakten und Quizfragen zu den einzelnen Tieren.";;Nonbook;;"9,5cm x 13,7cm";;;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75189746&kennwort=GPNKEGPELRHNCG&variante=zoom&rang=01;Nonbook
"Kessel, Carola von";"50 Tierspuren entdecken & zuordnen, 50 Ktn.";;"moses. Verlag";"Mitarbeit: Kessel, Carola von; Träger, Nina. Illustration: Müller, Thomas; Kolb, Arno; Walentowitz, Steffen";"7,95 €";2015;4033477097248;"ab 6 Jahren";"Viele Kinder (und Erwachsene!) können eine frische Tierspur heute nicht mehr so leicht zuordnen. Diese wunderschön gestaltete Schachtel mit 50 Karten und einem ausführlichen Leporello kann da Abhilfe schaffen! Sie ist nützliche Begleiter auf dem Familien-Spaziergang. Neben Infos zu den heimischen Tieren bieten sie spannende Quizfragen - nicht nur für Kinder!";"Mit farbigen Illustrationen, in Schachtel.";Nonbook;;"9,4cm x 13,4cm";;;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=52802565&kennwort=NOKFNNEHMQEILN&variante=zoom&rang=01;Nonbook
"Merkel, Daniela";"Was gehört zusammen? - Berufe (Kinderspiel)";"Mein Maxi-Memo. Ab 2 Spielern. Spieldauer: variabel. Mit extragroßen Karten";Magellan;"Illustration: Merkel, Daniela";"12,00 €";2019;4280000943873;"ab 3 Jahren";"Hier ist der Gärtner, aber wo hat sich seine Gießkanne versteckt? Und wer findet bloß den Löschschlauch der Feuerwehrfrau?Bei diesen Spieleklassikern mit Memory-Karten im XL-Format sind ein gutes Gedächtnis und Kombinationsgabe gefragt: Zusammengehörige Paare wie ""Feuerwehrfrau"" und ""Löschschlauch"" oder ""Zahnbürste"" und ""Zahnpasta"" sind unter den verdeckten Karten zuzuordnen und später wiederzufinden. Wer am Ende die meisten Bildpaare findet, gewinnt!";"In Spielebox.";Spiel;;"20,2cm x 20,2cm";was-gehoert-zusammen-berufe-kinderspiel.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=4280000943873;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75218586&kennwort=QFINRFJMODPKSC&variante=zoom&rang=01;Nonbook
"Waldron, Hannah";"Magische Geschichten-Würfel: Piraten";"9 Holzwürfel zum Geschichten erzählen";"moses. Verlag";"Illustration: Waldron, Hannah";"11,95 €";2016;4033477902429;"ab 6 Jahren";"Diese Würfel erwecken die wundersamsten Geschichten zum Leben. Acht der neun Würfel bilden die Grundlage für die Geschichte - mit etwas Glück kommt auch der neunte Würfel zum Einsatz: er kann der Hauptfigur Superkräfte verleihen!";"In Schachtel.";Nonbook;;"9cm x 9cm";;;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=55622593&kennwort=SJODIMPFSOHIQE&variante=zoom&rang=01;Nonbook
