AutorIn;Titel;Untertitel;Verlag;Mitwirkende;Preis;Erscheinungsjahr;ISBN;Altersempfehlung;Inhaltsbeschreibung;Informationen;Einband;Seitenzahl;Abmessungen;Cover;"Cover DNB";"Cover KNV";Kategorie
"Busch, Nikki";"Mein lustiger Vorschul-Rätselblock";"Rätsel für die Vorschule";Carlsen;"Illustration: Hahn, Christiane";"4,99 €";2019;978-3-551-18297-5;"von 5 bis 7 Jahren";"Vorschulkinder, aufgepasst: Mit diesem Block werdet ihr garantiert fit für den Schulstart! Auf 160 Seiten warten spaßige Aufgaben rund um Buchstaben und Zahlen, Schwungübungen und Malspiele. Wer löst sie alle und wird Rätselkönig? Ideal für Vorschulkinder und Schulanfänger ab 5 Jahren.";"Schwarz-weiß illustriert, geblockt.";kartoniert;160;"14,8cm x 21,2cm";mein-lustiger-vorschul-raetselblock.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-18297-5;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75261091&kennwort=NOKFNNEHMQEKLN&variante=zoom&rang=01;Sachbücher
"Busch, Nikki";"Mein dicker Ferien-Rätselblock";"Nikki Buschs spannender Ferien-Rätselblock";Carlsen;"Illustration: Hahn, Christiane";"4,99 €";2019;978-3-551-18296-8;"von 8 bis 10 Jahren";"Der Besteller unter den Ferienblöcken: 160 Seiten voller spaßiger Rätsel, Quiz- und Scherzfragen!. Du zählst am Strand die Sandkörner? Du hast mindestens 99 Postkarten verschickt? Und dir ist immer noch sooo langweilig? Dann ist dieser Rätselblock genau das Richtige für dich! Blatt für Blatt warten über 160 spannende Rätselaufgaben mit Anti-Langeweile-Garantie. Ob zu Hause oder auf Reisen, allein oder mit Freunden - leg einfach los!. Mit Spielebögen für dich und deine Freunde. Ab 8 Jahren";"Schwarz-weiß illustriert, geblockt.";kartoniert;160;"14,8cm x 21,2cm";mein-dicker-ferien-raetselblock.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-18296-8;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75261045&kennwort=NOKFNNEHMQEKLN&variante=zoom&rang=01;Sachbücher
"Carter, James";"Das große Weltall";"Die Geschichte der Raumfahrt";"360 Grad";"Übersetzung: Hofmann, E. M. Illustration: Cushley, Aaron";"12,90 €";2019;978-3-96185-016-7;"Keine Altersangabe";"Schon immer wollten die Menschen fliegen können. Dann haben sie es geschafft ... 10, 9, 8, 7, 6, 5, 4, 3, 2, 1 - START. Und los gehts: Mit diesem Buch fliegen die Kinder los und erkunden die Geschichte der Raumfahrt. Es geht ums Träumen vom Fliegen, um mutige Forscher und tollkühne Raumfahrer, um den ersten Menschen im Weltraum und die Mondlandung - also um Abenteuer im großen Weltall!. - Weltraumgeschichte und Wissenschaft für die Jüngsten!- Perfekt zum 50. Jahrestag der Mondlandung!- Optimal zum Vorlesen, Entdecken und fürs erste Selbstlesen!";"Für Kinder & Jugendliche.";gebunden;32;"25,2cm x 28,8cm";das-grosse-weltall.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-96185-016-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75717306&kennwort=JLMQLFMLRDHKNS&variante=zoom&rang=01;Sachbücher
"Coster, Patience";"Die schönsten Mandalas zum Entspannen";;Arena;"Illustration: Coster, Patience";"6,99 €";2019;978-3-401-71415-8;"ab 8 Jahren";"Vor allem Mandalas sind seit jeher Quellen der Ruhe und Kraft. In diesem Band laden 60 traumhafte Motive ein in die Welt der freien Fantasie.";"Mit UV-Lackierung auf dem Cover.";kartoniert;128;"22,6cm x 28,1cm";die-schoensten-mandalas-zum-entspannen.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71415-8;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73612467&kennwort=PBILQEIOPBGSNF&variante=zoom&rang=01;Sachbücher
"Davies, Nicola";"Mein erstes großes Buch vom Meer";;Aladin;"Übersetzung: Naumann, Ebi. Illustration: Sutton, Emily";"25,00 €";2019;978-3-8489-0152-4;"ab 6 Jahren";"Muscheln suchen, Sandburgen bauen, der Geruch der Häfen und von Seetang, das Knattern der Takelage im Wind. Nicola Davies' poetische Texte wecken die Sehnsucht nach dem Meer und besingen es in all seiner Schönheit.";;gebunden;104;"27,2cm x 29,7cm";mein-erstes-grosses-buch-vom-meer.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8489-0152-4;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73578176&kennwort=QJODKMPFSOHIQE&variante=zoom&rang=01;Sachbücher
"Desmond, Jenni";"Der Elefant";;Aladin;"Übersetzung: Birkenstädt, Sophie";"16,95 €";2019;978-3-8489-0166-1;"von 4 bis 8 Jahren";"Der Elefant ist das größte Landsäugetier auf unserem Planeten. Mit seinem starken Rüssel kann er kleine Bäume ausreißen. Seine Ohren werden nicht selten groß wie ein Gefrierschrank und er ist so schwer wie vier Autos. Trotzdem sehen seine Bewegungen anmutig und leichtfüßig aus. Denn in Wirklichkeit geht er auf Zehenspitzen.. Mit klaren Worten und faszinierenden Bildern entführt Jenni Desmond uns in die Welt der sanftmütigen Riesen und macht deutlich, wie sehr sie auf unseren Schutz angewiesen sind.";"21 Farbabbildungen.";gebunden;48;"24,8cm x 30cm";der-elefant.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8489-0166-1;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73578198&kennwort=FLBOKTEMQGLQHJ&variante=zoom&rang=01;Sachbücher
"Heine, Stefan";"Lieblingsrätsel - Worte und Wissen";"Kreuzworträtsel, Buchstabensalat, Geheimcodes und vieles mehr";Carlsen;;"4,99 €";2019;978-3-551-31819-0;"von 8 bis 12 Jahren";"Hallo Rätselfan! Du löst gern Buchstabenrätsel und auch sonst gefallen dir Worte viel besser als Zahlen? Dann bist du hier genau richtig! Quiz, Kreuzworte, Geheimcodes, Brückenrätsel, Buchstabensalate und viele weitere Rätselarten warten nur darauf, von dir gelöst zu werden.";"Mit Schwarz-Weiß-lllustrationen.";kartoniert;144;;lieblingsraetsel-worte-und-wissen.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-31819-0;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75260868&kennwort=PBILQEJJPBGSNF&variante=zoom&rang=01;Sachbücher
"Kluivert, Shane";"An den Herd und losgekocht!";"40 kinderleichte Rezepte Schritt für Schritt erklärt. Mit Vorwort von Julian Draxler";"Dorling Kindersley";;"12,95 €";2019;978-3-8310-3744-5;"ab 8 Jahren";"Cooles Kinderkochbuch von Barcelonas jüngstem Fußball-Star!Den Ball kicken wie ein Weltmeister, die Pfannkuchen wenden wie ein Sternekoch - Shane Kluivert, der Shootingstar von FC Barcelona Alevín , zeigt auf Instagram und YouTube, dass er beides kann! Jetzt begeistert der berühmte Nachwuchsfußballer mit seinem ersten Buch Kids vom Thema Kochen. Er verrät Mädchen und Jungs , wie sie seine 40 gesunden und bunten Lieblingsgerichte Schritt für Schritt nachmachen - ob Brotpizza, Tortilla oder Mango-Smoothie. Mit einem Vorwort von Fußball-Nationalspieler Julian Draxler !. Das perfekte Kinderkochbuch - für Jungs und Mädchen:- Einfach nachvollziehbare Schritt-für-Schritt-Anleitungen.- Persönliche Einblicke.- Übersichtlicher Aufbau.- Wertvolle Tipps und Hinweise.- Tolle Gestaltung.. Aufgepasst: Pro verkauftem Buch geht 1EUR an das Kluivert Dog Rescue Center!.  Lust, loszulegen? Dann nichts wie ran an den Herd! Jetzt das Kinderkochbuch bestellen und im Nu schwingen die Kids mit Fußball-Star Shane Kluivert den Kochlöffel.";"Mit farbigen Fotos.";gebunden;144;"19,7cm x 25,1cm";an-den-herd-und-losgekocht.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8310-3744-5;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74771465&kennwort=PBILQEJJPBGSNF&variante=zoom&rang=01;Sachbücher
"Parigger, Harald";"Land in Flammen";"Ein Leben im Schatten des Dreißigjährigen Krieges. Mit Porträts von Gustav Adolf, Maximilian I. von Bayern, Kardinal Richelieu, Wallenstein, Tilly";Arena;;"9,99 €";2019;978-3-401-60391-9;"ab 12 Jahren";"Ein Leben im Schatten des Dreißigjährigen Krieges. Mit Porträts von: Gustav Adolf, Maximilian I. von Bayern, Kardinal Richelieu, Wallenstein, Tilly. Wenn der Krieg das ganze Leben bestimmt, kann sich ein Mensch den Frieden kaum vorstellen. Gottlieb, ein Findelkind, zieht seit den 1630ern mit einem Söldnerheer durch das brennende Deutschland. Der Dreißigjährige Krieg hat das Land erfasst. Die Söldner morden und brandschatzen im Auftrag ständig wechselnder Herren. Ein Ende des Krieges ist nicht in Sicht. Doch Gottlieb bewahrt sich seine Menschlichkeit. Er entflieht dem Heer und findet ein neues Zuhause in Ulm. Als Schreiber des Stadtrates darf er erleben, was kaum noch zu erhoffen war: Die Friedensverträge von 1648. Eine historisch fundierte Erzählung, die diesen komplexen Krieg auf das Wichtigste reduziert. Sie macht für junge Lese erfahrbar, was es bedeutet, im Krieg zu leben.";;kartoniert;112;"13cm x 20,1cm";land-in-flammen.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-60391-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73663843&kennwort=QFINRFLMODPKSC&variante=zoom&rang=01;Sachbücher
"Roth, Lena; Thabet, Edith";"Mein Lern- und Übungsblock Vorschule. Mein Lern- und Übungsblock Vorschule - Buchstabenrätsel und Zahlenspiele";;Arena;"Illustration: Heimrich, Heike; Woernle, Hela";"3,99 €";2019;978-3-401-71399-1;"ab 5 Jahren";"Erste Buchstaben- und Zahlenrätsel trainieren spielerisch logisches Denken und Kombinationsgeschick und bereiten ganz nebenbei auf den Schulanfang vor. So wird Lernen zum großen Spaß!";Geblockt.;kartoniert;80;"15,2cm x 20,4cm";mein-lern-und-uebungsblock-vorschule-mein-lern-und-uebungsblock-vorschule-buchstabenraetsel-und-zahlenspiele.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71399-1;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73612375&kennwort=OXCKKREJNRHIKP&variante=zoom&rang=01;Sachbücher
