AutorIn;Titel;Untertitel;Verlag;Mitwirkende;Preis;Erscheinungsjahr;ISBN;Altersempfehlung;Inhaltsbeschreibung;Informationen;Einband;Seitenzahl;Abmessungen;Cover;"Cover DNB";"Cover KNV";Kategorie
;"Ab in die Sonne";"Die schönsten Sommergeschichten. Bilderbuch";"NordSüd Verlag";;"20,00 €";2019;978-3-314-10480-0;"ab 4 Jahren";"Endlich Sommer! Endlich draußen spielen! Endlich baden!Die schönsten Sommergeschichten aus dem NordSüd-Programm erzählen von Spiel, Spaß und Sonnenschein. Die perfekte Lektüre für die Hängematte oder den Badestrand!";"Durchgehend farbig illustriert.";gebunden;176;"22cm x 28,6cm";ab-in-die-sonne.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-314-10480-0;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74793024&kennwort=MXCKKREJNSDIKP&variante=zoom&rang=01;Vorlesegeschichten
"Auer, Margit";"Das große Vorlesebuch für kleine Helden";"Humorvolle und spannende Geschichten für Mädchen und Jungs";Carlsen;"Illustration: Kranz, Sabine";"16,00 €";2019;978-3-551-51095-2;"von 4 bis 8 Jahren";"Dieser große Sammelband mit Vorlesegeschichten von Margit Auer ist eine wahre Schatzkiste unterschiedlichster Texte, mal spannend, mal bewegend, mal turbulent und auch mal still.. Margit Auers Geschichten sind geprägt von sprudelnder Fantasie, klugem Humor, sozialem Engagement und stiller Wärme. Margit Auer nimmt die Kinder auf ganz besondere Weise ernst, was die Leser spüren, und wofür sie Margit Auer verehren. Mit vier ganz neuen Geschichten!";;gebunden;144;"21,8cm x 26cm";das-grosse-vorlesebuch-fuer-kleine-helden.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-51095-2;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75259548&kennwort=EMPFSOHIQEKPFG&variante=zoom&rang=01;Vorlesegeschichten
"Hein, Christoph";"Alles, was du brauchst";"Die 20 wichtigsten Dinge im Leben";Hanser;"Illustration: Berner, Rotraut Susanne";"15,00 €";2019;978-3-446-26273-7;"ab 5 Jahren";"Was ist wirklich wichtig im Leben? Ein charmanter Blick auf 20 Dinge, die Kinder brauchen und keiner entbehren sollte. Das Wichtigste ist natürlich ein Freund, auf den man sich immer verlassen kann. Und eine Mutter, die - auch wenn sie nervt - für einen sorgt und uns tröstet. Eine Tante oder Oma, die immer Zeit zum Spielen hat, ist unverzichtbar, und ein Haus- oder Stofftier zum Kuscheln. Ein Kinderzimmer, ein Bett und ein Fahrrad muss jeder besitzen. Und ein Lieblingsgericht sollte man kochen und ein Instrument spielen können. Christoph Hein weiß außerdem gute Gründe, warum Entdeckungen und Erfindungen besonders wichtig sind. Und warum eine gute Geschichte, Tränen und das Verliebtsein unser Glück perfekt machen.";;gebunden;64;"13,9cm x 21,8cm";alles-was-du-brauchst.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-446-26273-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73544530&kennwort=PPHHORGKPPFHMY&variante=zoom&rang=01;Vorlesegeschichten
"Hellstern, Jan";"Wir sind die wilden Rabauken!";"Vorlesegeschichten für Kindergartenkinder";Ellermann;"Illustration: Korthues, Barbara";"15,00 €";2019;978-3-7707-0036-3;"ab 3 Jahren";"Als unsere Kita-Gruppe das Zahnkrokodil besiegte.Mika, Charlotte, Emil, Nino und Frieda gehen zusammen in die Oktopus-Gruppe in ihrer Kita. Natürlich muss man da immer zusammen halten, schließlich warten dort wilde Abenteuer. Einen Schatz suchen zum Beispiel, gegen das gefährliche Zahnkrokodil kämpfen oder mit dem Piratenschiff hinaus in die Welt fahren. Ein Buch mitten aus dem fantastischen Kinderalltag.Die wilden Rabauken, das sind fünf Freunde, die tolle Abenteuer in ihrer Kita erleben,aus Sicht der Kinder erzählt - zwischen buntem Alltag und kindlicher Fantasie.";;gebunden;128;"19,9cm x 24,7cm";wir-sind-die-wilden-rabauken.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7707-0036-3;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73419740&kennwort=RBILQEJJPBGSNF&variante=zoom&rang=01;Vorlesegeschichten
"Inden, Charlotte";"Bei mir zu Hause wohnt ein Tiger";"Kleine Geschichten zum Vorlesen";Hanser;"Illustration: Grigo, Pe";"13,00 €";2019;978-3-446-26215-7;"ab 3 Jahren";"""Theo Tiger möchte nicht ohne mich sein. Also nehme ich ihn überallhin mit."" 42 Minutengeschichten zum Vorlesen aus dem Leben eines Dreijährigen";"Durchgehend farbig illustriert.";gebunden;96;;bei-mir-zu-hause-wohnt-ein-tiger.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-446-26215-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73544322&kennwort=GGKNRBFGKVPGFL&variante=zoom&rang=01;Vorlesegeschichten
"Laube, Christina";Dornröschen;;Knesebeck;"Mitarbeit: Laube, Christina. Illustration: Zaeri, Mehrdad";"25,00 €";2019;978-3-95728-186-9;"von 0 bis 6 Jahren";"Als dem Königspaar eine Tochter geboren wird, lädt es die Feen des Königreichs zum Fest ein - nur für die dreizehnte Fee ist kein Platz, denn es gibt nicht genügend goldene Teller. Erbost verflucht die Fee die Prinzessin: Im Alter von 15 Jahren soll sie sich an einer Spindel stechen und sterben. Die zwölfte Fee jedoch, die ihre Wünsche noch nicht geäußert hat, verwandelt den Fluch. Nicht sterben soll Dornröschen, sondern in einen hundertjährigen Schlaf fallen, bis ein Kuss sie rettet... Das zauberhafte Märchen der Gebrüder Grimm nacherzählt von Christina Laube, filigran zum Leben erweckt durch meisterhafte Scherenschnitte von Mehrdad Zaeri.";;gebunden;40;"26,8cm x 32cm";dornroeschen.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-95728-186-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73556665&kennwort=QJOEGMPFSOHIQE&variante=zoom&rang=01;Vorlesegeschichten
"Reider, Katja";"Hops & Holly: Die Schule geht los!";;Esslinger;"Illustration: Straub, Sabine";"13,00 €";2019;978-3-480-23450-9;"ab 5 Jahren";"10 lustige Geschichten zum Vor- und Selberlesen mit Hops und Holly rund um den aufregenden neuen Lebensabschnitt Schule.. Die Zwillinge Hops und Holly können es kaum erwarten, in die Schule zu gehen! Und zusammen mit ihren Freunden Bommel, Pumpernickel, Murmel und Rosinchen stellen sie immer wieder mal die Schule auf den Kopf. Doch auch Schulleiterin Dr. Kohl-Rabi und Franz Blütenkranz, der beste Klassenlehrer der Welt, sind für Überraschungen gut. Kein Wunder, dass Hops und Holly jeden Tag ein neues Abenteuer erleben!. Die Geschichten haben eine optimale Vorleselänge von ca. 8-10 Minuten.. Für Kinder ab 5 Jahren und auch zum Selbstlesen geeignet.";"Mit Spotlack und Schultafelanhänger am Leseband.";gebunden;112;"18,6cm x 26,2cm";hops-holly-die-schule-geht-los.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-480-23450-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73484113&kennwort=OXCKKREJNSCIKP&variante=zoom&rang=01;Vorlesegeschichten
"Sailer, Sibylle";"Sieben kecke Schnirkelschnecken";"Lustige Kindergedichte und Reimspaß zum Lachen";Arena;"Herausgegeben von Sailer, Sibylle. Illustration: Büchner, Sabine";"14,00 €";2019;978-3-401-71521-6;"ab 4 Jahren";"Sieben kecke Schnirkelschneckensaßen einst auf einem Stecken,machten dort auf ihrem Sitzekecke Schnirkelschneckenwitze.. Eine fabelhafte Sammlung mit Gedichten und Reimüberraschungen zum Schmunzeln und Lachen von Michael Ende, Heinz Erhardt, Robert Gernhardt, Erwin Grosche, Josef Guggenmoos, James Krüss, Max Kruse, Paul Maar, Christl Pfister, Joachim Ringelnatz, Jürgen Spohn, Anne Steinwart, Christa Zeuch und vielen anderen.";;gebunden;96;"18,3cm x 26,2cm";sieben-kecke-schnirkelschnecken.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71521-6;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73612537&kennwort=MMBNIQAHKPDIIO&variante=zoom&rang=01;Vorlesegeschichten
"Schmachtl, Andreas H.";"Snöfrid aus dem Wiesental - Die ganz und gar heldenhafte Suche nach den drei Siegeln";;Arena;;"16,00 €";2019;978-3-401-71284-0;"ab 4 Jahren";"Eigentlich liebt Snöfrid die Ruhe. Doch ein echter Held braucht eben auch ein bisschen Aufregung, und so zögert Snöfrid keine Minute, als er vom Ältestenrat losgeschickt wird. Das ganze Nordland ist in größter Gefahr! Überall tauchen plötzlich fiese Trolle auf. Wollen sie den König der Feenmännlein vertreiben? Und was hat es mit dem Verschwinden der Jahreszeiten auf sich? ""Hm"", überlegt Snöfrid und stürzt sich gemeinsam mit seinen Gefährten ganz und gar heldenhaft und ebenso furchtlos in sein bisher spannendstes Abenteuer.";"Mit Leinenrücken und UV-Lackierung auf dem Cover.";Halbleinen;288;"17,3cm x 23,5cm";snoefrid-aus-dem-wiesental-die-ganz-und-gar-heldenhafte-suche-nach-den-drei-siegeln.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71284-0;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73664075&kennwort=NPHHORGKPPFHMY&variante=zoom&rang=01;Vorlesegeschichten
"Thiemann, Anke";"Spring doch!, sagt die Hexe";Mutprobengeschichten;DTV;"Herausgegeben von Thiemann, Anke";"14,95 €";2019;978-3-423-76240-3;"ab 7 Jahren";"Echt mutig!. Traust du dich: mit dem Drachen Freundschaft zu schließen; die Mama zu küssen; der Hexe gegenüberzutreten; die weißen Kirschen zu suchen; in den verbotenen Wald zu fliegen; dem beliebtesten Mädchen in der Klasse die Stirn zu bieten; den Wolf zu umarmen; dem Nachbarn zu sagen, dass du ihn magst; eine alte Schulfehde zu beenden oder zum Friseur zu gehen?. 10 ungewöhnliche Geschichten über 10 ungewöhnliche Mutproben, erdacht und bebildert von 10 renommierten Illustratoren.";;gebunden;112;;spring-doch-sagt-die-hexe.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-423-76240-3;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74865543&kennwort=VJQDJWCLMEIODJ&variante=zoom&rang=01;Vorlesegeschichten
