"Walden, Libby";"Das ist Eule.";"360 Grad";"978-3-96185-520-9";"GEB";"14.00 EUR";"";"35.0";"398 g";" 2019;48 S.;29.2 cm;von 3-6 J.;";"210";"Ein Buch zum Mitmachen - Zum Klopfen, Tippen, Winken und Entdecken!"
"Welsh, Clare Helen";"Mit Opa ist alles anders.";"360 Grad";"978-3-96185-517-9";"GEB";"14.00 EUR";"";"35.0";"459 g";" 2019;32 S.;28.6 cm;von 3-8 J.;";"210";"Bilderbuch"
"Lee, Suzy";"Welle.";"360 Grad";"978-3-96185-540-7";"GEB";"6.00 EUR";"21";"35.0";"183 g";" 2019;44 S.;12.5 x 21 cm;von 5-99 J.;";"210";"Bilderbuch"
"Reinländer, Jens";"Wieso machen A und O zwei Köche froh?.";"360 Grad";"978-3-96185-801-9";"GEB";"13.00 EUR";"21";"35.0";"410 g";" 2019;86 S.;Komplett illustriert.;23 cm;von 5-11 J.;";"250";"Die fabelhafte Entdeckung der Buchstaben"
"Davies, Benji";"Nick und der Sommer mit Oma.";"Aladin";"978-3-8489-0165-4";"GEB";"14.95 EUR";"21";"30.0";"450 g";" 2019;32 S.;251 x 284 mm;ab 4 J.;";"210";""
"Schulmeyer, Heribert";"Alwina und Nelli.";"Atlantis, Orell Füssli";"978-3-7152-0758-2";"GEB";"14.95 EUR";"21";"30.0";"504 g";" 2019;48 S.;220 x 296 mm;ab 4 J.;";"210";""
"Janisch, Heinz";"Die zweite Arche.";"Atlantis, Orell Füssli";"978-3-7152-0761-2";"GEB";"14.95 EUR";"";"30.0";"320 g";" 2019;32 S.;m. zahlr. bunten Bild.;26 cm;ab 4 J.;";"210";""
"Isermeyer, Jörg";"Ene, mene, Eierkuchen.";"Atlantis, Orell Füssli";"978-3-7152-0763-6";"PP";"9.95 EUR";"";"30.0";"178 g";" Auflage;2019;18 S.;165 mm;ab 2 J.;";"210";""
"Pauli, Lorenz";"Alles war See.";"Atlantis, Orell Füssli";"978-3-7152-0762-9";"GEB";"14.95 EUR";"";"30.0";"434 g";" 2019;32 S.;310 mm;ab 4 J.;";"210";""
"John, Jory";"Roberta & Henry.";"Carlsen";"978-3-551-51944-3";"GEB";"15.00 EUR";"";"35.0";"404 g";" 2019;40 S.;m. zahlr. bunten Bild.;29 cm;von 4-8 J.;";"210";""
