"Pantermüller, Alice";"Mein Lotta-Leben - Wer den Wal hat.";"Arena";"978-3-401-60334-6";"GEB";"9.99 EUR";"";"30.0";"309 g";" 2019;160 S.;211.00 mm;Mit runden Ecken;ab 9 J.;";"250";""
"Kinney, Jeff";"Gregs Tagebuch - So ein Mist!.";"Baumhaus Medien";"978-3-8432-1106-2";"KT";"9.00 EUR";"";"35.0";"227 g";" 1. Aufl.;2019;224 S.;m. Comics;186 mm;ab 10 J.;";"250";"Ein Comic-Roman"
"Rowling, J. K.";"Die Märchen von Beedle dem Barden, Schmuckausgabe.";"Carlsen";"978-3-551-55710-0";"GEB";"30.00 EUR";"";"35.0";"1282 g";" 2018;160 S.;Mit farbigen Illustrationen;295 mm;von 10-99 J.;";"250";"Mit einem Kommentar von Albus Dumbledore"
"Letterie, Martine";"Kinder mit Stern.";"Carlsen";"978-3-551-55762-9";"GEB";"11.00 EUR";"";"35.0";"348 g";" 2019;128 S.;m. farb. Illustr.;21 cm;von 10-14 J.;";"250";""
"Fleming, Anne";"Ziegen bringen Glück.";"Carlsen";"978-3-551-55382-9";"GEB";"10.99 EUR";"";"35.0";"298 g";" 2019;160 S.;21 cm;von 10-99 J.;";"250";""
"Muser, Martin";"Kannawoniwasein - Manchmal fliegt einem alles um die Ohren.";"Carlsen";"978-3-551-55387-4";"GEB";"12.00 EUR";"21";"35.0";"";" 2019;176 S.;210 mm;von 10-14 J.;";"250";""
"Birdsall, Jeanne";"Die Penderwicks im Glück.";"Carlsen";"978-3-551-55763-6";"GEB";"15.00 EUR";"21";"35.0";"";" 2019;320 S.;220 mm;von 11-99 J.;";"250";""
"Metselaar, Menno";"Alles über Anne.";"Carlsen";"978-3-551-31756-8";"KT";"6.99 EUR";"21";"35.0";"";" 2019;80 S.;210 mm;von 10-99 J.;";"286";"Das Leben der Anne Frank"
"Muser, Martin";"Ein Fall für das Tandem - Das rote Känguru.";"Carlsen";"978-3-551-31812-1";"KT";"5.99 EUR";"21";"35.0";"";" 2019;144 S.;187 mm;von 9-14 J.;";"294";"Rätselkrimi"
"Tienti, Benjamin";"Unterwegs mit Kaninchen.";"Dressler Verlag GmbH";"978-3-7915-0102-4";"GEB";"13.00 EUR";"21";"35.0";"";" 2019;208 S.;210 mm;ab 10 J.;";"250";""
